iso_a3_target daily_seeds
ARE 212.34136
AFG 0.30149
ATG 1.86993
ALB 3.50456
ARM 4.61683
AGO 54.00979
ARG 151.38877
AUT 47.75015
AUS 12.41743
ABW 10.60105
AZE 5.09287
BIH 2.422
BRB 2.45798
BGD 20.63469
BEL 65.49264
BFA 2.44835
BGR 12.63313
BHR 8.32781
BDI 1.27224
BEN 3.53563
BLM 0.53617
BMU 0.85088
BRN 0.1631
BOL 144.0494
BES 3.17481
BRA 0.0
BHS 10.22429
BWA 0.55176
BLR 2.22867
BLZ 2.63906
CAN 157.46008
COD 6.09773
CAF 0.51322
COG 2.64697
CHE 214.06979
CIV 9.88705
COK 0.01723
CHL 320.81751
CMR 4.87129
CHN 12.25411
COL 345.9602
CRI 48.9261
CUB 6.84395
CPV 21.57188
CUW 10.00772
CYP 11.31822
CZE 19.71747
DEU 405.81391
DJI 2.91072
DNK 38.03635
DOM 98.91827
DZA 7.30504
ECU 80.85136
EST 3.90806
EGY 47.12965
ERI 1.37718
ESP 682.8309
ETH 64.11788
FIN 13.01167
FRO 0.26494
FRA 471.69233
GAB 1.75767
GBR 229.75678
GRD 1.00295
GEO 6.22134
GUF 1.24382
GHA 12.94902
GIB 0.26193
GRL 0.11272
GMB 1.2672
GIN 4.05799
GLP 2.55031
GNQ 0.82002
GRC 92.10123
GTM 26.56518
GUM 0.5377
GNB 5.37074
GUY 6.2994
HKG 13.2361
HND 19.98676
HRV 25.8143
HTI 3.98924
HUN 20.86137
IDN 9.28601
IRL 47.19336
ISR 27.63803
IND 121.6122
IRQ 25.22028
IRN 18.52148
ISL 11.73495
ITA 238.59963
JAM 16.07935
JOR 22.40035
JPN 19.28826
KEN 14.55485
KGZ 2.04259
KHM 0.41246
COM 1.31151
KOR 11.20517
KWT 18.79405
CYM 1.63456
KAZ 5.36894
LAO 0.02605
LBN 27.02165
LCA 2.35379
LKA 13.19141
LBR 0.76194
LTU 4.31898
LUX 28.67024
LVA 7.83851
LBY 2.2744
MAR 55.7664
MDA 4.23992
MNE 2.75683
MAF 0.35363
MDG 0.93395
MKD 1.02646
MLI 5.18606
MMR 0.16845
MNG 0.31186
MAC 0.16497
MNP 0.21008
MTQ 2.3064
MRT 1.77669
MLT 9.59003
MUS 1.98805
MDV 17.23498
MWI 1.37905
MEX 547.67355
MYS 5.60357
MOZ 9.59803
NAM 5.52112
NCL 0.0977
NER 2.73353
NGA 16.01658
NIC 10.89585
NLD 303.61087
NOR 22.45894
NPL 10.53162
NZL 0.55657
OMN 9.90732
PAN 477.25887
PER 68.73985
PYF 0.43625
PNG 0.12382
PHL 20.74636
PAK 30.5837
POL 45.30006
PRI 30.7029
PRT 969.80272
PRY 109.15571
QAT 252.06865
REU 5.65634
ROU 36.83408
SRB 15.74311
RUS 40.78393
RWA 2.18208
SAU 43.88758
SYC 4.47717
SDN 11.60292
SWE 32.71351
SGP 14.01593
SVN 3.34089
SVK 0.59046
SLE 0.82177
SEN 15.67875
SOM 4.28602
SUR 1.95608
SSD 1.44168
SLV 21.20458
SXM 3.43559
SYR 1.7139
TCA 3.90986
TCD 1.31944
TGO 3.97143
THA 17.26761
TJK 0.82598
TUN 16.74031
TUR 266.45612
TTO 3.33829
TWN 3.71827
TZA 14.4653
UKR 27.3068
UGA 8.10415
USA 2084.58259
URY 78.16046
UZB 5.55467
VEN 29.69568
VGB 0.32802
VIR 7.05844
VNM 6.84301
YEM 0.51593
MYT 1.55289
ZAF 44.3183
ZMB 3.69186
ZWE 3.28602
