iso_a3_target daily_seeds
ARE 2721.79378
AFG 7.02293
ATG 104.04742
ALB 379.97094
ARM 76.8917
AGO 43.06607
ARG 41.95458
AUT 2480.41771
AUS 297.07056
ABW 80.31356
AZE 83.37084
BIH 90.84332
BRB 169.79212
BGD 340.47161
BEL 3739.18021
BFA 23.90162
BGR 1312.17102
BHR 249.04008
BDI 9.05023
BEN 16.48633
BLM 5.72244
BMU 96.22242
BRN 19.63445
BOL 12.78644
BES 39.44247
BRA 312.01311
BHS 73.91723
BWA 3.38936
BLR 37.34685
BLZ 3.30465
CAN 2135.44
COD 28.33213
CAF 3.18055
COG 11.51309
CHE 4973.06025
CIV 83.14178
COK 0.75169
CHL 67.55718
CMR 30.33738
CHN 524.81849
COL 191.04058
CRI 77.37827
CUB 49.80937
CPV 271.92486
CUW 71.71069
CYP 2219.83164
CZE 1392.83993
DEU 17817.87812
DJI 13.26852
DNK 3261.89073
DOM 367.74173
DZA 46.50202
ECU 79.40507
EST 314.2795
EGY 1135.05258
ERI 8.35507
ESP 40841.35923
ETH 385.47846
FIN 701.70184
FRO 32.6871
FRA 11384.14429
GAB 8.6371
GBR 0.0
GRD 49.12478
GEO 200.34132
GUF 10.26369
GHA 176.86559
GIB 786.99186
GRL 8.19236
GMB 12.78456
GIN 21.42037
GLP 30.61598
GNQ 4.84979
GRC 17756.96639
GTM 35.58905
GUM 10.58481
GNB 10.88162
GUY 19.76452
HKG 171.51691
HND 17.06768
HRV 2683.56165
HTI 11.68352
HUN 1504.72921
IDN 174.88207
IRL 8134.1955
ISR 1044.32546
IND 2546.54059
IRQ 228.79762
IRN 158.40908
ISL 764.70952
ITA 14134.54706
JAM 220.19137
JOR 488.11871
JPN 781.70406
KEN 195.73141
KGZ 48.13477
KHM 24.27728
COM 6.27024
KOR 273.68337
KWT 157.94676
CYM 15.69787
KAZ 112.32914
LAO 0.60403
LBN 415.50051
LCA 36.59025
LKA 186.06816
LBR 12.9818
LTU 837.87233
LUX 505.21444
LVA 768.6759
LBY 18.14941
MAR 1925.30431
MDA 245.09034
MNE 149.71726
MAF 4.98401
MDG 3.72042
MKD 147.31948
MLI 28.17071
MMR 4.57812
MNG 3.90503
MAC 7.96853
MNP 4.97981
MTQ 22.59071
MRT 18.32321
MLT 1674.5268
MUS 22.87654
MDV 158.34733
MWI 7.63856
MEX 1095.84415
MYS 125.34639
MOZ 17.64044
NAM 12.09582
NCL 2.53014
NER 14.00922
NGA 534.17495
NIC 8.23279
NLD 9447.22512
NOR 2716.66535
NPL 64.72144
NZL 30.28801
OMN 113.54773
PAN 195.75111
PER 104.50431
PYF 7.85103
PNG 7.85197
PHL 328.71022
PAK 517.50393
POL 6589.7236
PRI 107.44645
PRT 6867.71902
PRY 6.34994
QAT 1224.86933
REU 46.65281
ROU 2703.46399
SRB 407.84498
RUS 3152.16313
RWA 33.21656
SAU 969.58773
SYC 34.43064
SDN 68.31489
SWE 2467.07594
SGP 212.14822
SVN 92.63614
SVK 304.44001
SLE 14.36736
SEN 88.39622
SOM 22.39503
SUR 20.75479
SSD 12.39322
SLV 71.52778
SXM 33.52879
SYR 16.55771
TCA 33.79567
TCD 7.2482
TGO 34.09283
THA 409.46368
TJK 21.14004
TUN 338.05826
TUR 6156.92554
TTO 17.21141
TWN 183.95522
TZA 86.86815
UKR 1843.44023
UGA 63.61711
USA 12386.45187
URY 11.42806
UZB 102.57508
VEN 19.56218
VGB 5.82815
VIR 15.35304
VNM 218.95573
YEM 8.72715
MYT 10.78058
ZAF 321.59707
ZMB 22.5639
ZWE 22.32489
