"group","date","cum_I","Incidence","imported","Rt"
"GEO",2020-09-09,0,0,0,1.62
"GEO",2020-09-10,0,0,0,1.62
"GEO",2020-09-11,0,0,0,1.62
"GEO",2020-09-12,0,0,0,1.62
"GEO",2020-09-13,0,0,0,1.62
"GEO",2020-09-14,0,0,0,1.62
"GEO",2020-09-15,0,0,0,1.62
"GEO",2020-09-16,0,0,0,1.62
"GEO",2020-09-17,0,0,0,1.62
"GEO",2020-09-18,0,0,0,1.62
"GEO",2020-09-19,0,0,0,1.62
"GEO",2020-09-20,0,0,0,1.62
"GEO",2020-09-21,0,0,0,1.62
"GEO",2020-09-22,0,0,0,1.62
"GEO",2020-09-23,0,2.75741565385196e-05,2.75741565385196e-05,1.62
"GEO",2020-09-24,1.2951549538655e-07,5.62626198773729e-05,5.61331043819864e-05,1.62
"GEO",2020-09-25,2.29105909734655e-06,8.33964381661641e-05,8.12348945642041e-05,1.62
"GEO",2020-09-26,1.20952967299067e-05,0.000114711520653658,0.000104907283021098,1.62
"GEO",2020-09-27,3.80418332389104e-05,0.000147661755515381,0.000121715219006377,1.62
"GEO",2020-09-28,8.92418422051727e-05,0.000202600245198556,0.000151400236232294,1.62
"GEO",2020-09-29,0.000173984703080562,0.000265690991493671,0.000180948130618281,1.62
"GEO",2020-09-30,0.000300467239444026,0.000364922534050304,0.00023843999768684,1.62
"GEO",2020-10-01,0.00047880304559431,0.000482883270643415,0.000304547464493131,1.62
"GEO",2020-10-02,0.000723292211822683,0.000658942013107594,0.00041445284687922,1.62
"GEO",2020-10-03,0.0010544187188655,0.000941677334381719,0.000610550827338901,1.62
"GEO",2020-10-04,0.00150115801054355,0.00116483873926035,0.000718099447582301,1.62
"GEO",2020-10-05,0.00210652517400352,0.00144767480715664,0.000842307643696671,1.62
"GEO",2020-10-06,0.0029259568777603,0.00178271980411152,0.000963288100354749,1.62
"GEO",2020-10-07,0.00401730557101132,0.00220445343053872,0.0011131047372877,1.62
"GEO",2020-10-08,0.00543743518066206,0.00262332072594343,0.00120319111629269,1.62
"GEO",2020-10-09,0.00724697723851552,0.0031128998347071,0.00130335777685364,1.62
"GEO",2020-10-10,0.00951289018725863,0.00365346946874165,0.00138755651999854,1.62
"GEO",2020-10-11,0.0123058269638424,0.00427556217816071,0.00148262540157694,1.62
"GEO",2020-10-12,0.0156992592920776,0.0050059571649414,0.00161252483670617,1.62
"GEO",2020-10-13,0.0197717574941115,0.0058230729429461,0.00175057474091221,1.62
"GEO",2020-10-14,0.0246123719937013,0.00745235525083685,0.00261174075124704,1.62
"GEO",2020-10-15,0.0303285806677821,0.00900321301316809,0.0032870043390873,1.62
"GEO",2020-10-16,0.037088190516302,0.010746619508449,0.00398700965992916,1.62
"GEO",2020-10-17,0.0451554624408859,0.0127418797481327,0.00467460782354883,1.62
"GEO",2020-10-18,0.0548609154542912,0.015067505298695,0.00536205228528962,1.62
"GEO",2020-10-19,0.0665582247745609,0.0179538937320991,0.00625658441182937,1.62
"GEO",2020-10-20,0.0806124691620575,0.0214401960492975,0.00738595166180096,1.62
"GEO",2020-10-21,0.0974260107748126,0.0258926219382401,0.0090790803254851,1.62
"GEO",2020-10-22,0.117485290243054,0.0307423669846451,0.0106830875164038,1.62
"GEO",2020-10-23,0.14141273010232,0.0364578702578219,0.0125304303985553,1.62
"GEO",2020-10-24,0.169982741135672,0.0426613950187553,0.0140913839854036,1.62
"GEO",2020-10-25,0.204092184941665,0.0498751450529052,0.0157657012469126,1.62
"GEO",2020-10-26,0.2447205581225,0.0582293431734149,0.0176009699925794,1.62
"GEO",2020-10-27,0.292909509189255,0.0677528221374164,0.0195638710706621,1.62
"GEO",2020-10-28,0.349792771502078,0.0812034465641442,0.0243201842513208,1.62
"GEO",2020-10-29,0.416657833105468,0.0955046400971954,0.0286395784938053,1.62
"GEO",2020-10-30,0.495131473972532,0.111057610905384,0.0325839700383208,1.62
"GEO",2020-10-31,0.587336796419593,0.128995374287165,0.0367900518401042,1.62
"GEO",2020-11-01,0.695765633915106,0.119400124902944,0.010971287407431,1.62
"GEO",2020-11-02,0.822954009940144,0.139088728711318,0.0119003526862802,1.62
"GEO",2020-11-03,0.969799241915958,0.159944289999346,0.0130990580235321,1.62
"GEO",2020-11-04,1.13516796420775,0.18035642358097,0.0149877012891749,1.62
"GEO",2020-11-05,1.31856010617076,0.200036153807647,0.0166440118446377,1.62
"GEO",2020-11-06,1.52161551640193,0.221527147554162,0.0184717373229913,1.62
"GEO",2020-11-07,1.74740975948172,0.245630093349248,0.019835850269458,1.62
"GEO",2020-11-08,1.99924136896333,0.273178169869243,0.0213465603876332,1.62
"GEO",2020-11-09,2.28013709868014,0.303640134087953,0.022744404371143,1.62
"GEO",2020-11-10,2.59304165270849,0.337235795863881,0.0243312418355364,1.62
"GEO",2020-11-11,2.94117579823093,0.375922302154606,0.0277881566321673,1.62
"GEO",2020-11-12,3.32822808274105,0.416782371093551,0.029730086583423,1.62
"GEO",2020-11-13,3.75846095636468,0.461773730671362,0.0315408570477348,1.62
"GEO",2020-11-14,4.23669781601444,0.51150512647178,0.0332682668220197,1.62
"GEO",2020-11-15,4.76815369865935,0.565939394512212,0.0344835118673046,1.62
