variant,source_country,target_country,date_start,date_end,undercounting_multiplier_source,undercounting_multiplier_target,Ne,Ve,Cum_cases,PopFullyVax,pop,Rt
B.1.1.7,GBR,AUS,2020-09-09,2020-11-30,2.95,2.70,0,0,26396.0,0,25921089.0,2.63
B.1.1.7,GBR,AUS,2020-09-09,2020-11-30,2.95,3.91,0,0,26396.0,0,25921089.0,2.63
B.1.1.7,GBR,AUT,2020-09-09,2020-11-30,2.27,2.36,0,0,29813.0,0,8922082.0,1.05
B.1.1.7,GBR,AUT,2020-09-09,2020-11-30,2.27,3.71,0,0,29813.0,0,8922082.0,1.05
B.1.1.7,GBR,AUT,2020-09-09,2020-11-30,2.95,2.36,0,0,29813.0,0,8922082.0,1.05
B.1.1.7,GBR,AUT,2020-09-09,2020-11-30,2.95,3.71,0,0,29813.0,0,8922082.0,1.05
B.1.1.7,GBR,AUT,2020-09-09,2020-11-30,2.27,2.36,0,0,29813.0,0,8922082.0,1.62
B.1.1.7,GBR,AUT,2020-09-09,2020-11-30,2.27,3.71,0,0,29813.0,0,8922082.0,1.62
B.1.1.7,GBR,AUT,2020-09-09,2020-11-30,2.95,2.36,0,0,29813.0,0,8922082.0,1.62
B.1.1.7,GBR,AUT,2020-09-09,2020-11-30,2.95,3.71,0,0,29813.0,0,8922082.0,1.62
B.1.1.7,GBR,AUT,2020-09-09,2020-11-30,2.27,2.36,0,0,29813.0,0,8922082.0,2.63
B.1.1.7,GBR,AUT,2020-09-09,2020-11-30,2.27,3.71,0,0,29813.0,0,8922082.0,2.63
B.1.1.7,GBR,AUT,2020-09-09,2020-11-30,2.95,2.36,0,0,29813.0,0,8922082.0,2.63
B.1.1.7,GBR,AUT,2020-09-09,2020-11-30,2.95,3.71,0,0,29813.0,0,8922082.0,2.63
B.1.1.7,GBR,BEL,2020-09-09,2020-11-30,2.27,2.11,0,0,89377.0,0,11611420.0,1.05
B.1.1.7,GBR,BEL,2020-09-09,2020-11-30,2.27,3.13,0,0,89377.0,0,11611420.0,1.05
B.1.1.7,GBR,BEL,2020-09-09,2020-11-30,2.95,2.11,0,0,89377.0,0,11611420.0,1.05
B.1.1.7,GBR,BEL,2020-09-09,2020-11-30,2.95,3.13,0,0,89377.0,0,11611420.0,1.05
B.1.1.7,GBR,BEL,2020-09-09,2020-11-30,2.27,2.11,0,0,89377.0,0,11611420.0,1.62
B.1.1.7,GBR,BEL,2020-09-09,2020-11-30,2.27,3.13,0,0,89377.0,0,11611420.0,1.62
B.1.1.7,GBR,BEL,2020-09-09,2020-11-30,2.95,2.11,0,0,89377.0,0,11611420.0,1.62
B.1.1.7,GBR,BEL,2020-09-09,2020-11-30,2.95,3.13,0,0,89377.0,0,11611420.0,1.62
B.1.1.7,GBR,BEL,2020-09-09,2020-11-30,2.27,2.11,0,0,89377.0,0,11611420.0,2.63
B.1.1.7,GBR,BEL,2020-09-09,2020-11-30,2.27,3.13,0,0,89377.0,0,11611420.0,2.63
B.1.1.7,GBR,BEL,2020-09-09,2020-11-30,2.95,2.11,0,0,89377.0,0,11611420.0,2.63
B.1.1.7,GBR,BEL,2020-09-09,2020-11-30,2.95,3.13,0,0,89377.0,0,11611420.0,2.63
B.1.1.7,GBR,BGD,2020-09-09,2020-12-28,2.27,45.06,0,0,331075.0,0,169356251.0,1.05
B.1.1.7,GBR,BGD,2020-09-09,2020-12-28,2.27,232.53,0,0,331075.0,0,169356251.0,1.05
B.1.1.7,GBR,BGD,2020-09-09,2020-12-28,2.95,45.06,0,0,331075.0,0,169356251.0,1.05
B.1.1.7,GBR,BGD,2020-09-09,2020-12-28,2.95,232.53,0,0,331075.0,0,169356251.0,1.05
B.1.1.7,GBR,BGD,2020-09-09,2020-12-28,2.27,45.06,0,0,331075.0,0,169356251.0,1.62
B.1.1.7,GBR,BGD,2020-09-09,2020-12-28,2.27,232.53,0,0,331075.0,0,169356251.0,1.62
B.1.1.7,GBR,BGD,2020-09-09,2020-12-28,2.95,45.06,0,0,331075.0,0,169356251.0,1.62
B.1.1.7,GBR,BGD,2020-09-09,2020-12-28,2.95,232.53,0,0,331075.0,0,169356251.0,1.62
B.1.1.7,GBR,BGD,2020-09-09,2020-12-28,2.27,45.06,0,0,331075.0,0,169356251.0,2.63
B.1.1.7,GBR,BGD,2020-09-09,2020-12-28,2.27,232.53,0,0,331075.0,0,169356251.0,2.63
B.1.1.7,GBR,BGD,2020-09-09,2020-12-28,2.95,45.06,0,0,331075.0,0,169356251.0,2.63
B.1.1.7,GBR,BGD,2020-09-09,2020-12-28,2.95,232.53,0,0,331075.0,0,169356251.0,2.63
B.1.1.7,GBR,BGR,2020-09-09,2020-12-14,2.27,7.65,0,0,17428.0,0,6885868.0,1.05
B.1.1.7,GBR,BGR,2020-09-09,2020-12-14,2.27,13.86,0,0,17428.0,0,6885868.0,1.05
B.1.1.7,GBR,BGR,2020-09-09,2020-12-14,2.95,7.65,0,0,17428.0,0,6885868.0,1.05
B.1.1.7,GBR,BGR,2020-09-09,2020-12-14,2.95,13.86,0,0,17428.0,0,6885868.0,1.05
B.1.1.7,GBR,BGR,2020-09-09,2020-12-14,2.27,7.65,0,0,17428.0,0,6885868.0,1.62
B.1.1.7,GBR,BGR,2020-09-09,2020-12-14,2.27,13.86,0,0,17428.0,0,6885868.0,1.62
B.1.1.7,GBR,BGR,2020-09-09,2020-12-14,2.95,7.65,0,0,17428.0,0,6885868.0,1.62
B.1.1.7,GBR,BGR,2020-09-09,2020-12-14,2.95,13.86,0,0,17428.0,0,6885868.0,1.62
B.1.1.7,GBR,BGR,2020-09-09,2020-12-14,2.27,7.65,0,0,17428.0,0,6885868.0,2.63
B.1.1.7,GBR,BGR,2020-09-09,2020-12-14,2.27,13.86,0,0,17428.0,0,6885868.0,2.63
B.1.1.7,GBR,BGR,2020-09-09,2020-12-14,2.95,7.65,0,0,17428.0,0,6885868.0,2.63
B.1.1.7,GBR,BGR,2020-09-09,2020-12-14,2.95,13.86,0,0,17428.0,0,6885868.0,2.63
B.1.1.7,GBR,BHR,2020-09-09,2021-02-08,2.27,2.28,0,0,57255.0,0,1463265.0,1.05
B.1.1.7,GBR,BHR,2020-09-09,2021-02-08,2.27,3.62,0,0,57255.0,0,1463265.0,1.05
B.1.1.7,GBR,BHR,2020-09-09,2021-02-08,2.95,2.28,0,0,57255.0,0,1463265.0,1.05
B.1.1.7,GBR,BHR,2020-09-09,2021-02-08,2.95,3.62,0,0,57255.0,0,1463265.0,1.05
B.1.1.7,GBR,BHR,2020-09-09,2021-02-08,2.27,2.28,0,0,57255.0,0,1463265.0,1.62
B.1.1.7,GBR,BHR,2020-09-09,2021-02-08,2.27,3.62,0,0,57255.0,0,1463265.0,1.62
B.1.1.7,GBR,BHR,2020-09-09,2021-02-08,2.95,2.28,0,0,57255.0,0,1463265.0,1.62
B.1.1.7,GBR,BHR,2020-09-09,2021-02-08,2.95,3.62,0,0,57255.0,0,1463265.0,1.62
B.1.1.7,GBR,BHR,2020-09-09,2021-02-08,2.27,2.28,0,0,57255.0,0,1463265.0,2.63
B.1.1.7,GBR,BHR,2020-09-09,2021-02-08,2.27,3.62,0,0,57255.0,0,1463265.0,2.63
B.1.1.7,GBR,BHR,2020-09-09,2021-02-08,2.95,2.28,0,0,57255.0,0,1463265.0,2.63
B.1.1.7,GBR,BHR,2020-09-09,2021-02-08,2.95,3.62,0,0,57255.0,0,1463265.0,2.63
B.1.1.7,GBR,BRA,2020-09-09,2020-12-28,2.27,5.16,0,0,4225621.0,0,214326223.0,1.05
B.1.1.7,GBR,BRA,2020-09-09,2020-12-28,2.27,6.11,0,0,4225621.0,0,214326223.0,1.05
B.1.1.7,GBR,BRA,2020-09-09,2020-12-28,2.95,5.16,0,0,4225621.0,0,214326223.0,1.05
B.1.1.7,GBR,BRA,2020-09-09,2020-12-28,2.95,6.11,0,0,4225621.0,0,214326223.0,1.05
B.1.1.7,GBR,BRA,2020-09-09,2020-12-28,2.27,5.16,0,0,4225621.0,0,214326223.0,1.62
B.1.1.7,GBR,BRA,2020-09-09,2020-12-28,2.27,6.11,0,0,4225621.0,0,214326223.0,1.62
B.1.1.7,GBR,BRA,2020-09-09,2020-12-28,2.95,5.16,0,0,4225621.0,0,214326223.0,1.62
B.1.1.7,GBR,BRA,2020-09-09,2020-12-28,2.95,6.11,0,0,4225621.0,0,214326223.0,1.62
B.1.1.7,GBR,BRA,2020-09-09,2020-12-28,2.27,5.16,0,0,4225621.0,0,214326223.0,2.63
B.1.1.7,GBR,BRA,2020-09-09,2020-12-28,2.27,6.11,0,0,4225621.0,0,214326223.0,2.63
B.1.1.7,GBR,BRA,2020-09-09,2020-12-28,2.95,5.16,0,0,4225621.0,0,214326223.0,2.63
B.1.1.7,GBR,BRA,2020-09-09,2020-12-28,2.95,6.11,0,0,4225621.0,0,214326223.0,2.63
B.1.1.7,GBR,CAN,2020-09-09,2020-12-07,2.27,2.88,0,0,134911.0,0,38155012.0,1.05
B.1.1.7,GBR,CAN,2020-09-09,2020-12-07,2.27,3.48,0,0,134911.0,0,38155012.0,1.05
B.1.1.7,GBR,CAN,2020-09-09,2020-12-07,2.95,2.88,0,0,134911.0,0,38155012.0,1.05
B.1.1.7,GBR,CAN,2020-09-09,2020-12-07,2.95,3.48,0,0,134911.0,0,38155012.0,1.05
B.1.1.7,GBR,CAN,2020-09-09,2020-12-07,2.27,2.88,0,0,134911.0,0,38155012.0,1.62
B.1.1.7,GBR,CAN,2020-09-09,2020-12-07,2.27,3.48,0,0,134911.0,0,38155012.0,1.62
