,days,cumulative_incidence_SRC,cumulative_incidence_TRG,cumulative_incidence_vax
0,2020-09-09,0.0,0.0010728614870201293,0.0
1,2020-09-10,0.0,0.001078239824901878,0.0
2,2020-09-11,0.0,0.0010829166404512248,0.0
3,2020-09-12,0.0,0.0010865801459648795,0.0
4,2020-09-13,0.0,0.0010885288191104408,0.0
5,2020-09-14,0.0,0.0010895421291461324,0.0
6,2020-09-15,0.0,0.0010865021990390572,0.0
7,2020-09-16,0.0,0.0010916466961433387,0.0
8,2020-09-17,0.0,0.0010900098107010671,0.0
9,2020-09-18,0.0,0.0010859565705583002,0.0
10,2020-09-19,0.0,0.0010923482184757405,0.0
11,2020-09-20,0.0,0.001091880536920806,0.0
12,2020-09-21,0.0,0.0010888406068137305,0.0
13,2020-09-22,0.0,0.0010893082883686653,0.0
14,2020-09-23,6.931970505514184e-05,0.0010919584838466284,0.0
15,2020-09-24,0.00014111511386225305,0.00108946418222031,0.0
16,2020-09-25,0.0002042194445189908,0.0010860345174841227,0.0
17,2020-09-26,0.00026373034863278567,0.001087359615223104,0.0
18,2020-09-27,0.0003059844485345411,0.0010815135957864207,0.0
19,2020-09-28,0.00038061072534495904,0.0010766029394596065,0.0
20,2020-09-29,0.0004548922839114317,0.0010784736656793453,0.0
21,2020-09-30,0.000599423242190959,0.0010777721433469435,0.0
22,2020-10-01,0.0009254626392420715,0.0010753557886464475,0.0
23,2020-10-02,0.0012594444880787543,0.001074888107091513,0.0
24,2020-10-03,0.0018553494805839533,0.0010762132048304945,0.0
25,2020-10-04,0.00218216957118282,0.001078239824901878,0.0
26,2020-10-05,0.0025596149890352317,0.001079954657269972,0.0
27,2020-10-06,0.0029272519119097652,0.0010858006767066552,0.0
28,2020-10-07,0.00338251657959989,0.0010890744475911978,0.0
29,2020-10-08,0.003656272193400449,0.0010909451738109364,0.0
30,2020-10-09,0.003960659892707319,0.0010940630508438343,0.0
31,2020-10-10,0.004216524085113044,0.001096635299395975,0.0
32,2020-10-11,0.0045054205899707255,0.0011020915842035461,0.0
33,2020-10-12,0.004900160616031484,0.0011079376036402296,0.0
34,2020-10-13,0.005319668389331357,0.001112770313041221,0.0
35,2020-10-14,0.00793659041846882,0.0011187722263295494,0.0
36,2020-10-15,0.00998858984399946,0.0011210326871784,0.0
37,2020-10-16,0.012115774756827458,0.0011260992373568592,0.0
38,2020-10-17,0.014205256645309274,0.00113217909757101,0.0
39,2020-10-18,0.016294271462601668,0.0011374015416011137,0.0
40,2020-10-19,0.01901258686244299,0.0011410650471147684,0.0
41,2020-10-20,0.022444522168723745,0.0011470669604030966,0.0
42,2020-10-21,0.02758962270100835,0.001155563175317743,0.0
43,2020-10-22,0.03246389978862599,0.0011668654795619975,0.0
44,2020-10-23,0.03807762841429809,0.0011720879235921015,0.0
45,2020-10-24,0.04282107367207853,0.0011757514291057564,0.0
46,2020-10-25,0.04790900988045768,0.0011843255909462253,0.0
47,2020-10-26,0.053486047469360684,0.0011908731327153108,0.0
48,2020-10-27,0.05945093578428046,0.0011982001437426206,0.0
49,2020-10-28,0.07390447968936704,0.0012074758279154913,0.0
50,2020-10-29,0.0870303088675209,0.0012153484674235584,0.0
51,2020-10-30,0.09901657516288122,0.0012245462046706068,0.0
52,2020-10-31,0.11179806908083284,0.0012339777826951227,0.0
53,2020-11-01,0.09936879455147628,0.001241382740648255,0.0
54,2020-11-02,0.10778349497727578,0.0012469169723816485,0.0
55,2020-11-03,0.1186403707441487,0.0012551793465188277,0.0
56,2020-11-04,0.1357461303214225,0.001263519667581829,0.0
57,2020-11-05,0.15074761348261972,0.0012721717763481204,0.0
58,2020-11-06,0.1673016304188638,0.0012763809103425326,0.0
59,2020-11-07,0.17965663071086635,0.0012854227537379363,0.0
60,2020-11-08,0.19333938623307767,0.0012932174463201806,0.0
61,2020-11-09,0.2059998941984711,0.0012987516780535743,0.0
62,2020-11-10,0.2203721478939757,0.001308027362226445,0.0
63,2020-11-11,0.25168200638658156,0.0013176927810284282,0.0
64,2020-11-12,0.26927039243405543,0.0013315673338248236,0.0
65,2020-11-13,0.2856708449576317,0.001346377249731088,0.0
66,2020-11-14,0.3013162856969627,0.0013615769002664647,0.0
67,2020-11-15,0.31232296438016066,0.0013764647630985516,0.0
68,2020-11-16,0.3241731188841293,0.0013933792460020223,0.0
69,2020-11-17,0.334976072806245,0.0014162176952679986,0.0
70,2020-11-18,0.3524775629903165,0.0014411607115311807,0.0
71,2020-11-19,0.3595279104158558,0.001467506772459167,0.0
72,2020-11-20,0.36678950559516316,0.0014963471350134716,0.0
73,2020-11-21,0.37101319977456676,0.001520588628944252,0.0
74,2020-11-22,0.3745809419705968,0.0015385943688092365,0.0
75,2020-11-23,0.3719169548987023,0.001559640038781297,0.0
76,2020-11-24,0.37934891937293047,0.0015848948427477688,0.0
77,2020-11-25,0.4096237412211526,0.0016272979703951787,0.0
78,2020-11-26,0.41471455037158306,0.0016695452041909438,0.0
79,2020-11-27,0.42970640198298976,0.0017048551615885111,0.0
80,2020-11-28,0.43471691643120547,0.001736891348101536,0.0
81,2020-11-29,0.4422908005730852,0.001762457939771298,0.0
82,2020-11-30,0.4568973690013392,0.0017945720732101451,0.0
83,2020-12-01,0.534353180253986,0.001831363022198339,0.0
84,2020-12-02,0.5815208431046304,0.0018694790689255147,0.0
85,2020-12-03,0.6251095007863903,0.0019140647104959531,0.0
86,2020-12-04,0.6690306834718115,0.0019565457850691855,0.0
87,2020-12-05,0.7217904299930838,0.0020027683120818953,0.0
