,days,cumulative_incidence_SRC,cumulative_incidence_TRG,cumulative_incidence_vax
0,2020-09-09,0.0,0.017930737786919965,0.0
1,2020-09-10,0.0,0.01837818372068531,0.0
2,2020-09-11,0.0,0.018813291990835798,0.0
3,2020-09-12,0.0,0.019377534473488417,0.0
4,2020-09-13,0.0,0.019896538856219906,0.0
5,2020-09-14,0.0,0.02078320561467402,0.0
6,2020-09-15,0.0,0.020802945876457788,0.0
7,2020-09-16,0.0,0.021319482726466308,0.0
8,2020-09-17,0.0,0.021863162436427504,0.0
9,2020-09-18,0.0,0.022429872451803095,0.0
10,2020-09-19,0.0,0.023054980741622322,0.0
11,2020-09-20,0.0,0.023840478658434642,0.0
12,2020-09-21,0.0,0.024390738455657094,0.0
13,2020-09-22,0.0,0.025073422509012306,0.0
14,2020-09-23,8.109216861930195e-05,0.025827665011333663,0.0
15,2020-09-24,0.00016508048611786472,0.026655110984436483,0.0
16,2020-09-25,0.00023890173244535163,0.027573855668289217,0.0
17,2020-09-26,0.00030851928588479754,0.028620089542828766,0.0
18,2020-09-27,0.0003579493374316747,0.029432730319593762,0.0
19,2020-09-28,0.0004452492850833162,0.030262643825419554,0.0
20,2020-09-29,0.0005321459714986049,0.03115918071476555,0.0
21,2020-09-30,0.0007012224098676017,0.03218156177298305,0.0
22,2020-10-01,0.0009084423552208171,0.03319818525484696,0.0
23,2020-10-02,0.0012362819075626358,0.03425428926027839,0.0
24,2020-10-03,0.0018212275465595955,0.03532931101658593,0.0
25,2020-10-04,0.0021420370533380283,0.03613619421699733,0.0
26,2020-10-05,0.0025125408314721357,0.03707961422807977,0.0
27,2020-10-06,0.0028734165037259535,0.038111865417189146,0.0
28,2020-10-07,0.003320308349412941,0.039289701036953804,0.0
29,2020-10-08,0.0035890292939554152,0.04040584833864418,0.0
30,2020-10-09,0.0038878189659891115,0.041569701272978675,0.0
31,2020-10-10,0.0041389775322129094,0.04270970139099111,0.0
32,2020-10-11,0.004422560910038847,0.04353303480955564,0.0
33,2020-10-12,0.004810041229361348,0.04438762364261114,0.0
34,2020-10-13,0.005221833789590559,0.045407537168105666,0.0
35,2020-10-14,0.007790627721159574,0.046536022133410904,0.0
36,2020-10-15,0.009804888602147144,0.047765675940357945,0.0
37,2020-10-16,0.011892952225960481,0.0488900483511249,0.0
38,2020-10-17,0.013944006225847731,0.049849918580360475,0.0
39,2020-10-18,0.015994601744502582,0.05067407450983267,0.0
40,2020-10-19,0.018662924310270626,0.05121117413253261,0.0
41,2020-10-20,0.022031742521188887,0.05235117425054504,0.0
42,2020-10-21,0.02708221895017192,0.05336533019968598,0.0
43,2020-10-22,0.031866852677904726,0.0545513909285272,0.0
44,2020-10-23,0.03737733861005714,0.055743209233722016,0.0
45,2020-10-24,0.042033546650360264,0.05691446476622541,0.0
46,2020-10-25,0.047027910070734084,0.05812931337683462,0.0
47,2020-10-26,0.05250237975496394,0.05878074201569887,0.0
48,2020-10-27,0.05835756716033848,0.060265374204019534,0.0
49,2020-10-28,0.07254529436797338,0.06178372933955413,0.0
50,2020-10-29,0.08542972499457728,0.06337035288042425,0.0
51,2020-10-30,0.09719555056326654,0.06480727943610082,0.0
52,2020-10-31,0.10974197863687718,0.0662022579354869,0.0
53,2020-11-01,0.09935695699335742,0.06734390307531464,0.0
54,2020-11-02,0.10777065499675868,0.06822481225741515,0.0
55,2020-11-03,0.11862623741094014,0.06944048337893202,0.0
56,2020-11-04,0.1357299592214877,0.07098351384169632,0.0
57,2020-11-05,0.15072965529319082,0.07269104648599202,0.0
58,2020-11-06,0.16728170019044147,0.0744232544575174,0.0
59,2020-11-07,0.17963522866189233,0.0758667611004552,0.0
60,2020-11-08,0.19331635419136348,0.07679455340429217,0.0
61,2020-11-09,0.20597535394183358,0.07770836302269896,0.0
62,2020-11-10,0.22034589550639017,0.0789783198641212,0.0
63,2020-11-11,0.25165202413318377,0.08055507327409943,0.0
64,2020-11-12,0.26923831491983674,0.08208741109506419,0.0
65,2020-11-13,0.28563681369816724,0.08364606926507398,0.0
66,2020-11-14,0.30128039063493445,0.08499498715363125,0.0
67,2020-11-15,0.312285758119791,0.0859326495883601,0.0
68,2020-11-16,0.32413450094423485,0.0867625630941859,0.0
69,2020-11-17,0.3349361679372348,0.08795026884484243,0.0
70,2020-11-18,0.3524355732121741,0.08961338590012463,0.0
71,2020-11-19,0.35948508074730534,0.0911745116028574,0.0
72,2020-11-20,0.36674581087078345,0.09256620005861284,0.0
73,2020-11-21,0.3709690018919717,0.09390113526173995,0.0
74,2020-11-22,0.3745363190717198,0.09486511804551381,0.0
75,2020-11-23,0.3718726493540001,0.09570407917132383,0.0
76,2020-11-24,0.3793037284767272,0.0966754645532666,0.0
77,2020-11-25,0.4095749437604865,0.09801780235456263,0.0
78,2020-11-26,0.41466514645544506,0.09953122242465129,0.0
79,2020-11-27,0.4296552121247401,0.10097308404577379,0.0
80,2020-11-28,0.43466512968279286,0.10235736990336032,0.0
81,2020-11-29,0.4422381115666334,0.10339126611428502,0.0
82,2020-11-30,0.4568429399506064,0.10420226186923472,0.0
83,2020-12-01,0.6984159833312237,0.1054039503053214,0.0
84,2020-12-02,0.7600655642612185,0.10691408033177943,0.0
85,2020-12-03,0.8170372757469152,0.10815771682415663,0.0
86,2020-12-04,0.8744436076035506,0.10936434032568927,0.0
87,2020-12-05,0.9434022132760121,0.1093487126184438,0.0
88,2020-12-06,0.998576768219196,0.11165092064897539,0.0
89,2020-12-07,1.0453746463733389,0.11244382116395664,0.0
90,2020-12-08,1.1265521983148494,0.11328689484430494,0.0
91,2020-12-09,1.259645275965096,0.11431832352250666,0.0
92,2020-12-10,1.3620197355998824,0.11576429769816746,0.0
93,2020-12-11,1.4743242753439083,0.11700957921235998,0.0
94,2020-12-12,1.5578129564037602,0.11826144081381375,0.0
95,2020-12-13,1.6709222112608915,0.11930273962290734,0.0
96,2020-12-14,1.769020735611418,0.12018858387045381,0.0
97,2020-12-15,1.916221431305252,0.12122330259228617,0.0
98,2020-12-16,2.198037723118346,0.12290204735481386,0.0
99,2020-12-17,2.386357071671462,0.12462109515181674,0.0
100,2020-12-18,2.55127410937163,0.12613780526553603,0.0
101,2020-12-19,2.8083884631841016,0.12746204782686357,0.0
102,2020-12-20,3.028639637822734,0.12870815185196377,0.0
