,days,cumulative_incidence_SRC,cumulative_incidence_TRG,cumulative_incidence_vax
0,2020-09-09,0.0,0.00659670298513508,0.0
1,2020-09-10,0.0,0.006537891368625704,0.0
2,2020-09-11,0.0,0.006501950936314418,0.0
3,2020-09-12,0.0,0.006475812440088029,0.0
4,2020-09-13,0.0,0.006354921895040977,0.0
5,2020-09-14,0.0,0.006266704470276912,0.0
6,2020-09-15,0.0,0.006024923380182808,0.0
7,2020-09-16,0.0,0.005815815410371691,0.0
8,2020-09-17,0.0,0.005662251745041651,0.0
9,2020-09-18,0.0,0.005430272591032443,0.0
10,2020-09-19,0.0,0.00561650937664547,0.0
11,2020-09-20,0.0,0.005420470654947548,0.0
12,2020-09-21,0.0,0.005358391726409872,0.0
13,2020-09-22,0.0,0.005283243549759002,0.0
14,2020-09-23,6.722619155161098e-05,0.005181956876881742,0.0
15,2020-09-24,0.0001368533185157795,0.005061066331834689,0.0
16,2020-09-25,0.00019805184521307938,0.005034927835608301,0.0
17,2020-09-26,0.0002557654698769624,0.004949977722872534,0.0
18,2020-09-27,0.000296743460357111,0.004861760298108469,0.0
19,2020-09-28,0.00036911596072551205,0.004714731256835028,0.0
20,2020-09-29,0.0004411541536314049,0.0044958213509390145,0.0
21,2020-09-30,0.0005813201551847638,0.00445661360659943,0.0
22,2020-10-01,0.0013558245290303521,0.004417405862259845,0.0
23,2020-10-02,0.0018451157912627524,0.004322653813439183,0.0
24,2020-10-03,0.0027181306181734096,0.0042801787570713005,0.0
25,2020-10-04,0.0031969297361764456,0.0043618615577787675,0.0
26,2020-10-05,0.0037498961490761815,0.00445661360659943,0.0
27,2020-10-06,0.004288492886183526,0.004682058136552041,0.0
28,2020-10-07,0.004955466330039285,0.004891166106363157,0.0
29,2020-10-08,0.0053565247417051865,0.005155818380655352,0.0
30,2020-10-09,0.005802459878960812,0.0054629457113154305,0.0
31,2020-10-10,0.006177306937560967,0.00571452873749443,0.0
32,2020-10-11,0.006600547110668296,0.005900765523107456,0.0
33,2020-10-12,0.007178850531281331,0.006060863812494093,0.0
34,2020-10-13,0.007793439284020919,0.0063026449025881965,0.0
35,2020-10-14,0.011627291594439673,0.006544425992682301,0.0
36,2020-10-15,0.014633519006244365,0.0067862070827764045,0.0
37,2020-10-16,0.01774989492494972,0.0070508593570686,0.0
38,2020-10-17,0.020811035026389618,0.007269769262964613,0.0
39,2020-10-18,0.023871490857553683,0.007439669488436146,0.0
40,2020-10-19,0.027853886840350117,0.007567094657539794,0.0
41,2020-10-20,0.03288175276707355,0.00785461811603008,0.0
42,2020-10-21,0.040419446035503716,0.007975508661077133,0.0
43,2020-10-22,0.04756037658899958,0.008096399206124184,0.0
44,2020-10-23,0.055784621034177265,0.008220557063199536,0.0
45,2020-10-24,0.06273387988041061,0.008501545897633224,0.0
46,2020-10-25,0.07018782607008249,0.008668178811076458,0.0
47,2020-10-26,0.07835831728359235,0.008844613660604588,0.0
48,2020-10-27,0.08709701893114678,0.009073325502585496,0.0
49,2020-10-28,0.108271800631662,0.009386987457302171,0.0
50,2020-10-29,0.1275014490355976,0.009543818434660508,0.0
51,2020-10-30,0.14506161101906634,0.00979540146083951,0.0
52,2020-10-31,0.1637868001696553,0.010017578678763822,0.0
53,2020-11-01,0.051874287026634526,0.010099261479471289,0.0
54,2020-11-02,0.05626708042924486,0.010233221272631534,0.0
55,2020-11-03,0.061934782168864194,0.010311636761310704,0.0
56,2020-11-04,0.07086463873123225,0.010416190746216263,0.0
57,2020-11-05,0.07869598303647127,0.010507675483008627,0.0
58,2020-11-06,0.08733780897257684,0.010579556347631199,0.0
59,2020-11-07,0.09378758864691397,0.010657971836310369,0.0
60,2020-11-08,0.10093050700954712,0.010706981516734848,0.0
61,2020-11-09,0.10753977329947469,0.01077886238135742,0.0
62,2020-11-10,0.11504263591127777,0.010821337437725304,0.0
63,2020-11-11,0.13138757189988304,0.010912822174517665,0.0
64,2020-11-12,0.14056937782074755,0.010971633791027044,0.0
65,2020-11-13,0.1491310372975963,0.01100430691131003,0.0
66,2020-11-14,0.15729855193067185,0.01105658390376281,0.0
67,2020-11-15,0.16304445648551047,0.011066385839847705,0.0
68,2020-11-16,0.16923068747305045,0.011115395520272185,0.0
69,2020-11-17,0.17487023996053716,0.011148068640555172,0.0
70,2020-11-18,0.18400668293843853,0.01118400907286646,0.0
71,2020-11-19,0.18768723222597622,0.011197078320979654,0.0
72,2020-11-20,0.19147806086894092,0.011262424561545626,0.0
73,2020-11-21,0.19368298974187406,0.011321236178055005,0.0
74,2020-11-22,0.19554548675161715,0.011347374674281395,0.0
75,2020-11-23,0.19415478426170102,0.01138331510659268,0.0
76,2020-11-24,0.19803455215108756,0.011412720914847367,0.0
77,2020-11-25,0.21383915967725953,0.01145846328324355,0.0
78,2020-11-26,0.21649675551767647,0.011491136403526536,0.0
79,2020-11-27,0.2243230717879011,0.011566284580177406,0.0
80,2020-11-28,0.2269387507423559,0.011647967380884874,0.0
81,2020-11-29,0.2308926060915703,0.011680640501167861,0.0
