,days,cumulative_incidence_SRC,cumulative_incidence_TRG,cumulative_incidence_vax
0,2020-09-09,0.0,0.005432667042473479,0.0
1,2020-09-10,0.0,0.0055499074510891215,0.0
2,2020-09-11,0.0,0.0055467387913968064,0.0
3,2020-09-12,0.0,0.005724183734166428,0.0
4,2020-09-13,0.0,0.005955495891705398,0.0
5,2020-09-14,0.0,0.006210572996936727,0.0
6,2020-09-15,0.0,0.006380096290475561,0.0
7,2020-09-16,0.0,0.006571800201860598,0.0
8,2020-09-17,0.0,0.006904509469553637,0.0
9,2020-09-18,0.0,0.007211869459708159,0.0
10,2020-09-19,0.0,0.007508139140939579,0.0
11,2020-09-20,0.0,0.00786936634586345,0.0
12,2020-09-21,0.0,0.008107015822787049,0.0
13,2020-09-22,0.0,0.00830822571324903,0.0
14,2020-09-23,1.8513773510504594e-05,0.008506266944018695,0.0
15,2020-09-24,3.7688753217812925e-05,0.008805705284942431,0.0
16,2020-09-25,5.454253648739675e-05,0.009016421154481355,0.0
17,2020-09-26,7.043659430676755e-05,0.009217631044943336,0.0
18,2020-09-27,8.172173804546422e-05,0.00947587680986698,0.0
19,2020-09-28,0.00010165278053477177,0.009705604637559795,0.0
20,2020-09-29,0.00012149175633844839,0.010077922151406765,0.0
21,2020-09-30,0.0001600928067138766,0.010195162560022408,0.0
22,2020-10-01,0.0003877384808083688,0.01030131265971495,0.0
23,2020-10-02,0.000527665917308194,0.010529456157561606,0.0
24,2020-10-03,0.0007773305571355957,0.010673630173561922,0.0
25,2020-10-04,0.0009142574519157447,0.010824141508946868,0.0
26,2020-10-05,0.0010723946977650538,0.011009508100947274,0.0
27,2020-10-06,0.001226422506041763,0.011163188096024535,0.0
28,2020-10-07,0.0014171634642726257,0.011293103143409436,0.0
29,2020-10-08,0.0015318580843544495,0.011419849531102024,0.0
30,2020-10-09,0.001659386543204671,0.011556101897871554,0.0
31,2020-10-10,0.0017665852447512895,0.01186029322833376,0.0
32,2020-10-11,0.0018876234014035158,0.012112201673872777,0.0
33,2020-10-12,0.002053006520644724,0.01218032785725754,0.0
34,2020-10-13,0.0022287665133331456,0.01230548991510397,0.0
35,2020-10-14,0.003325170980619594,0.012430651972950398,0.0
36,2020-10-15,0.0041848914124746305,0.012522543104027523,0.0
37,2020-10-16,0.005076112096622282,0.012609681245566176,0.0
38,2020-10-17,0.005951536450629755,0.012630277533566221,0.0
39,2020-10-18,0.006826765117133769,0.01275543959141265,0.0
40,2020-10-19,0.007965650079962373,0.012814059795720473,0.0
41,2020-10-20,0.009403518369253561,0.012860005361259034,0.0
42,2020-10-21,0.0115591466781696,0.012923378555105329,0.0
43,2020-10-22,0.01360130884966441,0.013142016073875037,0.0
44,2020-10-23,0.01595327695371578,0.013130925764951938,0.0
45,2020-10-24,0.017940624881186647,0.01315944370218277,0.0
46,2020-10-25,0.020072303213985128,0.013229154215413692,0.0
47,2020-10-26,0.022408898977487143,0.013233907204952164,0.0
48,2020-10-27,0.02490799146955438,0.013252919163106051,0.0
49,2020-10-28,0.030963552135563555,0.013338472974798548,0.0
50,2020-10-29,0.03646284389417588,0.013409767817875626,0.0
51,2020-10-30,0.041484696194700695,0.013523839566798956,0.0
52,2020-10-31,0.046839722777153224,0.013661676263414642,0.0
53,2020-11-01,0.0314290458167913,0.013717127808030149,0.0
54,2020-11-02,0.03409050514525305,0.013908831719415185,0.0
55,2020-11-03,0.03752439248830114,0.013954777284953748,0.0
56,2020-11-04,0.042934719783824994,0.013999138520646154,0.0
57,2020-11-05,0.04767949206088878,0.014073602023415547,0.0
58,2020-11-06,0.0529153103989248,0.014138559547107998,0.0
59,2020-11-07,0.056823034871144935,0.014206685730492764,0.0
60,2020-11-08,0.06115071090010955,0.014257384285569798,0.0
61,2020-11-09,0.06515506344060527,0.014311251500339147,0.0
62,2020-11-10,0.06970081869430882,0.014360365725570024,0.0
63,2020-11-11,0.0796037160930651,0.014369871704646967,0.0
64,2020-11-12,0.08516669180817361,0.014444335207416363,0.0
65,2020-11-13,0.09035393973752802,0.014580587574185892,0.0
66,2020-11-14,0.09530238734665747,0.014670894375416861,0.0
67,2020-11-15,0.09878365538645163,0.014835664679417222,0.0
68,2020-11-16,0.10253170376041426,0.014892700553878885,0.0
69,2020-11-17,0.10594853633151859,0.01493230880003282,0.0
70,2020-11-18,0.11148402802526519,0.015011525292340686,0.0
71,2020-11-19,0.11371396040254467,0.015111338072648597,0.0
72,2020-11-20,0.11601070767238512,0.015207982193264196,0.0
73,2020-11-21,0.11734660671875852,0.015342650230187568,0.0
74,2020-11-22,0.11847503676007738,0.015399686104649231,0.0
75,2020-11-23,0.11763245260560685,0.015485239916341728,0.0
76,2020-11-24,0.11998308544787487,0.015610401974188157,0.0
77,2020-11-25,0.1295586143375813,0.015705461764957594,0.0
78,2020-11-26,0.1311687704711604,0.01577992526772699,0.0
79,2020-11-27,0.13591049641540895,0.015865479079419487,0.0
80,2020-11-28,0.13749525638829047,0.015971629179112025,0.0
81,2020-11-29,0.13989077655919174,0.016031833713266004,0.0
82,2020-11-30,0.14451064248822723,0.016115803195112344,0.0
83,2020-12-01,0.22910511741174758,0.016190266697881737,0.0
84,2020-12-02,0.2493283580225701,0.016269483190189605,0.0
85,2020-12-03,0.26801709218759073,0.01634236236311284,0.0
86,2020-12-04,0.28684839718931887,0.016459602771728483,0.0
87,2020-12-05,0.30946925614186555,0.016578427510190282,0.0
88,2020-12-06,0.3275684594678068,0.016659228332344306,0.0
89,2020-12-07,0.34291981686084166,0.016760625442498376,0.0
90,2020-12-08,0.3695489218822511,0.016888956160037123,0.0
91,2020-12-09,0.4132081534999354,0.017039467495422067,0.0
92,2020-12-10,0.4467905931267053,0.017155123574191553,0.0
93,2020-12-11,0.48363044985679543,0.01725652068434562,0.0
94,2020-12-12,0.5110176868806909,0.017407032019730567,0.0
95,2020-12-13,0.5481215185982832,0.017568633664038616,0.0
96,2020-12-14,0.580301300383987,0.01769062706219273,0.0
97,2020-12-15,0.6285883291389301,0.017803114481269897,0.0
98,2020-12-16,0.721034029359628,0.01783163241850073,0.0
99,2020-12-17,0.7828094289651438,0.01792035488988554,0.0
100,2020-12-18,0.8369080438125303,0.018029673649270397,0.0
101,2020-12-19,0.921250635655128,0.018172263335424554,0.0
102,2020-12-20,0.9935008023609039,0.018305347042501773,0.0
103,2020-12-21,1.0823845094437605,0.018395653843732738,0.0
104,2020-12-22,1.183719389464389,0.01848912930465602,0.0
105,2020-12-23,1.2904262137635614,0.018595279404348564,0.0
106,2020-12-24,1.3529943413626164,0.018741037750195037,0.0
107,2020-12-25,1.4207494282235278,0.018855109499118367,0.0
108,2020-12-26,1.4804391441143903,0.018989777536041738,0.0
109,2020-12-27,1.580573113952145,0.01904522908065724,0.0
110,2020-12-28,1.7182680977413807,0.019051566400041874,0.0
111,2020-12-29,1.8494353129687806,0.019070578358195762,0.0
112,2020-12-30,2.0052701263835253,0.019126029902811266,0.0
113,2020-12-31,2.1029667303686668,0.019168806808657516,0.0
114,2021-01-01,1.9874323069419604,0.01930189051573473,0.0
115,2021-01-02,2.103792746120942,0.01931931814404246,0.0
116,2021-01-03,2.2080733976750264,0.01949359442711977,0.0
117,2021-01-04,2.3274884803952958,0.019728075244351054,0.0
118,2021-01-05,2.441807835355142,0.019793032768043506,0.0
119,2021-01-06,2.5281016912543355,0.01992611647512072,0.0
120,2021-01-07,2.660179146060247,0.01997839936004391,0.0
121,2021-01-08,2.781740805286916,0.020046525543428676,0.0
122,2021-01-09,2.878215901272046,0.02011465172681344,0.0
123,2021-01-10,2.9493195040298144,0.0202572414129676,0.0
124,2021-01-11,2.9890937120542906,0.020396662439429444,0.0
125,2021-01-12,2.998849165644444,0.020588366350814482,0.0
126,2021-01-13,3.0351207340218282,0.020729371707122482,0.0
127,2021-01-14,3.0624165373981214,0.020819678508353454,0.0
128,2021-01-15,3.0408178283057783,0.02091632262896905,0.0
129,2021-01-16,2.9925328995131366,0.021050990665892423,0.0
130,2021-01-17,2.949605934967698,0.021152387776046493,0.0
