iso_a3_target daily_seeds
ARE 9394.34456
AFG 420.46152
ATG 1.4195
ALB 17.21754
ARM 59.82936
AGO 30.50125
ARG 4.53964
AUT 117.59791
AUS 487.22404
ABW 16.45487
AZE 36.53384
BIH 20.9489
BRB 5.12218
BGD 1294.90688
BEL 101.24987
BFA 6.37097
BGR 39.33473
BHR 621.24616
BDI 10.07118
BEN 4.85869
BLM 1.07282
BMU 1.99564
BRN 7.70772
BOL 1.50856
BES 2.9087
BRA 105.20745
BHS 4.84951
BTN 207.18477
BWA 1.35342
BLR 40.46026
BLZ 1.31756
CAN 784.71284
COD 19.50189
CAF 3.88835
COG 8.47955
CHE 235.62886
CIV 19.1083
CHL 5.11252
CMR 12.75961
CHN 375.28244
COL 16.73431
CRI 16.23784
CUB 4.62981
CPV 2.21769
CUW 5.63351
CYP 48.03563
CZE 66.56627
DEU 896.50836
DJI 18.09037
DNK 90.4817
DOM 86.30736
DZA 13.00129
ECU 5.52565
EST 6.02957
EGY 732.37672
ESP 352.11419
ETH 328.76167
FIN 39.0489
FJI 0.6631
FRO 1.31235
FRA 535.15948
GAB 3.74467
GBR 915.21197
GRD 0.58303
GEO 66.56997
GUF 1.02041
GHA 68.28216
GRL 0.81442
GMB 2.10199
GIN 22.89255
GLP 4.6512
GRC 111.09516
GTM 6.17029
GUM 7.24073
GNB 0.79175
GUY 2.65389
HKG 281.80863
HND 3.75242
HRV 19.44137
HTI 2.23247
HUN 52.91444
IDN 218.516
IRL 96.18909
ISR 175.40554
IND 0.0
IRQ 375.66724
IRN 283.93349
ISL 7.19996
ITA 370.14927
JAM 12.96688
JOR 302.60871
JPN 557.84225
KEN 271.92742
KGZ 37.00357
KHM 13.13599
COM 7.12551
KOR 204.22107
KWT 1385.47038
CYM 0.80141
KAZ 123.35906
LAO 0.26322
LBN 286.5045
LCA 0.80058
LKA 600.77135
LBR 3.37018
LTU 9.58184
LUX 17.416
LVA 10.13479
LBY 13.88183
MAR 88.88999
MDA 5.10897
MNE 3.24367
MAF 0.5226
MDG 1.30252
MKD 3.73841
MLI 11.10442
MMR 79.08529
MAC 5.4678
MNP 2.88212
MTQ 4.64295
MRT 4.86241
MLT 13.40021
MUS 19.19075
MDV 1311.0097
MWI 5.90186
MEX 105.73664
MYS 319.94215
MOZ 5.24594
NAM 7.70507
NCL 1.74061
NER 6.08336
NFK 0.54157
NGA 126.80138
NIC 0.66027
NLD 392.51411
NOR 63.35351
NPL 712.59393
NZL 34.28841
OMN 987.74986
PAN 17.21391
PER 6.81676
PYF 4.3541
PNG 3.9217
PHL 341.30298
PAK 1631.53378
POL 96.38599
PRI 44.28266
PRT 109.45045
PRY 0.67168
QAT 2189.41127
REU 8.91758
ROU 105.9351
SRB 50.71352
RUS 632.50369
RWA 51.38688
SAU 2863.85142
SYC 75.34766
SDN 223.91125
SWE 93.64841
SGP 420.51497
SVN 2.61407
SLE 4.06648
SEN 31.00207
SOM 18.61215
SUR 1.31009
SSD 24.59251
SLV 10.84929
SXM 8.00863
SYR 9.9588
TCA 5.94747
TCD 5.40591
TGO 11.32444
THA 730.19765
TJK 23.87206
TLS 0.22866
TKM 0.08211
TUN 47.44298
TUR 677.14286
TTO 0.45902
TWN 226.89993
TZA 165.39263
UKR 245.71593
UGA 111.10752
USA 3332.42077
URY 0.7249
UZB 97.62817
VCT 0.64057
VEN 1.60594
VGB 0.47761
VIR 9.65272
VNM 248.11521
WSM 0.52867
MYT 5.79819
ZAF 139.70342
ZMB 31.54701
ZWE 21.05652
