iso_a3_target daily_seeds
ARE 405.40203
AFG 8.02153
ATG 1.1037
ALB 2.92771
ARM 4.96935
AGO 58.95499
ARG 6.07183
AUT 31.73936
AUS 43.69189
ABW 3.82713
AZE 2.00308
BIH 1.63685
BRB 3.39773
BGD 37.31036
BEL 26.90471
BFA 6.71282
BGR 8.60002
BHR 17.35039
BDI 10.01916
BEN 8.18117
BLM 0.50728
BMU 0.10109
BRN 1.3182
BOL 0.46717
BES 3.59296
BRA 57.45908
BHS 0.28754
BTN 0.2427
BWA 128.8636
BLR 4.72174
BLZ 0.1119
CAN 42.49196
COD 96.19721
CAF 2.46367
COG 9.78038
CHE 113.05439
CIV 19.73453
CHL 3.60104
CMR 17.64386
CHN 54.08111
COL 6.09553
CRI 4.66084
CUB 2.77345
CPV 4.77935
CUW 5.97662
CYP 5.8055
CZE 13.63385
DEU 283.35174
DJI 7.73694
DNK 25.34715
DMA 0.21409
DOM 12.02892
DZA 4.29938
ECU 3.84653
EST 2.68003
EGY 76.17123
ESP 113.72623
ETH 394.07021
FIN 15.69391
FJI 0.03912
FRO 0.33419
FRA 174.14082
GAB 9.05034
GBR 258.9031
GRD 0.32526
GEO 3.22671
GUF 0.33804
GHA 29.41535
GIB 0.50844
GRL 0.2215
GMB 0.44601
GIN 2.55295
GLP 3.15964
GNQ 2.30478
GRC 27.89471
GTM 0.58606
GUM 0.78316
GNB 0.6454
GUY 0.61772
HKG 20.42826
HND 0.2612
HRV 6.46146
HTI 0.43422
HUN 10.36371
IDN 28.97464
IRL 32.78216
ISR 18.65319
IND 203.45125
IRQ 37.34555
IRN 42.08194
ISL 2.69058
ITA 71.67794
JAM 2.19831
JOR 25.27469
JPN 39.33396
KEN 216.61751
KGZ 2.09445
KHM 2.37118
COM 7.92847
KNA 0.04041
PRK 0.00345
KOR 35.16899
KWT 32.00848
CYM 0.30384
KAZ 6.77682
LAO 0.1751
LBN 41.98384
LCA 0.50881
LKA 24.95273
LBR 1.77705
LTU 3.25765
LUX 4.49616
LVA 5.67004
LBY 1.49491
MAR 25.27368
MCO 0.14855
MDA 1.51084
MNE 0.69325
MAF 0.16104
MDG 3.05151
MKD 0.79231
MLI 10.43456
MMR 0.97828
MAC 0.59431
MNP 0.41899
MTQ 2.84069
MRT 1.01773
MLT 4.31781
MUS 14.09918
MDV 41.12345
MWI 105.76281
MEX 22.28053
MYS 26.33451
MOZ 160.16582
NAM 219.52746
NCL 0.16012
NER 11.40299
NFK 0.05628
NGA 128.66275
NIC 0.11582
NLD 234.18611
NOR 23.67818
NPL 14.92838
NZL 3.31663
OMN 21.30886
PAN 5.40076
PER 4.87643
PYF 0.15915
PNG 0.93072
PHL 43.457
PAK 97.72542
POL 25.42124
PRI 2.08168
PRT 63.44633
PRY 0.23307
QAT 365.51379
REU 5.54269
ROU 20.28337
SRB 14.08682
RUS 49.76724
RWA 59.62329
SAU 74.04871
SLB 0.01161
SYC 34.53468
SDN 24.19356
SWE 38.36908
SGP 65.33717
SVN 0.87893
SVK 0.17489
SLE 1.05511
SEN 7.80494
SOM 20.91356
SUR 0.89997
SSD 8.78953
SLV 1.48623
SXM 2.49887
SYR 1.23441
TCA 0.2829
TCD 3.9227
TGO 44.87398
THA 39.44056
TJK 1.08697
TLS 0.03375
TKM 0.03212
TUN 11.8968
TUR 135.13192
TTO 0.29259
TWN 9.32486
TZA 199.30349
UKR 28.67521
UGA 49.51393
USA 255.72555
URY 0.3345
UZB 4.1122
VCT 0.24039
VEN 0.3668
VGB 0.12376
VIR 0.52605
VNM 21.83757
VUT 0.04488
WSM 0.07193
MYT 6.35516
ZAF 0.0
ZMB 206.11103
ZWE 389.60639
