,source_iso2,outflux
0,AE,2660724.5
1,AF,68833.0
2,AG,27271.5
3,AL,73992.5
4,AM,73420.0
5,AO,32220.5
6,AR,127901.0
7,AT,215831.0
8,AU,278176.5
9,AW,104432.0
10,AZ,60743.0
11,BA,25626.0
12,BB,28971.0
13,BD,334475.0
14,BE,225958.5
15,BF,31899.0
16,BG,99307.5
17,BH,152036.0
18,BI,12670.0
19,BJ,29574.0
20,BL,16028.5
21,BM,11313.0
22,BN,11260.0
23,BO,37186.5
24,BQ,17141.0
25,BR,276591.5
26,BS,95464.0
27,BT,12092.0
28,BW,7226.0
29,BY,96888.5
30,BZ,36011.0
31,CA,297039.5
32,CD,52498.0
33,CF,11382.5
34,CG,24472.0
35,CH,443045.0
36,CI,92596.5
37,CL,163838.5
38,CM,48415.0
39,CN,619700.0
40,CO,288327.0
41,CR,185870.5
42,CU,35037.5
43,CV,9949.5
44,CW,36883.0
45,CY,73329.5
46,CZ,82430.5
47,DE,1544506.5
48,DJ,25302.0
49,DK,172877.5
50,DM,5064.5
51,DO,523106.0
52,DZ,18975.0
53,EC,111886.0
54,EE,22790.0
55,EG,635586.5
56,ES,1039645.5
57,ET,423971.5
58,FI,99659.0
59,FJ,4812.0
60,FO,5580.0
61,FR,1271110.0
62,GA,18274.0
63,GB,997816.5
64,GD,10464.0
65,GE,51446.5
66,GF,15171.0
67,GH,99463.0
68,GL,3929.0
69,GM,14422.0
70,GN,34107.0
71,GP,61298.0
72,GQ,3232.0
73,GR,169276.0
74,GT,101391.0
75,GU,46172.5
76,GW,4954.5
77,GY,22584.0
78,HK,421145.5
79,HN,64306.0
80,HR,33112.0
81,HT,53551.0
82,HU,56495.0
83,ID,222179.0
84,IE,169041.0
85,IL,162093.0
86,IN,1280214.5
87,IQ,206103.5
88,IR,275094.5
89,IS,18862.5
90,IT,580805.5
91,JM,187318.5
92,JO,152632.5
93,JP,820006.0
94,KE,175730.5
95,KG,97722.5
96,KH,39952.0
97,KM,7983.0
98,KN,5458.0
99,KR,864619.0
100,KW,236108.0
101,KY,7628.0
102,KZ,78226.5
103,LA,12988.5
104,LB,174120.5
105,LC,22466.0
106,LK,111951.5
107,LR,23460.5
108,LT,38197.5
109,LU,37396.0
110,LV,46139.5
111,LY,30447.0
112,MA,281690.5
113,MC,5832.0
114,MD,41633.0
115,ME,13884.0
116,MF,9215.0
117,MG,4506.5
118,MK,36210.0
119,ML,69104.0
120,MM,16943.0
121,MO,101095.0
122,MP,12275.0
123,MQ,48041.0
124,MR,20403.0
125,MT,29332.0
126,MU,7124.5
127,MV,186714.5
128,MW,10920.0
129,MX,1711944.5
130,MY,307429.0
131,MZ,18905.0
132,NA,18535.5
133,NC,6570.0
134,NE,28327.5
135,NF,6900.0
136,NG,139829.0
137,NI,20546.0
138,NL,922114.5
139,NO,108851.0
140,NP,100739.5
141,NZ,66736.0
142,OM,192380.5
143,PA,308245.5
144,PE,155392.5
145,PF,3470.5
146,PG,9193.0
147,PH,323845.5
148,PK,537873.0
149,PL,237249.0
150,PR,474869.5
151,PT,247433.5
152,PY,18498.0
153,QA,1267803.5
154,RE,31969.5
155,RO,227434.0
156,RS,139494.0
157,RU,825507.0
158,RW,48882.5
159,SA,702065.0
160,SC,12877.0
161,SD,131823.0
162,SE,208626.5
163,SG,534895.5
164,SI,5935.5
165,SL,18121.0
166,SN,105434.0
167,SO,29572.5
168,SR,4785.0
169,SS,17401.0
170,SV,129701.5
171,SX,56644.0
172,SY,12887.0
173,TC,52131.0
174,TD,14306.0
175,TG,56204.5
176,TH,427783.5
177,TJ,32316.5
178,TL,6629.0
179,TM,744.5
180,TN,105565.5
181,TR,1749115.0
182,TT,3586.0
183,TW,592501.0
184,TZ,115456.0
185,UA,452113.5
186,UG,81657.0
187,US,5511836.5
188,UY,14476.0
189,UZ,84359.0
190,VC,5678.5
191,VE,33329.0
192,VG,13604.0
193,VI,152677.5
194,VN,299253.0
195,WS,8194.0
196,YT,12125.0
197,ZA,195544.0
198,ZM,35984.0
199,ZW,37831.0
