,AE,AF,AG,AL,AM,AO,AR,AT,AU,AW,AZ,BA,BB,BD,BE,BF,BG,BH,BJ,BL,BM,BN,BO,BQ,BR,BS,BT,BY,BZ,CA,CD,CG,CH,CI,CL,CM,CN,CO,CR,CU,CV,CW,CY,CZ,DE,DJ,DK,DM,DO,DZ,EC,EE,EG,ES,ET,FI,FJ,FO,FR,GA,GB,GD,GE,GF,GH,GI,GL,GN,GP,GQ,GR,GT,GU,GY,HK,HN,HR,HT,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JM,JO,JP,KE,KG,KH,KM,KR,KW,KY,KZ,LA,LB,LC,LK,LR,LT,LU,LV,LY,MA,MC,MD,ME,MF,MG,MK,ML,MM,MN,MO,MP,MQ,MR,MT,MU,MV,MW,MX,MY,MZ,NC,NE,NG,NI,NL,NO,NP,NZ,OM,PA,PE,PF,PG,PH,PK,PL,PR,PT,QA,RE,RO,RS,RU,RW,SA,SB,SC,SD,SE,SG,SI,SK,SL,SN,SO,SR,SS,ST,SV,SX,SY,TC,TD,TG,TH,TJ,TL,TM,TN,TR,TT,TW,TZ,UA,UG,US,UY,UZ,VC,VE,VG,VI,VN,VU,WS,YT,ZA,ZM,ZW
AE,0.0,0.2052903130227855,0.0021833417814025174,0.008293705774548774,0.012577874472984113,0.010344824451000914,0.005353727027100128,0.007767153060141998,0.05768345485417753,0.006104450880841283,0.03845110180996517,0.02061092653216978,0.003682802706618835,0.13615624478737315,0.01037540077553443,0.010348032624147782,0.005967724057448698,0.14617672101936896,0.010453918970665811,0.0013742545959706941,0.007262889098309248,0.0365080472204231,0.000818147743279257,0.0032649113530082018,0.016834883562720955,0.0014381955888739413,0.02637695091238289,0.02264755271424746,0.0005595868851112957,0.022044478491491992,0.020405493379304876,0.009792316243609791,0.01101401248349424,0.01895559990304545,0.0032419401709146557,0.0174032301924307,0.01929977085047217,0.001910131313525921,0.005148788242753279,0.002941120999747767,0.002000495706634296,0.0064069880419149045,0.014026709431882133,0.00862242062145421,0.010075714606142584,0.06719290308834946,0.008664038028972167,0.0016583755558305486,0.00819799954869831,0.013614730459935434,0.0036909025732150052,0.004207424304671199,0.09331160300944068,0.007282049196343418,0.047196888771287734,0.01230835726985949,0.0021411196897079647,0.005097134127640213,0.011272793084383658,0.013286020619642108,0.00807642603715567,0.0018471869931603903,0.016859441853993892,0.006351212083581327,0.11706617726790525,0.022647977934680524,0.005418849294272192,0.011554778741853913,0.004510481044210696,0.007831159211205226,0.009045925919131682,0.0034257212693607356,0.01690411051413218,0.0032953546404463625,0.030376622304529033,0.001000090550179997,0.007765741339453833,0.005253372081797397,0.004769735341895502,0.05089680435728743,0.005589783923358305,0.011621764046868066,0.16906233107988883,0.15020538293627622,0.11011186736814882,0.00970552318527267,0.009685859120693526,0.006191812557554311,0.07866873929391043,0.018744542192388823,0.06399355913695542,0.03517883835765274,0.008399906368065804,0.022074420687166668,0.009729575966469324,0.1696377936570624,0.0032905313544418432,0.09942729890468553,0.011708127333820172,0.054616821113578067,0.002362172203133,0.08292864858175072,0.006084940227610836,0.0038494243028349582,0.0027485351095631687,0.005003320787998561,0.030839826247708875,0.013025398102159445,0.0020014585789302217,0.004805170511912849,0.010275029523114527,0.0017519469700097317,0.03346833696033761,0.003681609200584651,0.01591680516075676,0.015268180425853468,0.018989406522573988,0.0027733559463345614,0.011600427542757554,0.005742839531561254,0.018743482686042874,0.00578429358512475,0.07362113527240009,0.1647322978080367,0.01661006895635108,0.002811650359570641,0.055245180028283374,0.00996157230050846,0.028904395999622523,0.020599642781470064,0.04083148187500908,0.0016726396649338632,0.01261386629469596,0.006979456585832931,0.10942050419139443,0.013117086309497854,0.1523965172773388,0.0027520441160256994,0.004148406148925135,0.004043935139318971,0.017929275079258476,0.04998406383519426,0.16331138982076912,0.004133898654233602,0.002203853275784001,0.00718212683677834,0.07765200189538245,0.012305444637453023,0.004606443688625144,0.012036151586152578,0.012290631420708634,0.05289124316867796,0.14718914795252067,0.006264567053328624,0.2756882352945808,0.1147000247788269,0.009449381209620578,0.03782379976675194,0.012385699604490907,0.0035371089347696126,0.008480090612576022,0.01289534566262269,0.04461006853999634,0.006481775356543522,0.10583369597748024,0.005685649859382156,0.004812845009994028,0.003452275434580287,0.3318289114585819,0.004275667487804092,0.029123613178287277,0.013013154364853109,0.03141387032680226,0.013112566599509552,0.0025843641141131165,0.0025214130132277563,0.009356092084903084,0.02334735864515264,0.0023491786416100567,0.007815477487600114,0.049547567742579256,0.0055660950412750486,0.04749887404743037,0.017743174658894457,0.0038540575610290814,0.03145626597099974,0.0016994377465783396,0.0013842473881626998,0.0010266052140346985,0.0012906083841643596,0.03475988175689827,0.0022994387384619947,0.008442570640050438,0.021639297468672734,0.02722546389417579,0.0202611503895314,0.01666302135221685
AF,0.009252714291992922,0.0,3.828830011144176e-05,0.0002204426352937653,0.0016760061408279245,0.00012743321994145788,9.339644284128007e-05,0.0001852708121467025,0.0016821727327028246,0.0001063973186743361,0.004270080423277554,0.0020933196913425823,5.5835422966910326e-05,0.0030325800159644242,0.0002799242513268249,0.0004486041425388547,0.00015205317024220348,0.00246139986305162,0.0003414407190211757,2.7569152207603085e-05,0.000116440876132849,0.00029692650536816093,2.0318518795470563e-05,8.913160470338086e-05,0.0004691416473142313,2.9417110546919078e-05,0.00139432568359542,0.00034471446223820955,1.8686239974844843e-05,0.0005408338114064154,0.0005456182199758462,0.00018738953992288244,0.00028740969442057055,0.0003061421709798749,5.2967551843045384e-05,0.0003900254607990791,0.0006628342918677019,3.602720385048705e-05,7.270959433638272e-05,5.363250501435806e-05,0.000124658697134224,0.00015038557373389007,0.000431468613322288,0.00038363801065501604,0.00019590967534647717,0.0020840468035334477,0.0002804737441181352,2.4018089911248588e-05,0.00014744805267875185,0.00038816687841381126,6.595897740546179e-05,4.898071330904729e-05,0.002840364253535165,0.00011442166771844103,0.0019122710569184028,0.00014028581378632804,4.622426002526213e-05,0.00017970365742500134,0.0002276603846594141,0.0002584996836361688,0.0002116789260929383,4.3452084126654505e-05,0.0010402402066014718,0.00011971918856949294,0.0042456720558124396,0.00041050667174254596,0.00020515052041899953,0.0007905880352333492,8.418523278784806e-05,0.0001998431022392208,0.00016129778586098314,7.902788182284573e-05,0.00026145360397991657,5.691851635276261e-05,0.0002673850430950622,2.468518239742272e-05,0.00010119392614427564,9.788942126107348e-05,4.220655171755e-05,0.0008610900975705538,0.00017369599294542363,0.00028446907408237725,0.009493127189758869,0.0043776123794056175,0.014153663833603312,0.00013958349100752024,0.00015770045046649783,0.00010238915938112092,0.002597213925946541,0.00039399822810330806,0.0020184093826089164,0.0018394649145870095,0.00012984203161380022,0.0004500649499539195,0.0002447488322107334,0.004366042483920228,5.5608387783755485e-05,0.0031639721821476383,0.00018719289480278046,0.0034584506338949106,3.981082519813907e-05,0.0015365070625238547,0.00024900600725663157,4.832295923899327e-05,7.329971276041334e-05,4.605691635928013e-05,0.0015061870932000494,0.0003028511842235454,2.8964754837961504e-05,0.0003331948766729914,0.00032292351225810635,3.6212716390829984e-05,0.0005152594697187796,0.00017791492249184373,0.0003539989856939113,0.00032787672360225646,0.0003479526774254628,0.0001841713552555806,0.00017819546732480363,0.00010937920477512501,0.0006955682397617839,9.406485774040728e-05,0.0021109135843564216,0.004005106857776127,0.00043187345209320027,4.546415496526386e-05,0.000912167268374118,5.8764284075414595e-05,0.0005611430080638158,0.0006932064511959498,0.0009667584151550576,3.028450494908833e-05,0.0003295118406022447,0.00017268987012703882,0.001991786472388832,0.00020679570654293688,0.002146504496980395,5.1076889822384175e-05,7.458759587391562e-05,5.745821690662891e-05,0.0003093760517490552,0.001632671347953309,0.010777834836210927,5.149679818728324e-05,3.978567604263321e-05,0.00012320147412662604,0.0007479376300887659,0.00023753789750182182,0.0001414434618716264,0.0004858667690950435,0.0009253945634254126,0.0015516227647675669,0.007348544993078213,0.0003607351488260644,0.008368038596299596,0.003963646198402555,0.00018463093259084163,0.000904180537234264,0.00043477806841470405,6.417074147188929e-05,0.0003133328210900061,0.0004918515518439249,0.001802509816300186,0.0001543257388493476,0.0031494538926800765,0.0002401471994543122,0.00010044048052441931,6.791495513289611e-05,0.005939200490419247,7.422935181247032e-05,0.000552780984367489,0.00033633061759495226,0.00040491106860584094,0.006033204581657813,5.0354981945460333e-05,0.0003047659279029143,0.00031227293330759196,0.0018301219606905003,3.385976857345766e-05,0.0002902274824047531,0.001133800150394034,0.00034020192078621013,0.0018096797546149563,0.0003460104643004405,9.909424440604663e-05,0.0026533451855534984,3.7721861448670596e-05,2.6023936567927363e-05,1.325074171104387e-05,2.447070824884167e-05,0.001081751805117656,0.00020041737636001134,0.00019244488133568502,0.00041180997127179434,0.0009093745877339726,0.0005759492729208488,0.0004344004347227362
AG,2.4426431168358452e-05,9.50393994499093e-06,0.0,2.897340705924603e-05,8.476972096599204e-06,4.199173682856484e-05,0.0007901751623993382,1.1953870269860303e-05,1.4539963154994907e-05,0.0023170013118801467,2.8094075782496644e-05,7.466340948135324e-06,0.03929732022316325,8.529909594093902e-06,1.6151683821328198e-05,1.0948661291017818e-05,4.919895367590153e-05,7.842484303704445e-06,1.2489657099266623e-05,0.030149014851804545,0.0014141934058642467,1.1955463147534316e-05,0.0004986671441888363,0.0006799187091543254,0.00029913135219140056,0.002160935903635302,2.4442349413744418e-06,2.578669347489158e-05,1.8952510721194645e-05,0.00027656871409805086,7.041216499881502e-06,1.706539142008005e-05,5.595803103897385e-05,2.7900439392698404e-05,0.0013476243775892719,1.3593132352987656e-05,1.6508845726514602e-05,0.0005395715653269638,5.9616154812833986e-05,0.002288966769574326,1.7261396302979443e-05,0.0027184032886015327,9.199018550516919e-05,3.053575106205284e-05,2.4132554392744198e-05,1.2799058746228624e-05,1.9143944102686728e-05,0.09437615306959926,0.0020807214827022074,3.2059208496880276e-05,0.0010005299822714417,8.747924899498599e-05,1.6429186686352837e-05,8.358843524582221e-05,1.3611996752955251e-05,2.337177457865682e-05,2.24998868920081e-06,3.964292496158843e-06,0.00013633189006798511,1.1710081270216407e-05,8.14724083773963e-05,0.033457124059511616,6.68874772223454e-06,0.00021979746308286257,1.3370382773909493e-05,0.000560674511315056,5.473657548179106e-06,1.8984088196048273e-05,0.004047500813270397,1.1390009199552354e-05,0.0001003018396808356,6.161050556510904e-05,2.681927417290604e-05,0.006142761599686669,2.6312104950388456e-05,0.0009346630530313257,7.529418979041059e-05,0.001441095294606372,4.433937638765519e-05,1.0652022897945125e-05,7.952471145564978e-05,0.00010758238905516215,1.578703006643907e-05,1.2066370375248662e-05,1.7941170152383367e-05,1.084807974173052e-05,5.086115643252959e-05,0.003488291836827616,1.1925456485444986e-05,2.302440873860741e-05,1.7208536138470325e-05,5.500725871912724e-06,9.649528328461128e-06,1.8114369729453745e-05,2.205669581421306e-05,2.001324271444206e-05,0.005399183206137673,1.1050623225934057e-05,2.8532389715681733e-05,1.9703463465448068e-05,0.004055940858279515,1.779768848918856e-05,2.4187790270212744e-06,2.471666183734543e-05,8.216313571147803e-06,7.268697509684096e-05,2.5963598705944988e-05,5.566324890815306e-05,5.517485070633197e-05,9.125218716473382e-06,5.058985296040226e-05,0.0033588612069483438,7.234963330464356e-05,5.337040998373322e-06,2.7154518212962167e-05,9.312693418144268e-06,2.2090413334771158e-05,8.96032033213014e-06,2.4117887077748798e-05,0.0031304662953772133,3.045186473916234e-05,6.931770235036435e-05,4.435985130443894e-05,1.3475377414512744e-05,4.461360017012326e-06,0.0002251933035163147,9.371146856039494e-06,1.2898563863943893e-05,1.0287799147664953e-05,1.0126184210039544e-05,6.985329753582609e-06,0.0017732914039935042,0.0001066675801955007,2.014612165655712e-05,5.603237242566447e-06,1.718796922556255e-05,1.3021639133313356e-05,0.0003195776833040648,0.00015311463313226305,3.125483449347625e-05,4.59584931794578e-06,2.864202326611434e-05,1.333451662465339e-05,4.537800784929525e-05,0.002469640623013049,5.962023615874754e-05,2.668168319945669e-05,9.112901806870138e-05,2.0239213317774175e-05,4.516020399952579e-05,2.2410398275321564e-05,1.0883561358210684e-05,6.466899115174111e-06,1.5739375398613616e-06,1.044985230648849e-05,9.83751679911181e-06,2.2173017840476634e-05,1.851224325386989e-05,1.764362053745712e-05,6.042800815726738e-06,1.1770007553853609e-05,4.957323710226427e-05,3.7630566917596875e-06,0.0024909234638690824,6.206663249145391e-06,1.5371697148195837e-05,0.0003531908417462024,0.022340584730264353,4.359134463781574e-06,0.0031902892981196607,1.4027615706319833e-05,1.4857241831768602e-05,1.141857753761297e-05,4.845689512945488e-06,7.100007708767042e-07,7.743437463899854e-06,5.522309927369499e-05,5.5125206275843986e-05,0.020531386325739143,2.270194206575462e-05,7.571526661066629e-06,1.3897997759967003e-05,5.9692127299077934e-06,0.0014499525002787748,3.692435152099881e-05,2.6453732919909827e-05,0.02626419004164063,0.0005359903216107037,0.008745380764956866,0.004200974822369107,1.750369586302041e-05,1.392799492605309e-06,2.6398830758919782e-06,6.180153141042035e-05,2.5208785530629208e-05,2.277154297631928e-06,4.131417115832844e-06
AL,0.000844979962898116,0.0004983020630476712,0.00026385119234201857,0.0,0.001560035856717959,0.0003413688273934568,0.00017547741398064962,0.006434352685629713,0.0001866448740558084,0.00012757996432147026,0.002906975445533697,0.005480266593024938,0.00035986072250235865,0.00024726595648925844,0.003857720826735401,0.0004263390515310167,0.003624673108723968,0.000264624201341322,0.0004852437238748364,3.8966188741895796e-05,0.0006474450955184383,0.0002045359936309581,4.4188290268131896e-05,0.00011815501833233669,0.0004280940863223598,6.098295527315726e-05,3.723314671802389e-05,0.0032248895191677317,1.5113878350661233e-05,0.0006374643507400536,0.0007546279753635029,0.0002633955932089749,0.001489629813858992,0.000508398732279114,9.929240389019113e-05,0.0007308753396168042,0.0001934714137377221,7.913899397558976e-05,0.0005602341528979307,0.00025123835427978903,0.00036170607753801377,0.00018862047821793166,0.0024049616364077695,0.004031992378252742,0.0026147719761603757,0.00052137722392471,0.0009687902290488476,0.00016533833614632465,0.00023390458424832173,0.0013460879335176583,9.876438957778167e-05,0.0013382206687354986,0.001779405390707749,0.0018615149130002174,0.0009273358257544745,0.0010033227537549411,1.3195487417971203e-05,0.00029983868181634077,0.001223627126352138,0.00034605611398839486,0.0024577398449013,0.00016490272984974585,0.005740414257602001,0.00019228297168357624,0.00017711709270468938,0.0021423829006201097,0.000325318697930468,0.00022498863074539886,0.00019798728850565272,0.0002131349719415804,0.0035013084594669374,9.23973003375694e-05,6.507875090688195e-05,0.00014695639839340058,0.0002543380988119199,5.0520525614345306e-05,0.001952789838557693,0.00015011802311226292,0.007656655773321828,0.00017418212463212352,0.0013931758838377803,0.002161380062623061,0.0003076854157362909,0.000580004963531608,0.0007460117740602442,0.0018377220237463308,0.010235606127593043,0.00016503101985187755,0.001153995403136383,0.00017794566386874347,0.00042601441101694764,0.00036148349582803256,3.864673751678748e-05,0.00014016143125104513,0.00011496073128648622,0.0005315013490694169,0.00013679047569695407,0.0008934820779239761,7.280449107674443e-05,0.0012151228333794736,0.0003787394436927079,0.00048657906259180154,0.0009198569446908308,0.0024518078878315876,0.0015058815628546623,0.0020945794478576794,0.0014043839890494258,0.0022873911588652688,0.00018678294562227311,0.006907009887172003,0.009078427463857681,8.136981091697261e-05,0.00047906871386161373,0.011964221914515157,0.0004144511528998446,5.3512131529909636e-05,0.0003235815067759435,7.176981356635652e-05,5.839685055250179e-05,0.00024875195607333743,0.001112625081373598,0.0030311884131388723,0.0005927009121452912,0.0002564273862826366,0.00010120922970379143,6.528041453927675e-05,0.00018359340542729058,0.0003313186612748099,2.39729394743158e-05,0.0006701155408997927,0.0003133550666505436,0.0001392593387080163,0.0019476806348246375,0.0008043902401148359,0.00014587692135219514,8.31021585856617e-05,0.0004405647356248437,0.0001479415994624876,8.560433507898264e-05,0.00010615967577745846,0.00014275661900673,0.00020548574642781733,0.0004083146782446991,0.0036967108151697895,7.257872444599235e-05,0.0016312219811673594,0.0011992405028844327,0.00035675551141132317,0.005326659497856954,0.005511525217783125,0.0014449819970943347,0.0005904360020229369,0.0002283395671026437,2.3103254682538956e-05,0.00024040314508782075,0.0003752548652161873,0.0016923285287151087,0.00037623413297433063,0.004208816816051701,0.002758620044043973,0.0009914466439854795,0.0006569121792923901,0.00032613628470638063,0.00020137607715324591,0.0002725592048567048,0.00044901554889961905,0.00011541223912599434,0.00010577696817226995,0.00013638979283911752,0.00012308981830773204,0.00041091193021307147,0.00041076505114568323,0.00010967386414401853,0.0001962471809392284,1.5242343534178878e-05,0.000856524709127456,0.0008812304899203615,0.0037734323805102637,4.836207524004583e-05,0.00015347832091834208,0.00023810538801682279,0.0031054805579516466,0.0002456152331764516,0.0004894815362267812,0.00030390167187283827,0.0012017282784590405,0.00012849511483887515,4.7313673403205694e-05,5.087181606927078e-05,5.421327297942678e-05,0.00015855459832878928,1.554288592560646e-05,2.003738098565831e-05,0.0004417314495347765,0.00016715094559146556,0.00023894664850179808,0.00016667433335879118
AM,0.0005175220431650856,0.001530017882963781,3.1176263037965494e-05,0.0006300258817991114,0.0,0.00012386891639251863,8.660082208493297e-05,0.0006395026472361085,0.0003303440283172833,7.929431939640997e-05,0.00686101387974233,0.0028801546375002377,2.668365641697761e-05,0.0010233474830157329,0.0002943974551751108,0.0001647670414983731,0.001035733943424567,0.0010142715257733938,0.0001709722949743014,5.70591791587739e-05,6.710390174268517e-05,0.00012026507578350187,8.973301067014462e-06,0.00012290211982804862,0.00014613926936190083,1.2157948729900756e-05,0.0001952133405766491,0.001211181565827,6.539955356579531e-06,0.00018000659911289108,0.000152054542211712,0.00018377497687721073,0.00013799617069752855,0.00026873446731703134,5.972959342821275e-05,0.00017127507845126757,0.0003914104138854173,2.761683012636582e-05,3.674793388054416e-05,4.707144860339067e-05,6.31021712231767e-05,0.0001722789166252176,0.0008718755166201527,0.001301517264386374,0.0004305490145270837,0.0004883342367641755,0.00021035358535676616,2.865743936878783e-05,0.00010402141066014181,0.0006752048338507245,4.562464137910169e-05,0.000982491643790347,0.0014927128698123018,0.00025431317652901893,0.0006016345927582261,0.0006449793166207869,1.2088893244025857e-05,5.741938537497506e-05,0.00047681822886659516,0.00013548015520484683,0.0002778841596387053,1.0704633914894103e-05,0.014197985691244577,0.00023890106398621658,0.00038776398924594737,5.351314313274231e-05,6.147796057749893e-05,0.00017123060605677795,0.00017316651212762906,8.145346081746262e-05,0.00047817662988103174,2.153552997714473e-05,3.1346467391944776e-05,2.8982918458203194e-05,0.0001319301175832948,8.101593458999901e-06,0.00028623707865846283,5.435785689184939e-05,0.0007324493818986021,0.00018892057696906633,0.00021654786017624969,0.0008881579853007307,0.0012611613759920472,0.0026157734842443066,0.0015226397926120252,6.987521153361963e-05,0.0005005405332122432,5.757643383166762e-05,0.00277589611367139,6.362741533633084e-05,0.00038401011159468337,0.0035245920127824465,2.403993883105016e-05,0.00017208374830612156,9.771550933001852e-05,0.0012047895958385284,2.7925927428049876e-05,0.003157174402105114,2.0643283752102973e-05,0.001389286923370929,3.42680151118727e-05,0.0009394406949428942,6.0644974607710295e-05,0.0008403947402505215,9.221617978589757e-05,0.001497015174483119,0.0005854997817337317,0.0004799102272744709,5.505149503116248e-05,0.003262264792217881,0.0018288481754561085,7.253633991910871e-05,0.0006778988103686656,0.0005237281682170557,0.00021532536032649606,6.010949285264321e-05,0.0005402668304111687,2.366764431617527e-05,2.2309324502031558e-05,0.00020185753284277257,0.00023921625016224248,0.00021232666267932836,0.000421961110359135,0.0004231965947054954,7.059632599447291e-05,2.539621969506208e-05,0.000739686802426995,0.00020305656051959744,6.716760758326358e-05,0.0002528183670659602,0.00019968183940748872,2.1194690595755265e-05,0.0006210913665606193,0.00012957551078778828,0.0011483619249449575,5.6228550200577946e-05,0.000992314448044537,5.52453550742261e-05,0.00010948726361135001,2.906718912701471e-05,3.9140750971460874e-05,0.00026476507969373114,0.0014938325452215975,0.000625733751530081,4.261061683232198e-05,0.00021774723589787696,0.001394532989186055,0.0004289597326719737,0.000943486693090197,0.0007767152021583135,0.017069811442639055,0.0002785485727204269,0.0010902751095028806,4.140793531225405e-05,0.0005659590683800105,0.0008767938007953515,0.000350891644931094,0.00018137340380212596,0.0006619160859845141,0.000301102648017514,9.843114440112708e-05,0.00022350511227232198,0.0005091043988241897,0.00018699059380865388,0.00024908652615782595,9.373153251339518e-05,4.5133040241138577e-05,9.625901754724025e-05,0.003413690011689012,3.587656037902079e-05,0.00018235087449177258,0.00014390335278369076,0.00010775450344296082,0.0017990956261985868,2.0996712228943984e-05,0.002919375072039584,0.0007700497429689873,0.0017397308431753627,2.7856492505404226e-05,6.748203583809244e-05,0.000260969116032458,0.002635285722019528,0.0002414993024810703,0.00014078777764413373,4.96245818774127e-05,0.008664696106678202,9.719181470910579e-06,1.6809439080566693e-05,1.606011348478157e-05,1.2924758472873269e-05,0.00015827250680030164,2.3922807571822696e-05,2.7912274264217263e-05,0.00048778640388040534,0.00024295200063688386,0.00015521395963105395,0.00010799074571485894
AO,0.00010663437575844812,2.9144463653391885e-05,3.8690082029314673e-05,3.453823815652548e-05,3.103236305614876e-05,0.0,0.0003335759072676818,0.00017538365294711403,5.749247522722442e-05,3.557262632597663e-05,2.3918426099656132e-05,1.934578280610631e-05,1.1242945449777555e-05,2.9914134160424766e-05,0.00021881091090769408,0.000298443262924286,7.996750499284095e-05,2.4846578774649293e-05,0.0009146401601416431,9.833082814935113e-05,1.571295375244558e-05,1.915472657307642e-05,0.0001382529516307022,4.426863943514343e-05,0.009627809200818524,2.0768506827453448e-05,7.527928211947538e-06,6.365141778597613e-05,2.6649972719921658e-05,0.00017969611526089452,0.006410241086607712,0.0027634314959341794,0.00037217348304460844,0.0010153569552162267,0.00040845410927136305,0.001271905488807119,6.277658704094173e-05,6.82300601255214e-05,7.847662389137492e-05,8.532409917353231e-05,0.0023040030237036235,0.0001025336681679996,2.6600369000656907e-05,0.00011807586622826326,0.00020344689974365648,0.0005022510185436887,6.685954134931839e-05,4.5029852610793354e-05,4.083916461242645e-05,0.0002620403028577494,5.477331914194834e-05,3.053137046356321e-05,0.00010077394473725569,0.00012835146388623917,0.0010697208330583908,6.290362933529352e-05,1.985061320225693e-06,2.415098013453598e-05,0.0005093767898902458,0.004817604402218879,0.00015082604796118034,4.155526894626824e-06,4.55142095792123e-05,0.00043224621834613876,0.0026195904183552504,2.823478505152079e-05,3.286214798867634e-05,0.00041796961573484123,0.0003743925783165749,0.00431920856403123,6.777619257739478e-05,3.296208705124927e-05,2.0614014567015115e-05,4.8899418747483365e-05,3.5485548677837854e-05,3.769131427225367e-05,7.084274410822944e-05,1.3392776781319195e-05,0.00014093580297717967,4.91548330403853e-05,0.00017676564005587685,9.891075633413044e-05,4.506380250256792e-05,5.598415881239343e-05,7.735026241003645e-05,7.532388264877771e-05,0.00014106875706394455,1.8346362844533452e-05,2.964014106276407e-05,3.432618631038477e-05,0.00034094392840909094,5.394993008287829e-06,6.470864578301209e-06,0.0003277089391281004,3.545127790576443e-05,5.2753059683118874e-05,3.346904304804319e-05,4.65261342434537e-05,1.642124058903154e-05,0.00020431001718509048,3.638082100754638e-05,0.00017842166072364786,0.00035977167268758456,6.257855311265946e-05,0.00044752967211573547,4.598427229043643e-05,8.253670291018161e-05,0.00022880052855284134,6.640649627475194e-05,4.3616097610101036e-05,4.246308442667556e-05,0.00016324237283273506,0.0012988513879140667,3.2374355411100146e-05,0.0006947320096166851,7.666781933140237e-06,2.9867106245280305e-05,9.989929482069886e-06,1.8361204148386112e-05,0.0004193002254842877,0.0003777288831635588,8.792274367288528e-05,0.0012603875187509397,8.527871094918997e-05,0.004074399214329247,8.294022713291654e-05,2.5006819959255378e-05,0.036379470628692,1.8133962057379844e-05,0.0003919100341487398,0.025206066450756966,6.0975805216555174e-05,0.0001566598328458037,3.8011352917465724e-05,2.8466534645169274e-05,8.992965218181612e-06,4.892947312626335e-05,8.623952948464937e-05,0.00019022113172312727,1.4457012095532682e-05,1.646302147137352e-05,5.093876643320189e-05,5.7361539010236965e-05,8.555330909120224e-05,2.1323567734673674e-05,0.0005656708241562478,0.00023817134432124967,0.0006953228932175103,9.957523330094641e-05,7.756570516036099e-05,1.2138324780537413e-05,0.0007644646550459346,4.62875051288837e-05,6.048765317212828e-06,0.00030154516885019767,0.00014853801480415896,0.00010382218967215367,5.511691113646114e-05,0.00014766751561291587,0.00010619052298042615,0.0002910959189506108,0.0006645811633154148,0.0007801718318545383,9.115984934556533e-05,0.00029878037000594457,0.004768787167347619,3.515644418266785e-05,0.00013119328985084877,2.0037289356003566e-05,3.119505312190287e-05,0.0007167816546591764,0.0013564249377704077,3.87537280437095e-05,8.790985149672661e-06,3.3948601898827347e-06,5.430137727448068e-06,0.0002247311813752527,4.2774104436498384e-05,1.567108918086662e-05,1.8000399769705085e-05,0.00040105800365972534,3.618144694577335e-05,0.00011432424423120451,0.00010814599895442203,0.0003216115887761745,1.6605197916694594e-05,9.270049794493235e-06,5.6276063281736555e-05,3.3756472970978605e-05,2.3159752995665823e-05,0.0005355306425716325,3.6559158557096696e-06,3.5914510787994674e-06,0.0007382848139744134,0.03096156460955343,0.0018139070654768401,0.00452236814058089
