,AE,AF,AG,AL,AM,AO,AR,AT,AU,AW,AZ,BA,BB,BD,BE,BF,BG,BH,BI,BJ,BL,BM,BN,BO,BQ,BR,BS,BT,BW,BY,BZ,CA,CD,CF,CG,CH,CI,CL,CM,CN,CO,CR,CU,CV,CW,CY,CZ,DE,DJ,DK,DM,DO,DZ,EC,EE,EG,ES,ET,FI,FJ,FR,GA,GB,GD,GE,GF,GH,GL,GM,GN,GP,GQ,GR,GT,GU,GW,GY,HK,HN,HR,HT,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JM,JO,JP,KE,KG,KH,KM,KN,KR,KW,KY,KZ,LA,LB,LC,LK,LR,LT,LU,LV,LY,MA,MC,MD,ME,MF,MG,MK,ML,MM,MO,MP,MQ,MR,MT,MU,MV,MW,MX,MY,MZ,NA,NC,NE,NF,NG,NI,NL,NO,NP,NZ,OM,PA,PE,PF,PG,PH,PK,PL,PR,PT,PY,QA,RE,RO,RS,RU,RW,SA,SB,SC,SD,SE,SG,SI,SL,SN,SO,SR,SS,ST,SV,SX,SY,TC,TD,TG,TH,TJ,TL,TM,TN,TR,TT,TW,TZ,UA,UG,US,UY,UZ,VC,VE,VG,VI,VN,WS,YT,ZA,ZM,ZW
AE,0.0,0.1749550153584575,0.005170435937108963,0.025390911398264847,0.059164954595900966,0.0904609664509301,0.004625000383686718,0.038274628520915795,0.05375708217894931,0.00557994937337926,0.03248965795065312,0.07192943639074485,0.021303106276852602,0.12839352941851867,0.02903451333575134,0.015414019276044437,0.024316494592298295,0.2058520756807132,0.02535855024492341,0.013644494774330048,0.003908023601426006,0.0045912205196835245,0.01938621357896075,0.0022217311202887406,0.00838720888679737,0.0171401278201573,0.0011996813705933496,0.03035507897422951,0.009925849214746218,0.033900788434096496,0.0009856597609834206,0.02966380104286385,0.020690307983413706,0.02490357786960173,0.013613185064343046,0.03615281894422902,0.023130763770431655,0.0026937007073012877,0.02321470648219905,0.02374214050261921,0.003217882255770969,0.003990242980869657,0.010398927200628327,0.023727388112693627,0.013595143476617624,0.05662109285576101,0.0378549088376329,0.03811400473980186,0.05949385693099575,0.03378832144720153,0.00862831871991475,0.008665701776686578,0.02352619595838306,0.003962937800749518,0.011743138423153807,0.060541969059355556,0.023926869408102933,0.06514136358111683,0.023875457816595513,0.005221272941244675,0.022107520246778832,0.01290911494396044,0.03835397424151721,0.004940061135998982,0.053283878311944206,0.0024088627188230136,0.03985331653985907,0.008312660636652171,0.01749016543162145,0.03799630708194811,0.00546791192717421,0.019871585171916055,0.05590821539084617,0.001976470144236867,0.014450153375412979,0.007887493268861553,0.008438123025753062,0.030587189688546432,0.0012710849802023865,0.025254604514372146,0.0029891355479226022,0.03766482531350559,0.051247879517567894,0.030411965482760237,0.03630363233570419,0.2234731926148754,0.10952920705269581,0.07192429237439711,0.030357562883277952,0.038157756124787,0.005740551923924931,0.12528238096089436,0.02013634627220258,0.058978688077456896,0.03612826361209729,0.016495713797110203,0.02341732173413695,0.001232933179885398,0.011546050724557565,0.1374056683557253,0.003897302852288626,0.1041039572294696,0.009297190427199776,0.1086405671790959,0.0079672121886476,0.10638013905743468,0.012979249164256216,0.018276559693759645,0.017497256562156897,0.018729019243828537,0.01836853703116103,0.01889211972726799,0.0037471580814253296,0.017233832169159788,0.012672573605271659,0.001437561866585674,0.02585516379547295,0.009699234494431169,0.01921671751693065,0.02333627776097368,0.005276725651478785,0.012290807470144787,0.004193883144884478,0.019331729459772087,0.02962932155099242,0.07607547317533803,0.14242413166158893,0.02221869845103823,0.0037366960525852958,0.04612980639195868,0.01862979948697394,0.014202942908908112,0.020529688154909593,0.020490322950838597,0.004234219790416421,0.0676267672443788,0.0018995386596369157,0.020351245859548752,0.029853561590661284,0.1213524970489497,0.014439902010091628,0.14983516672293773,0.0038204863425810934,0.0024841960903571637,0.006515865700703272,0.01388518194229954,0.0590731688359599,0.14719600561362556,0.019860450793832033,0.0027784986734026187,0.017393422748965222,0.0024051928846051335,0.09451564694393225,0.01268712393618786,0.027802731861731038,0.028898470896410407,0.044696147849041634,0.06643874633598354,0.15199958640000122,0.006456822034259053,0.2338466056622409,0.1093826223315155,0.02471497411146104,0.036586075449142316,0.019313415350558104,0.017951819878511157,0.02895268062296649,0.032299593660603095,0.018320350266498555,0.11103855547316419,0.015814576595925566,0.0044886532401753505,0.008097177403519418,0.07463990753284575,0.00268549040956403,0.030451716275323705,0.012338525805323415,0.04050954511553446,0.06773825073766136,0.002718067813168424,0.015194709476686016,0.033489928125616984,0.03865923215891796,0.005769196798851237,0.010839501077652455,0.06454311162006547,0.04203855083034814,0.06260491622519511,0.0153602711993166,0.0033755755865521116,0.07916879548542813,0.0067477099100384805,0.006157140256587675,0.0020074754723849336,0.0018071200240804134,0.025396882395917173,0.002382937032687486,0.025232697143040418,0.03478247075310236,0.055217638190088576,0.026422569854808575
AF,0.007783871706282811,0.0,7.08459377901109e-05,0.0007170973629026708,0.001253447242615455,0.0020355507893443365,4.345586159524083e-05,0.000835851038268559,0.0006615655960094343,7.093448808564065e-05,0.0041638670677480215,0.002953613591422285,0.00021014073347123974,0.0025450140638099404,0.0009754220316042786,0.0007200021241964664,0.0009614493906974678,0.003003810001336832,0.0007773563466235193,0.0004962662632968369,5.933725750414862e-05,6.492196424068335e-05,0.0002155096010775584,3.27709497380797e-05,0.000124607186264087,0.0002827270183171508,1.8841987661067156e-05,0.0018163192510533077,0.00022881602933168214,0.0013826115227763489,1.9656824869782592e-05,0.0006668532585335927,0.0006276793964962778,0.0005063785217838655,0.00026435049847396377,0.0008138317066859367,0.0004994295576440381,3.276384517951105e-05,0.0006732142758715298,0.0003181349832535139,7.122875176889097e-05,3.891182701482342e-05,0.00018000954571539856,0.00037048481849338366,0.0001736870651718374,0.0016880969438810907,0.0015853704565813092,0.0007917520695617008,0.0024357533900923,0.0007410822750585228,7.11843310964091e-05,0.0001169385595522701,0.0002853610842191686,5.4202640360113135e-05,0.00015728315750410235,0.0018575335557917056,0.0003318824101057768,0.0015759965854607275,0.00034850919444294465,6.499800983146366e-05,0.0004063456763126279,0.0005198340816815576,0.0007187487406593697,6.555331984401927e-05,0.0017434362734499215,3.318558092730987e-05,0.0012426630090976623,0.0003562120407644969,0.0006329486924315231,0.000905298251670158,7.144712251167571e-05,0.00039249431236654025,0.0007737338405516351,3.4136264812303284e-05,0.00020538958319103065,0.000255697282843097,0.00014804392471304823,0.00026371746346676075,2.6766706362531472e-05,0.0006170854201880022,4.9147137827078766e-05,0.001323328357485868,0.0009346134115381788,0.0007425435822521918,0.0025911767213983045,0.013327045536634169,0.0027860329286263576,0.00219448266905764,0.00028932632637527334,0.0006597015834854027,8.684593586206819e-05,0.0030746406231986793,0.0003159509426151072,0.001203531710612213,0.0016274935754578656,0.00013434548426772503,0.0004587671045934325,1.4862635100975053e-05,0.0002903901018254012,0.004164308568074027,5.99927218575829e-05,0.005190275573511099,0.0001367417215779882,0.002376595332843361,9.154382729299531e-05,0.0013971760494080926,0.0004271435328837497,0.0005270786921109121,0.00040136771650766073,0.00020721593382910005,0.0024831463300739503,0.0005302744863503815,5.720000063737389e-05,0.001145029261521064,0.0016147422810500608,2.2705338072268663e-05,0.0006982428367531196,0.0007227654856866705,0.000458867989738523,0.00034927695213015524,8.715336241813208e-05,0.00017110700539322245,5.613694128436663e-05,0.0009140429289292611,0.0007196738797615971,0.0016248027657769536,0.003053024967233583,0.0004124700191586127,5.550396825305329e-05,0.0008014279961941785,0.00024637214920138315,0.00015357914323945105,0.0002524425148488843,0.0006055401712477792,6.415187290210793e-05,0.0015661150455573984,2.088408011618448e-05,0.0005182415873981996,0.0007253882405364065,0.0027236781537140764,0.00013072609862926188,0.0015252075921890528,9.71277190394021e-05,3.510100735503506e-05,0.00013161727634071019,0.00016803654417175937,0.001081314037121782,0.009401221985903622,0.0006668381785043944,4.556557088091995e-05,0.0004089146475554538,3.410651279579448e-05,0.0011076889865023387,0.00016123502769258845,0.0009007842157387728,0.001242336029288547,0.0019597299522008437,0.0016560216696055495,0.008045989601755612,0.00012012313176112668,0.00522748762442376,0.003142887172628698,0.0007000090828902262,0.00040352435207931925,0.0016411112927858622,0.000437382496766762,0.0007465537608090367,0.0008854716335438065,0.00023877395154686692,0.0023897025206245756,0.0006616167193032433,7.550417510668757e-05,0.00011454980901788216,0.000991006917936098,3.618114365360187e-05,0.0006995818763516375,0.00032783743644109966,0.00047353012913831815,0.003481886979872202,4.477244555872176e-05,0.0005095141587156905,0.0011420978333803455,0.004474882286235701,9.091229074174413e-05,0.00022361340500802693,0.0012534051836842063,0.0017793933593059502,0.001893324583881902,0.00027753756994592185,4.563030094614998e-05,0.012968421448319882,6.142044822373066e-05,0.0008053987034965247,2.1318228521734476e-05,2.7087332835556808e-05,0.00043040278154692297,3.6304449587032835e-05,0.000432656728862412,0.0004991489833549522,0.0017492126313355734,0.0007855225948153898
AG,8.294674282977567e-05,2.5545702850653675e-05,0.0,0.00010099212645170634,7.336403524944325e-05,5.770692198466794e-05,0.0007244290018097945,0.00011687119089873184,4.058355101126628e-05,0.0015240251593882494,5.605057879956678e-05,3.5922070825864256e-05,0.02185327439076978,3.712834505702817e-05,7.589128993874398e-05,9.73457009757474e-05,0.0002703411943949493,3.770937496048454e-05,1.2029439472224599e-05,4.381703470653836e-05,0.011786396293306516,0.004578798196766277,3.688987550404882e-05,0.0008124161330017049,0.0004122769243897756,0.0005067051806347588,0.0017430816353169788,5.281746582267982e-06,5.313508612320956e-06,0.00021532533714456928,0.000899555669486103,0.00012095055277107151,1.969488802396966e-05,5.6184734502914026e-05,3.9727016457373436e-05,0.00021417661827285463,0.00010791238228172358,0.0005653866982804444,5.050593697235537e-05,5.746199332291965e-05,0.0012674736837655542,0.0006210452641540857,0.001797614097260742,0.001980916980632358,0.0011372939820994683,4.125314252712847e-05,0.00012826597591506257,0.00012327499044395625,4.243085821647319e-05,7.101934286676388e-05,0.06401543180857755,0.002706917481335654,8.348456310826079e-05,0.0012339401463144107,0.000857582481590042,0.00014014046659042891,0.0005445511740686392,3.3522763096763285e-05,0.00023871699139885207,5.634266153138167e-05,0.00020352398308177023,4.0979769756618576e-05,0.001175336757529959,0.010074327023614773,5.8942227511224066e-05,7.320506725251505e-05,0.0003413055131566039,5.196929751413173e-05,0.0007975187461049084,8.162827225594255e-05,0.001226191279098559,4.4021352702034446e-05,5.108345392626848e-05,0.00047415232234549175,6.291797423689727e-05,9.858620666779787e-05,0.003664188958908816,8.945980070536e-05,0.0015344633470657783,6.486823823188648e-05,0.003031599032804429,7.009816012318428e-05,3.51842690878029e-05,0.00041580237572128677,0.000572717526347165,6.353617739195504e-05,3.31259465585743e-05,5.4813157365655614e-05,0.001740698283920227,0.00019141117717554694,0.0028214015832451365,5.12912940618673e-05,0.00012720736851234163,6.997311953131142e-05,3.4022623881989405e-05,5.176027157434746e-05,1.2082759713481759e-05,0.009391797568769452,8.105064423161316e-05,3.295249279766983e-05,0.007397320259552599,4.6596347687718e-05,5.7169910935365355e-05,4.1600715325120245e-05,0.008611371145544583,4.540171095035188e-05,8.111143681807172e-05,0.000170663470160895,4.973978481752795e-05,0.0006156662875387453,3.2837859476077464e-05,0.0003688987888934452,1.1266088805467939e-05,7.245102953539991e-05,7.886550464887328e-05,0.0021000233583519405,4.380020448931009e-05,3.379687384988745e-05,0.00010526450466990038,3.159728277750262e-05,1.5333663196902056e-05,7.561302588536858e-05,0.00023299725496053994,0.00010845043099575796,6.894576197633467e-05,5.8676869348185425e-05,4.616995322802385e-05,1.1396421269180092e-05,0.0004602021707424104,3.3670696616577236e-05,1.461557180472343e-05,4.878575755580594e-05,2.9137478239527975e-05,0.00010686010557411276,4.5140111547427944e-06,5.888831731362078e-05,0.001846926515872994,0.00015855209439997165,3.6920485579708576e-05,2.945397471204121e-05,2.1647700706294773e-05,2.3552236150565788e-05,0.0010757291545318562,0.000904534773422657,0.00010488602756204157,2.824941477139335e-05,6.236507427128712e-05,4.681728538488497e-05,0.00014586831102978345,0.003014897232115222,0.00014395172705761175,0.00047750257062208705,0.00010296335495111437,4.583235552868915e-05,9.114038865768726e-05,0.00011972240610513248,0.00011805346766310922,1.8533046396278018e-05,2.422096554145259e-05,4.554214051846549e-06,3.785028186168302e-05,2.7281772993036847e-05,0.00010048597415508292,6.754821179218191e-05,9.484586100211747e-05,0.00020884364700456343,0.00030850142852071325,1.3619533120105693e-05,0.00155943580897224,3.119346477735559e-05,6.289968208434878e-05,0.0010503824640266481,0.02162903301851592,1.9999301150851272e-05,0.0022781879599419437,3.9966276586371756e-05,0.0002476356746725537,0.00010212275784171281,1.9763016029303865e-05,2.2323089057346607e-06,1.938050575857543e-05,4.395018253384429e-05,8.501951539587739e-05,0.0024095597222442717,4.8805198194163e-05,2.5283968606205064e-05,0.0001169106132013474,2.718539641766485e-05,0.0027217798382011575,0.000935326309794606,8.127607604183918e-05,0.014200964501867986,0.00038823240698695945,0.003939734709380139,0.002621262431352393,5.360294233856422e-05,3.1907508125916143e-06,5.52526507665618e-05,4.065244715565985e-05,1.6328269096875354e-05,7.806932329812677e-06
AL,0.0006283368402523312,0.000398862389402377,0.00015578641206110227,0.0,0.0004583664912717851,0.0006373809768551512,0.00020897166498874895,0.004789523706070947,0.00012760574917801347,7.317353351743498e-05,0.0020599944430357733,0.009451261571497432,0.0005200318774784509,0.0001896195008991998,0.002364224976347218,0.0004550468171778745,0.006563038872393941,0.00025771435970536855,0.00018182450131118123,0.000399863683832895,7.357289721792264e-05,0.0001191157101198836,0.0001121119922646708,0.00010197758730414659,0.00018821012745823037,0.00043557042831870877,1.977580438217257e-05,3.104245676284865e-05,0.00011838713751893297,0.002121005512897447,1.750973383457708e-05,0.000458971874657256,0.00036998184427646354,0.00027919823973467073,0.00022232484394357673,0.001643452878330561,0.00046973726491456475,7.69001109552275e-05,0.0005975247349424408,0.0002706759950560933,8.854510989425834e-05,0.00012251025286090395,0.0005574665747562583,0.001845888694216458,0.00026543989101819094,0.003237067640929216,0.0007418539573378645,0.0020203169732223706,0.0004249056788238212,0.0013176873580519448,0.00020033441321854349,0.0001418321712795144,0.0003947186107153508,7.623455322230942e-05,0.0011914785323548988,0.0011844845262611275,0.0017198973086365035,0.0007185237222910102,0.00093380099174547,3.067305181478731e-05,0.0010301232409061544,0.0003063570982242016,0.0014307486449817676,0.00010318213779668929,0.0010097410559968577,0.00028293732344172797,0.0003156013170825713,0.0004947946475051485,0.001344873851398377,0.0004602070744399056,0.0002782480107097027,0.0003079568189731487,0.007873326258498894,3.448136711820397e-05,6.878591877811172e-05,0.0006127191364682366,0.00010068749933672204,0.00020994787826815524,3.382808899852998e-05,0.00211081738992962,4.3780247535620695e-05,0.0014263924056707729,0.00020753410171178913,0.0008893003400862023,0.0011393456019891362,0.00025417086983953147,0.0007182437867554826,0.0008754409362862527,0.0007547708809350619,0.014640013803923524,9.256130262413088e-05,0.00045121861109227734,0.00016147912679413348,0.0002669611363219251,0.0006326147915088442,0.00010141641287860913,6.491938201383671e-05,1.9413696379973484e-05,9.878334060726049e-05,0.0004984790795005116,4.244393159230555e-05,0.0007910903886919257,6.407283380910917e-05,0.0007512474949223776,0.0002063219203598026,0.0006731590187612911,0.0006812593673335824,0.0018296783729881611,0.0030231051200880804,0.0014953713736107642,0.001466567539919013,0.0038021797642390632,5.775622677337258e-05,0.008172813781726395,0.01730736368027336,0.00011893334557723075,0.000330514527357089,0.02778857535170777,0.0008787147677636962,8.555896199348766e-05,4.233533154497221e-05,8.277465469243421e-05,0.0002506003392361973,0.000889122329080711,0.005524325162359312,0.0002686477857036253,0.0005173933721117615,0.00012546256671388287,7.020021470137757e-05,0.00013943012608492726,0.0001506892460973713,0.0009318907450379403,3.157464524560769e-05,0.0004133097865699666,8.491537311251258e-06,0.0005421710827361255,6.97549892042832e-05,0.0012805151974043221,0.000856393072547417,0.00016617806331135007,6.24208730248114e-05,0.0002484747175022179,7.67244021388742e-05,5.300673986688416e-05,7.155389037854768e-05,9.523187200372354e-05,0.00016190555752520076,0.00032048793791028275,0.002645886608151205,4.076709540523418e-05,0.0008897062023942024,0.00011020349669188958,0.000881109515259199,0.0004252525259455663,0.00576725272570297,0.006567366365601843,0.00112896815480626,0.0002290012352079154,0.00021118280830320171,1.2159977207422295e-05,0.00024701018229004876,0.00026782749982771594,0.0013658216324710572,0.00021871051350056398,0.004846577435293178,0.0006104939123990287,0.001614769217724369,0.0002488815227468928,0.00033810657652941765,0.00020114699643390961,0.0005315880041321543,6.673514725384705e-05,0.00015766358966823302,0.0004763522213415729,3.941125813770533e-05,0.00032319945062825545,0.00025835736402239856,0.00020349939243543403,0.000380085892725654,1.5030712736984868e-05,0.0012861593772381765,0.0011350495472348665,0.004669791773919009,6.180646954682675e-05,6.170471811234219e-05,0.00017677247794197753,0.0018436998758082207,0.0002301470721960199,0.00023386285404102358,0.00015565723938043514,0.0007731775242899124,0.00016915399368733149,0.00047430331761805905,3.216142908849962e-05,2.2039491259121104e-05,7.879601685726283e-05,7.827986013120453e-06,0.00032870526900839693,0.0003517422669203042,0.00014409911202403452,9.570024849887939e-05
AM,0.0014473980185536984,0.0006892237349499961,0.00011187536720799052,0.00045312921696597327,0.0,0.0007200241304905085,6.648177652235578e-05,0.002723592391907305,0.0005021535745814683,5.30120535025948e-05,0.00423704091850361,0.0011809875652883522,0.00023975734875789027,0.0006819910082568621,0.000683036700334298,0.0003504971188771497,0.0009671148061299711,0.0004469341603377996,0.00017132188079306568,0.0003359002992684831,0.0002176425528131974,0.00011397991923795434,0.00012026746359328374,2.6507310823578426e-05,0.00014531731133603202,0.0003189023509556859,1.6876008920080246e-05,0.00011852272751369148,0.00015608432319072545,0.002590498926108529,1.6103628952895914e-05,0.00025827873197010917,0.00018651828027942943,0.00042927978225850143,0.00037457099549428457,0.00063103437560998,0.00033952371395842775,6.09151112711785e-05,0.0003431066542290546,0.00038087326154922656,4.5773261711895655e-05,5.248323945603173e-05,0.0009357742950392175,0.0004553587126628557,0.00021496082425852362,0.0017406812024462002,0.0034629040886684443,0.0008879751686896775,0.0006907594592438621,0.0006079658376442826,0.0001031816249323236,9.502043421913663e-05,0.0010423812661995737,4.354600240093885e-05,0.001450022635314759,0.0014918702925529844,0.00046183113683802074,0.0005140399193507565,0.001021094808663078,4.5788092628823404e-05,0.0008080929180852289,0.00031519261675867034,0.0007478751242790874,6.303215764539338e-05,0.007958941762415482,9.845597834222712e-05,0.00032149496772347603,0.00025290789045124754,0.00020507449297388458,0.00042006842861299487,0.00021327005615810518,0.00043572055211551337,0.0007457209261168004,1.9140041496672705e-05,7.563212687968564e-05,0.00021176622276879774,9.219973080940034e-05,0.00020630786494348725,1.8344459634267942e-05,0.0006210954434686818,4.1046554207731864e-05,0.0017788152183459455,0.00038835380875558185,0.00035637751184297963,0.002103168544173627,0.0007589004237218484,0.0020974119295905196,0.0027956460121185615,0.00047131303335773075,0.0009206313672258601,6.836424895389732e-05,0.001442800719078193,0.00017350249285161758,0.0006457622781020616,0.007773170643245559,0.00017177872074212915,0.00031076053548079375,1.6306082479169215e-05,0.000239503805583268,0.0008033824468153718,4.380788280071111e-05,0.003999911491395439,5.366679569374278e-05,0.0008631636857466794,0.0001553888237715663,0.0012554382232341386,0.00019156612950450326,0.0014232590588143287,0.00030152303559343656,0.0006516614142393292,0.00048019694798890434,0.000438269195121846,0.00021640970430477545,0.0020916998919342737,0.0016050232145000164,8.586664156193382e-05,0.0004730411974951262,0.0007749251653551466,0.000386603332280657,0.00011274209015352265,3.5147186318719656e-05,6.584694222624855e-05,0.00017266969093351073,0.0004020524792747631,0.00023320051446368986,0.0007925113299691928,0.0018822653478035695,0.00017961260339734877,3.7579628514773694e-05,0.0004889864604148365,0.00020018184881193522,0.00010865358267319723,0.00012986782641045256,0.0003703935044774356,4.19436132975314e-05,0.00045847391211478744,4.3328675598931924e-05,0.0005352173955018333,0.0006684307530426681,0.0009662167084238522,8.944548369791016e-05,0.0005108404601222008,4.9662560612193766e-05,5.2225007844483366e-05,4.663139113436338e-05,9.189057955050831e-05,0.0004806858474004794,0.000985093585107545,0.0018663956903568865,2.9431794320227808e-05,0.0004107899767311785,2.6556841853446686e-05,0.0002873731001836917,0.000443444579020747,0.0005021320925326984,0.001883708872468133,0.025266237177482217,0.0003096439621580211,0.0005111011027570635,8.047908931187827e-05,0.0012631799156354213,0.0005057168253864527,0.0009528843146027369,0.0003364655121326337,0.0007033718556180362,0.00027298120114450393,0.00046703897767162765,0.00024399909396892035,0.00026994521698597834,0.0004676919312802779,0.0002856883922217157,4.010641354423046e-05,0.0001249279142762138,0.0008426599273748525,1.94818053315205e-05,0.00037785869840056797,0.00016152196476167257,0.00040855182635614687,0.006126163871388616,2.181851616405349e-05,0.005429361036503026,0.0006316772294194046,0.0015217740992139641,5.464569381891885e-05,0.00010820922661323174,0.001715736936075196,0.0029282789762853333,0.0005591682014254765,0.00016225743465721513,3.621990390096497e-05,0.005869845506924602,7.750197212460846e-05,0.00015114574978883103,3.810764779354483e-05,2.1237278472704623e-05,0.00026294612474131234,2.482691602311701e-05,0.0005049709300930124,0.0005571370542719969,0.00034423551028464914,0.00022545320223280014
AO,0.0014392493213853505,0.0007279264169755363,5.723089597602817e-05,0.00040978841252298275,0.0004682722512881009,0.0,0.00047381311133225544,0.0008428090081432199,0.000249493529284216,6.748519659820425e-05,0.00012444405180709947,0.0003918787213156431,5.47406525448694e-05,0.0004659172710491361,0.0009700072919728015,0.0005964814628611783,0.0003941132600314112,0.0005866852188128231,0.0006733868047232756,0.0013350542589255032,0.00030621050564113217,3.511098203349782e-05,8.222493742907427e-05,0.00025565139581639986,0.00014808093602606021,0.006601536293451708,2.6476140541261258e-05,8.337896794488786e-05,0.0020481689412385883,0.0004254245728071211,2.806804718916038e-05,0.0006425148166745107,0.0018469872185887656,0.0007488635460877779,0.0012008582534078975,0.0013173619785650486,0.0010765000820123806,0.0003068719894823537,0.0010722302300999657,0.00022580250318264422,0.00010559678911962869,0.00012942813417355365,0.0003797834965743531,0.0024282239052536886,0.0002151278254620989,0.00039015619578228487,0.0007780370183582448,0.0009167702229664046,0.0012675909704148928,0.0005695167080815689,3.344937038139942e-05,0.0001646644407705158,0.001287492353481498,8.431208574324711e-05,0.0004848682602809111,0.0005182901174238144,0.0008510717208851609,0.0015451518114552826,0.00038551510701656896,2.755598596872282e-05,0.0015637602729912845,0.006898351808410001,0.00035521214506091276,3.506152796800386e-05,0.0005106867607192036,0.0004119048846046553,0.0019377625319274084,0.00028913024875730015,0.0005375814014693542,0.00168810211471947,0.0006958176075692534,0.0019900662109952004,0.0006161790291502183,3.9697098448980396e-05,8.958231178270467e-05,0.007847100338626073,8.572095323369924e-05,0.00012757052691081213,4.9928898270889536e-05,0.0007296229134427563,3.135284733726891e-05,0.0008008912431239474,0.00022244996407011445,0.0010433060471970203,0.001001603745914263,0.0007786015924723094,0.0005597507316972875,0.0006136899644699125,0.00042152662830198355,0.0008721775947946687,3.7511073605377395e-05,0.0005796500534535879,0.0001941372594119408,0.001144375061043464,0.0002054873950995821,8.43844353045736e-05,0.00047125725349883086,4.561797939340361e-05,0.00016852765573107723,0.0004918067123385684,4.496058115948124e-05,0.0006456772435039486,7.095452365758042e-05,0.0006824968438532193,3.826015125310708e-05,0.0005157393620071092,0.0005979247538440996,0.00037788894490723785,0.004038381864745592,0.0006099098667751771,0.0002466064275992302,0.0005918896743376421,0.0004189982203062937,0.00039826500228125355,0.0001784791017388452,0.00030954915122084195,0.0018776318501989816,0.0001227716644095286,0.001086978265236352,8.596145191006192e-05,3.1090156579328735e-05,9.028937393033705e-05,0.0006393466047564419,0.0007392765822987767,0.0005904480276992658,0.0016197730900441927,0.000860818672878698,0.0026040824012176023,8.783354211539517e-05,0.00017239110506992312,0.021195621688989554,0.028560369849804496,7.079062112152607e-05,0.0013426567695483942,2.2532895319668227e-05,0.002136831780722545,0.00011072133362129944,0.0005069768299577204,0.0004451488550908097,0.000552707641824623,4.922074226761695e-05,0.0003527408158424696,0.00012100875677330715,0.00013622637270286893,0.00011821131067718898,7.03957295533093e-05,0.0003148865412580379,0.000696410241080476,0.0004981396758329678,3.121813058099565e-05,0.003977138020167196,0.0002765620001120981,0.0011247019169330441,0.00127145191926092,0.00045688937920006304,0.0004342909674399163,0.0002489115027594273,0.0008905761144367797,0.0002833096804076752,4.2901872702242626e-05,0.001539207797876636,0.000716121606967397,0.0006205420506491421,0.00034343577628774086,0.0007177824229611235,0.0005708869077471546,0.0020119631558103788,0.0009498096484104582,0.00027529358035117914,0.0011924138083852782,0.0049028821919815035,5.1303106488928074e-05,0.00027249933468250013,0.00023574052107098724,4.406660068401089e-05,0.0011973259245990624,0.0010070346098181666,0.00027145691075682727,0.00034823775310908187,1.3339524918962439e-05,7.034832934653526e-05,0.000640021823234927,0.0002928154254294189,4.514527254645735e-05,0.00011277329954667529,0.0009319359876652254,0.0005228217892650152,0.001193609473795501,0.00026068661830732655,0.0003453951047507967,0.0003543301288614836,2.316821560727542e-05,0.00015365973900434844,3.769904642436665e-05,2.6600422082276776e-05,0.00015749157144216252,1.2954155123853204e-05,0.0017660220365226381,0.009978183158706327,0.0019985036530318356,0.001287389701063766
