,AE,AF,AG,AL,AM,AO,AR,AT,AU,AW,AZ,BA,BB,BD,BE,BF,BG,BH,BI,BJ,BL,BM,BN,BO,BQ,BR,BS,BT,BW,BY,BZ,CA,CD,CF,CG,CH,CI,CK,CL,CM,CN,CO,CR,CU,CV,CW,CY,CZ,DE,DJ,DK,DM,DO,DZ,EC,EE,EG,ER,ES,ET,FI,FJ,FO,FR,GA,GB,GD,GE,GF,GH,GI,GL,GM,GN,GP,GQ,GR,GT,GU,GW,GY,HK,HN,HR,HT,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JM,JO,JP,KE,KG,KH,KI,KM,KN,KR,KW,KY,KZ,LA,LB,LC,LK,LR,LT,LU,LV,LY,MA,MC,MD,ME,MF,MG,MK,ML,MM,MN,MO,MP,MQ,MR,MT,MU,MV,MW,MX,MY,MZ,NA,NC,NE,NG,NI,NL,NO,NP,NZ,OM,PA,PE,PF,PG,PH,PK,PL,PR,PT,PW,PY,QA,RE,RO,RS,RU,RW,SA,SB,SC,SD,SE,SG,SI,SK,SL,SN,SO,SR,SS,ST,SV,SX,SY,TC,TD,TG,TH,TJ,TL,TM,TN,TO,TR,TT,TW,TZ,UA,UG,US,UY,UZ,VC,VE,VG,VI,VN,VU,WS,YT,ZA,ZM,ZW
AE,0.0,0.18674068844331124,0.003930535697051467,0.010910560493013421,0.03125126531088144,0.036342375818981636,0.004646925970510942,0.015432706713381678,0.045255018964690745,0.00397249471251096,0.0671435216695469,0.018867595933801367,0.009589333378405559,0.08942217504892887,0.014538338357184514,0.009340099142352447,0.015964375293652307,0.1517510132314337,0.0196739099680778,0.008501910973246107,0.0020951199064377602,0.0075700948746501295,0.03358691042004963,0.0014641937614219731,0.0038080311050543627,0.011491174467402731,0.0030103573857809904,0.020677314485812757,0.014096464445851189,0.018091388930836255,0.0014423678016610294,0.007619653392557874,0.017323642821087695,0.018452463758758402,0.010298900098112188,0.022437764653274767,0.016275776133616294,0.006114608370035073,0.003997907246611996,0.014133237505320473,0.019166571059237806,0.0031115339712040235,0.003165050353064206,0.005295820355601321,0.010197484701943364,0.004989225185170862,0.019911035117304778,0.02388066613867303,0.020082896966536173,0.05118036607776938,0.013125834138358888,0.00210530590525075,0.006856312764105159,0.025846089289128453,0.0025867954847993858,0.006817829392533194,0.0554289673215418,0.059082643178225334,0.013086486081815308,0.05437395079197016,0.015199398592789133,0.0064192242279869395,0.004616282788233034,0.015838726444485002,0.015677899560193675,0.020787077514654514,0.004101955740252098,0.036399462294012384,0.003801764935442642,0.028846955342819967,0.021694009715985167,0.005974289414583469,0.012168127892744417,0.015243713576412713,0.003901009279285117,0.012295724398586923,0.021343500109839736,0.0010860820018383447,0.006282158563351891,0.005993813582374261,0.00405969838509901,0.022939783686478372,0.001356963907711511,0.019757082495644302,0.002681680053845766,0.011392749444864977,0.024655841002043457,0.01765737285796563,0.014132534487820847,0.15284301443047474,0.10656164900433117,0.10174379637086764,0.01352700852895527,0.017227688722152617,0.0053806546340403,0.0843692830759619,0.014021088789322992,0.05396943385612484,0.027806061565936378,0.008830812364326302,0.0022644613791397454,0.017173769576081157,0.003020700203117476,0.012712763116752446,0.07580762018043938,0.0025869046399047252,0.05671231794926203,0.0104934228076616,0.09475988778005526,0.004468257990161227,0.10635020326273734,0.014415450076422028,0.007007324036984491,0.008876119465307336,0.009126097798397551,0.028839823927422504,0.013368333321184589,0.01020089190519316,0.01113650028127689,0.014856503051646937,0.001627997847811787,0.022597112553699818,0.010978530588197309,0.012712695748658333,0.01745469827999915,0.011998524108602557,0.0058248202751025584,0.005862671934677037,0.0031092853667268727,0.014795770123164942,0.011144040756232288,0.05527054212443477,0.11255423943985524,0.019543291781080104,0.0032644872329796013,0.02224730861072113,0.021393328259145895,0.01985423296718984,0.007119149653898652,0.01417803806974908,0.06625654110454098,0.000979520229833234,0.016518237878367894,0.010593595306538616,0.08526096484560759,0.015158999254208546,0.14473355979670588,0.0027166217130131284,0.001974682532713181,0.004610583373514464,0.007370848754445404,0.037043996450421064,0.11410376943902653,0.011348520090755793,0.002781020514653998,0.012457905481655441,0.007079212781705833,0.0015541670805457107,0.04538400985901055,0.027032525343585478,0.011020868825881804,0.016968053652513804,0.04171317825384481,0.04899937222383387,0.12943458777142697,0.005374369069895749,0.16038445015003713,0.08837579797566446,0.013467333934136641,0.03427443147520188,0.012098407876933804,0.02047828627752109,0.012570850217091187,0.018747860055916266,0.06969293315340504,0.007264867979343971,0.06097530558798086,0.010007145711332955,0.0030535265951656646,0.00510122249229065,0.132428734941269,0.003453733213133021,0.017536100109687976,0.014651458609336376,0.023859613145378867,0.027764053194939416,0.007557539281406867,0.05746432225840603,0.01992510231211809,0.005731810669668726,0.033459853108689375,0.00444359670662855,0.012411737417099777,0.05059996900335907,0.016178562252134026,0.052689036676916705,0.015582690538169476,0.002484322140672372,0.03233770859826994,0.0031577141261332994,0.0023788444842534977,0.001573136591084828,0.001872726340232054,0.017626312107051765,0.005246462218495426,0.005986522952659391,0.018193136264303682,0.06696059607943841,0.03194530268171987,0.020896692502307836
AF,0.005150268112145129,0.0,5.5827194775170574e-05,0.00036839280465552677,0.0009810372234011905,0.0006156768937120636,4.107772110751226e-05,0.0002275862445392249,0.0005459388178996973,2.525601057796634e-05,0.0019806922236226413,0.0009477113740902903,0.00011623447316499014,0.0014357857367986407,0.00021825332751346525,0.0002766410227143518,0.00029904949822558987,0.0013329882541588181,0.00028707265366066746,0.00027138349226729516,8.280483569542999e-06,5.069510717917691e-05,0.0005058600026657872,2.2334625391035064e-05,4.4477349400767014e-05,0.0002313401801102065,2.0121962829426616e-05,0.0008814771682187444,0.0002328142528160887,0.0002804587845979102,1.8025376149034583e-05,9.017863644585594e-05,0.0002553634721260598,0.0002531960923092053,0.00016615571728620713,0.00026251561311301587,0.0002196122895874825,0.00010714198915183314,2.4861749153627033e-05,0.00033150242799127796,0.0003789996273483155,2.908706681895273e-05,1.9946975750285205e-05,4.666432513139327e-05,0.00011448555575014268,5.464086534187052e-05,0.0005801860506366417,0.00042062981569760424,0.00028163233749970676,0.0016434153866227,0.00017823577398400805,3.179512688579261e-05,4.314271711777709e-05,0.0010693911535604923,1.637497519064548e-05,0.00017636778713433303,0.0011434951509526627,0.001379409423271406,0.00013840240648332102,0.0009916684850745988,0.0001438534926392099,7.598305050265656e-05,5.311828429523255e-05,0.00022291257232790842,0.0002240298420856244,0.00031914765989078604,2.1597053760638136e-05,0.0015001532101686509,6.435540082220814e-05,0.0006698887231731576,9.30691266455458e-05,0.00013306618481231445,0.00028793972235946144,0.0006235886203350579,3.18331350020646e-05,0.00021188379846304238,0.00027485362376505185,1.207150117463138e-05,5.253380279157623e-05,0.00010182130857610924,3.3819981890931744e-05,0.00029669002243623934,1.718190537593481e-05,0.00039631126448750595,2.1572476507517813e-05,0.0001939655005482674,0.0004597535022020899,0.00021032491942384087,0.00031179069092724683,0.006237186335998309,0.002708342291263139,0.004018625108739026,5.8285673323189354e-05,0.0001657716802655079,3.230248065445693e-05,0.0014613259743045638,0.00014761720954314012,0.0008308028621227399,0.0007785282114437433,6.468147601958557e-05,5.530989869819129e-05,0.0003170530790164357,1.6342372577979004e-05,0.00011683627137291168,0.0019381664308950003,2.0066370268339e-05,0.0014617132312744008,9.50855011561836e-05,0.0015481370731963268,6.14471790542739e-05,0.0012420653975546226,0.00026184056495257805,0.00012975127735157332,0.00010611789331215122,9.105222196108781e-05,0.0014201140465369645,0.00025560837216290737,0.000107367276891595,0.00038038222155882876,0.0004314566372736537,1.3702506305179775e-05,0.00040231101999312606,0.0004088634349748901,0.0002484826864438678,0.00022830130762544433,0.0007190953548395132,4.974975038977854e-05,3.227111058729537e-05,2.960571094530515e-05,0.00038891836443834824,0.00014282545927549818,0.0013183217378640699,0.00155780631940847,0.0002456646130820416,2.7118480097865902e-05,0.00032116204490675523,0.0001295007317225913,0.0001283124381526813,8.081848654325157e-05,0.0005536047873242099,0.001110352550443988,7.368817128413895e-06,0.00017128546315926325,0.0001467641921057681,0.0014468769240494714,0.00024063603708419698,0.0012118088260966628,3.299446980277598e-05,1.538132624932076e-05,6.0742316653131507e-05,0.00011185587180120881,0.000508787974846337,0.004704517717660299,0.0001456820849181233,1.8828169392609707e-05,0.00017396789335730547,4.860065967351013e-05,2.3326575231633373e-05,0.0003307020186185259,0.0004762000561354841,0.00023650859533432637,0.00039146481031282227,0.000699963222263461,0.0007633152622648131,0.0035903674232005004,0.0001155179985379731,0.002330534957779077,0.0019479884020519775,0.00021038611795434455,0.0003736024616887687,0.00045166541350285817,0.00031853229156004277,0.0002568597264150912,0.0003254530955423851,0.0011512520711335608,8.368433827884867e-05,0.0011280777091469375,0.00022803518449902518,2.7602298472588402e-05,2.5612934009493728e-05,0.001736705914732941,2.2192769810198016e-05,0.0003498683391373295,0.00019546201311189344,0.0003072672499322651,0.00178647976785879,9.952808119428894e-05,0.0018378881087511574,0.0006509081535296088,9.536541811945878e-05,0.0037150597070875467,2.541980711639122e-05,0.0001623066675454193,0.0008143132454947591,0.0005659880969460527,0.0010729327448087149,0.00016038414876423692,3.868513436931005e-05,0.002061711772637699,3.0245058084818523e-05,0.00012956322426917045,4.869138552879844e-06,1.3802417157638886e-05,0.00022421166419875197,8.631878842854726e-05,9.679687444155293e-05,0.0001897228184348462,0.0010117251741421707,0.0007808585324159316,0.00038756162755211485
AG,7.238298706366049e-05,3.727689065639691e-05,0.0,0.00017954829936593476,2.148918669343438e-05,4.083791569073334e-05,0.0003762385855857606,0.00011881616110144574,1.5974781990896085e-05,0.0008019727652390283,3.977853486919108e-05,3.080843400339015e-05,0.016193006250313578,1.7408286306231612e-05,6.880727058841205e-05,2.5184186610794168e-05,0.00011394956717652945,2.0182440722862255e-05,1.4320383574682472e-05,2.779650315985489e-05,0.0227233641945914,0.0022960734596687853,1.3894934959292224e-05,0.00033656715621407544,0.0006863087370519828,0.00042296145995704626,0.0010526376591528752,3.7721885342984434e-06,1.3696617724620378e-05,9.011951680008997e-05,0.0007365704227021294,0.0017341205443876537,1.1016095095679506e-05,2.238136435863512e-05,2.014500091707276e-05,0.00020080054047179956,7.022067076504323e-05,1.0998139294104682e-05,0.0003209430721046092,2.2008726855907456e-05,5.8330288733526894e-05,0.0005207073821795809,0.0005779778777204677,0.0009224019590516779,0.00035569958089752383,0.002118424213840685,0.0001678796551356591,7.304771724847656e-05,0.00011578159915626855,2.7708960509444093e-05,0.00015408887829515357,0.13352581373941838,0.0014055731491974374,8.19726746216076e-05,0.0005239209400650466,0.0001662023240524823,8.427479128417603e-05,1.1314348462645134e-05,0.0003199311179074723,3.466490915528733e-05,0.00015922852578467424,1.3118393527028405e-05,4.8655425777516354e-05,0.00030412374290523126,2.438137831108838e-05,0.00041897117651414637,0.007556545777035446,2.3164650845954747e-05,0.0015685987953421429,6.427338366901552e-05,0.0011287665921107133,0.0001121251871726672,3.160525081413794e-05,3.977116464807408e-05,0.004228073913855078,2.0775981110001652e-05,8.377739891007553e-05,0.00038127569462349846,1.935218486192554e-05,3.8506266685860915e-05,0.006679417156584707,6.888818232033051e-05,0.0006185460794131695,5.6071948386020635e-05,0.0018254587742640646,0.000127777932740561,7.0656865175497854e-06,0.0002998539868425913,0.00017410530227913895,5.259805656305962e-05,2.26129273333233e-05,3.0020104484103993e-05,0.0004891209427044269,0.00026823090076154635,0.0023305510166518745,6.351133759364992e-05,4.792210454402024e-05,4.954464749934406e-05,1.4059036577608444e-05,6.089553483671722e-06,7.023278979660523e-06,2.146657840579164e-05,0.12305033024371707,3.7054286782109414e-05,9.250700166274161e-05,0.0022008060632307865,1.9350929856232657e-05,4.989622168037569e-06,2.3663101107219863e-05,0.005765792118569798,2.3016139650933153e-05,2.655531830246493e-05,2.6216729093914658e-05,0.00010414755788930714,9.678738114383778e-05,2.784870015992524e-05,0.00023602878810519034,5.3965827398456114e-05,2.6332758858183704e-05,2.572056787047313e-05,0.0023635650993189808,9.843822803279564e-05,3.298874944806387e-05,3.739047953169176e-05,5.32921548460182e-06,3.60620304688821e-05,2.281723299141289e-05,2.7238680915220488e-05,0.004341981101869529,3.8311993567269e-05,0.00029033911228317335,0.00019306753510738882,0.00010312427230502667,1.2507267280379745e-05,0.00031349879492363993,1.0428060948425537e-05,1.41216596631822e-05,1.874414028597569e-05,6.661151237683334e-06,2.411020567877269e-05,4.4664106371082865e-05,0.0009447250056294287,0.0001619852611590666,0.0002296939169719919,1.6871638349887552e-05,1.0800669808462548e-05,2.0653111866620012e-05,0.0005387061068348214,0.000328557326857459,0.0001249094904080397,4.867741482274667e-06,5.196018114415712e-05,4.960614137215159e-05,9.557878534535548e-05,0.0021875762285776925,0.0002866602476850018,2.8317683924434688e-05,0.00012412699065433814,0.0001198878507879606,0.0002645036977123125,7.74152738730235e-05,4.102705319725715e-05,5.104383067073631e-05,1.918143156025608e-05,2.94234141264246e-05,4.214239843581116e-06,3.731352741388996e-05,1.8529229330784494e-05,0.00012802994696955696,1.3305913434212519e-05,0.00023267652043628998,2.429820765118795e-05,1.7027791273593606e-05,7.104623620268196e-05,1.72291034248387e-05,0.002303548961538048,1.812520096868548e-05,4.420960788812045e-05,0.00036806602054202057,0.02369628038856171,2.041676064245307e-05,0.015156526667755996,1.6470114514322006e-05,6.200034541776259e-05,1.657791266836935e-05,1.0262436519919094e-05,1.9332833110510286e-06,2.1186199825627755e-05,6.0118998743821176e-05,4.732664645222205e-06,6.570105596816874e-05,0.021802820877529105,6.510128811776006e-05,2.218825729119107e-05,6.814632367751687e-05,2.344612698847089e-05,0.0018205915616901595,0.00037602857649570896,3.254368503439892e-05,0.018354958342620128,0.00043338281732793006,0.03171565826956605,0.004486902556131069,1.7527923047652523e-05,2.7560277537678508e-06,4.105238866740686e-06,5.860968014716343e-05,8.127555101597056e-05,1.9510175761820725e-05,1.4362181952313016e-05
AL,0.0002684558724351058,0.00032865943440165134,0.00023989565740286796,0.0,0.00034057112127017187,0.00024049511145045959,0.000154263729377785,0.001555665291386073,1.7798491096021526e-05,4.961646156978626e-05,0.0006698816075983209,0.003651226570215156,0.0007307912630690044,7.268713225984319e-05,0.001287375086805083,0.00030841117460479056,0.002098042045299633,0.00012499345717025966,0.0001279271969779437,0.00018957800984207887,0.00011808153405679934,0.0002730513473223202,1.6972618946772537e-05,4.004718765908087e-05,0.00016441263885494752,0.0001991940387783279,1.84304216594966e-05,2.6724518383626084e-05,5.244623282820446e-05,0.0004508118622351491,9.189497240772564e-06,0.00010200097846647584,0.00022415647561816035,0.0001708184160313466,0.00010239938047130899,0.0012990542714934462,0.0002368098557234,4.000453467212528e-06,5.915721419828828e-05,0.00031065253997919517,5.1887300918754006e-05,4.6104228397879234e-05,5.576692990501278e-05,0.00020058520338799954,0.00044965488636300715,0.00021531536048071298,0.00117008484162368,0.0006689595850028957,0.000974643645725175,0.00041764119108228596,0.0003957436572772433,0.0003918871235762235,0.00017860623949645594,0.0005432282384577638,3.463557867674686e-05,0.0005790086682812727,0.0006757198503823429,0.00023535414952483165,0.0007759740274712656,0.00038099389500679404,0.00028803455399897484,6.131793499461176e-06,6.305940503495938e-05,0.0008502978524709565,0.00016824764008251076,0.0008512654933076679,0.00015987043655369564,0.0017392037073867817,0.0016216764119506117,0.0002524611822765813,0.0011555269608182974,0.00018815939072099706,0.000548356143762084,0.00010378122868927954,0.0010711781249756738,0.00018357235447142127,0.004400837985053483,1.207390317794727e-05,2.4718317808846493e-05,0.000104468337429669,7.946732005092708e-05,7.787016143224947e-05,1.2986012237563956e-05,0.0011171028369493614,6.150734043851361e-05,0.004236603492931699,4.5662549413367616e-05,0.0004549706816422369,0.0013571683963299293,9.25174820128797e-05,0.0005025729981306629,0.0005305773266904075,0.0007237898200101899,0.005250931248155722,0.00016534025798417616,0.0005101026973187523,7.863905235743083e-05,0.0002196665479618521,0.0003192720529507821,2.657994519526405e-05,2.8736619936250644e-06,7.422422110032797e-05,0.00015623517817924654,5.619677558313362e-05,0.00020856134206233485,2.5197947757199486e-05,0.000444170194928781,4.2522465122961465e-05,0.0004891038680883947,0.0005767548251099152,3.5882412112036926e-05,0.0004569361730955311,0.001342822758761618,0.0006229975005198971,0.0007828804465784983,0.0008998166755180938,0.0007415846054984883,0.00014765486483450812,0.004089663305618531,0.005875024219947984,0.00043207325699978023,0.00010661995363332579,0.003716044411512055,0.00014164295945331558,4.039024068476152e-05,0.00015253241286961408,3.412592080453471e-05,2.8355575574780842e-05,0.001180980932036669,0.00024326929483002547,0.0009192255866559616,0.0004769163347609105,0.0003626529034064157,6.67811468218416e-05,5.009357515354978e-05,3.0427899974221935e-05,4.697098151604816e-05,0.0002641888961141553,1.0539133005337233e-05,0.0003736898763171512,0.00024367282704789984,1.8516799483325723e-05,0.000770417496880754,0.00037302734822152107,8.590971379673025e-05,8.510994930294074e-06,0.00016167615350778908,5.693004494838591e-05,2.6968480910338214e-05,2.5204490185203064e-05,9.231201492170525e-06,4.364354718871411e-05,0.00013799002582306114,0.0011986473029255474,2.6801278778599397e-05,0.0007460029442686965,3.546126708492263e-05,4.923799084711883e-05,0.000362214865772031,0.0005449089937067794,0.0026171203810702653,0.003397453050850322,0.0006104488712434219,0.0002522340840407192,0.0001631077289685138,2.924712258318082e-06,0.00016802323816643268,0.00016245363220682916,0.0004212432326357392,6.304094188794186e-05,0.001826634326131158,0.001536917247862097,0.00036466751938973456,0.00022882159909627978,0.00013201356520444908,0.00031784141166064125,8.936148628908075e-05,9.522762702263431e-05,1.9930485462572144e-05,0.0001031555652841012,7.324040344358333e-05,3.860543957791677e-05,0.00022077102033392725,8.827586208623008e-05,9.823020394555296e-05,0.00032275350694111144,1.740824840543013e-05,0.000873621906809128,0.0006872289348679911,2.762014804512304e-06,0.0025409026003747124,0.00013447016240245455,8.632809978731976e-05,0.0002573679986837425,0.0010920852289506287,0.00014967359036103107,0.00014061691065338003,4.361997153749323e-05,0.000393349043458776,0.00024374387938279636,0.00010072119781875484,7.03980048900027e-05,1.7094154360774718e-05,5.5868253305209986e-05,3.0452784659108624e-06,2.59507697964699e-06,0.00016498346983500985,0.00021658563472257562,6.907247267437533e-05,6.227199421237199e-05
AM,0.0010204051824694474,0.0011614476867067398,3.810134196657305e-05,0.00045194649431865144,0.0,0.00014817489261639139,3.80846221668099e-05,0.0015253181284688533,0.0001463420160699601,3.231557615570135e-05,0.005928540034717579,0.000877317543179712,3.777930119036407e-05,0.0006645053142374658,0.0007105277498172985,0.00017469971849449603,0.0008306352825132606,0.00038701080601963035,0.00010794389943345737,0.00016514969544253766,3.967824695890045e-05,5.380077412027906e-05,7.435040935177091e-05,1.7122356655108546e-05,3.911521292941466e-05,8.74785404951526e-05,2.673055224655833e-05,0.00010965028984683202,5.3298210004885095e-05,0.010288360836477514,1.1504729246370557e-05,0.00011523604633387437,0.00010881261099301619,0.00019808830509568962,0.0001964550585393431,0.00030737633020957013,0.0001818253244653462,2.9458721763198597e-05,3.842125486485163e-05,0.0002272422674681928,0.0004929410994046101,3.444893831011709e-05,3.16523612709466e-05,0.0005897960596837465,0.00011137763856011707,5.429307419693454e-05,0.0012222871913254052,0.001420757161133374,0.0005327508640329824,0.0005606218980071543,0.00024818694195082795,1.6354064224477468e-05,0.0003925421927924493,0.00031413388426136543,3.294393787026279e-05,0.0011765146771811363,0.0009342221603039748,0.0003557066677278864,0.00028009859601316656,0.0002278642705080083,0.0004633534468359445,2.63861080063834e-05,0.00010287411325271369,0.0004610833973023903,0.00018975366597054116,0.0002968806196117261,3.1424204342702836e-05,0.009076736513100444,6.905607811522746e-05,0.000156986928479233,3.0382849809439633e-05,0.0001612669245883437,0.00014780712216708004,0.00018112233086748532,4.1687958052023195e-05,7.948637806986677e-05,0.001779999161858317,1.3043756619525822e-05,6.755981577734294e-05,6.245327531091935e-05,5.396678028863405e-05,0.00015619102585171272,1.3896748707857794e-05,0.0005912687635152854,0.0001654278850076034,0.0005927462623260867,0.00014767135318194722,0.00017219922405730106,0.0033114890965954802,0.0007080077618864279,0.003325400531763424,0.002395463458493065,0.00013127051973692522,0.0006625571602099491,3.3657539141744066e-05,0.0008190655490100367,0.0001363979201643047,0.00032598539498136927,0.0072130222167648625,8.270938536371346e-05,1.4352226090313227e-05,9.348649185374043e-05,3.094677242765274e-05,0.00017758028768827025,0.0008218248876746598,3.3167437458916953e-05,0.00485492836538188,0.00011977098864076428,0.00252132518287363,3.370236986818612e-05,0.000847015082990258,0.00014816696383317126,0.002072123193452559,0.0001523688679862538,0.0022760440596996854,0.0003203887528857672,0.0002586501713689384,6.969313855307979e-05,0.00424170380694957,0.003603571103734143,1.682527171858797e-05,0.00019199306092186125,0.0004762408197242489,0.00018651417956666884,0.0001267150740075162,0.0024498729985047516,4.7233758305565435e-05,6.246341407790493e-05,2.8564345354291222e-05,0.00017478977892276755,0.00024529043349155467,0.000331036069378845,0.0011709307637821707,6.336393883487971e-05,4.523662606016609e-05,0.00015018814584727379,0.0001469293079470946,0.00014465876245674646,5.8748806512650685e-05,0.00022973707059693256,0.00032265360468779425,3.976434586829137e-05,0.0003539506478575957,0.00023754860337668553,0.0006487729488120844,6.267230121792701e-05,0.0007715241910607291,5.0548175532604095e-05,3.512931483981344e-05,3.9468248628650825e-05,1.789108616271062e-05,0.00013897800277627858,0.0010397049429125246,0.001303884446899251,2.7756738907716182e-05,0.00018731982485645877,5.279683715648719e-05,2.130153322469074e-05,0.0019041294078319124,0.0002126092414678668,0.0006498198437149685,0.00120376216800637,0.018741385959061062,0.00024386300801275878,0.00032598115198671096,1.6491818104952708e-05,0.00048135797636015626,0.0005696008902980477,0.00036057190169491216,0.00013939056180676317,0.0015210710640710205,0.001862653514322744,0.0001576081706713442,0.0002122467186745543,0.0005308588046625285,0.00014332891988993502,0.00014560201074019199,7.307803259684152e-05,2.1323704825528768e-05,8.099413992740971e-05,0.008626139645502353,3.2448207239369124e-05,0.0001573452921833266,0.00011475048306776652,0.0007239697987279036,0.00554141037462106,9.107196726687884e-05,0.00387017989888909,0.00040371077197010014,2.438356051109614e-05,0.0016389739949557614,3.5588940912894885e-05,8.398435817520566e-05,0.00026158774577884545,0.003271657853893366,0.00019251317085639498,0.00012632493389143777,2.6725456880749165e-05,0.005784264996415996,1.6497919967651925e-05,7.07325496726265e-05,1.9588678721261485e-05,2.5147573138127617e-05,0.0005461696523442758,2.1421273550540476e-05,2.358951367733146e-05,0.00016112311619478968,0.00023544668998962752,9.614033806252353e-05,6.623014444335889e-05
AO,0.0006115279862082943,0.00037563408589131193,3.7314861466827414e-05,0.00016446876368341772,7.636117339683291e-05,0.0,0.0003519103728894181,0.00034217847193912586,0.00012476488098010161,7.129598180180243e-05,0.00013870656218957782,8.956605932579531e-05,9.12654941657726e-05,0.00012284185181730896,0.0009671498487333044,0.0005406521981776505,0.0001416335479197745,0.0001896842317983926,0.001475562066328983,0.007665207137583595,7.283336262648118e-05,3.558373591628318e-05,7.231702552864855e-05,0.00021383237359198136,0.000220256601423294,0.003056419721208456,2.785830878975088e-05,2.0921796275232784e-05,0.005249569263519362,0.0001085549733392544,1.9408052492325646e-05,0.00012184233393717533,0.014644430268644622,0.0015842147486638328,0.012178248681792559,0.0004993745891913853,0.0015877278969435272,1.783770248604679e-05,0.00022629959805855413,0.0055760829149449085,0.00015576384366868963,0.00011100028579141508,6.335443166077015e-05,0.00010887647439884843,0.003916261369529978,0.00028931770431782014,5.9440113325217666e-05,0.00029521707961105474,0.0004757079121322228,0.001769750040542483,0.00021865553024216392,3.084367029551293e-05,0.00011941603884685697,0.0003001284749452761,8.519125940051935e-05,0.00020238077509468383,0.00023575567843023228,0.0020362255604267584,0.00041349747939153735,0.002332426949224898,0.00023356451107123648,1.727553009476534e-05,9.56692685833309e-05,0.0008515634994871168,0.016899617570445915,0.0003662445075145237,4.175018617327646e-05,9.140150292802354e-05,0.000556432964558346,0.003702816114905871,3.6680863652372296e-05,0.00012786552525716647,0.0010490531934278043,0.0010005706238490064,0.00047794169051231753,0.005544076379281395,0.00020838558070134354,1.9551859075763458e-05,1.7179786479389575e-05,0.0023734290260447387,4.1228634545867706e-05,0.00013542532180519046,2.1804382656723504e-05,0.00035344204635257725,4.7901734061656405e-05,0.00027863288356436275,4.5240569646632586e-05,0.00042728829790823487,0.000295615888894623,0.0002596937217938859,0.00017346185911020564,0.00018335205257096802,0.00013888943043201187,0.00033123420606825493,3.753442705732368e-05,0.0001764555731027702,6.760173389677014e-05,0.0029537646463345156,5.906438251927534e-05,2.176980282089006e-05,1.091783582793036e-05,0.0009417009351931639,3.380511146888488e-05,6.0379605206203904e-05,0.0001915931149712804,3.1704877670463094e-05,0.0001608082415582758,2.7987190264593673e-05,0.0004770588554804783,3.651055920547308e-05,0.00014475310673436046,0.0011677793619158314,0.00011884004267949329,0.001404105152385191,0.00017613364123096189,0.00019634305434854387,0.0005362154241174865,9.831820817883974e-05,0.00013631862821980066,9.237043490336356e-05,0.00018985446346902842,0.0015166524240715579,6.300407397165987e-05,0.0010463404238379543,4.1937405743493574e-05,3.130706380462409e-05,1.8872288828505947e-05,2.0833593152978854e-05,0.00034864505239325767,0.00031901622606845176,0.0001758237346209569,0.0011663506889361022,0.0002376434138600585,0.003975189365512738,5.857847500291445e-05,3.5511356218584136e-05,0.03472867845824677,0.011078374869820124,1.6037877723707022e-05,0.0009579077970847297,0.0036080649018718994,3.1573055524821405e-05,0.0006174252603068738,0.00016944103874423215,8.647313315855845e-05,3.989144562566354e-05,0.00016555196698681742,0.00013851052989481095,0.0001268168725960498,1.801480579075564e-05,2.0314190148911454e-05,7.328671934226264e-05,0.0002712903613070553,0.00018008096345754798,2.4822918198719725e-05,0.0019673768953018538,2.0696494268360686e-05,0.00030099814517663316,0.0005018105466154533,0.0007233231881589217,0.00022775803365789242,0.0001563123885435267,0.0001373591165864876,0.001729066933151322,0.0002651965016466512,1.8275274369493125e-05,0.001136525181504888,0.0008189878283829531,0.0002444566490468958,0.00013106714054054636,0.0003423452755812911,0.00011002133401835663,0.0004890078010311727,0.0010314708981624802,0.0027375761057077,0.0002748907674574959,0.002533231534747335,0.017749612323137574,2.146656351434401e-05,0.00014414213121114215,0.0001339229291350088,2.491671725139014e-05,0.002185778010366538,0.0040392928683348015,8.684444696218621e-05,8.631953886606661e-05,1.6660910245768303e-05,8.746186237776792e-05,0.00026617819679115607,1.817438506285804e-05,0.0001593993912634459,4.279069008092655e-05,5.413199439973597e-05,0.0016059732199727001,0.00012838950071136863,0.0019808941577687655,0.00017570293018942732,0.0001513224352605496,6.09165760348452e-05,2.3050391538174263e-05,0.0003434321871083511,1.877920286187114e-05,3.003628376190566e-05,5.530366109905351e-05,1.648375142761225e-05,1.7298403222399375e-05,0.000981136279977494,0.008959593168305751,0.004911517515175078,0.006570498100007031
