,source_iso2,outflux
0,AE,696152.0
1,AF,31900.5
2,AG,17250.0
3,AI,4305.5
4,AL,55399.0
5,AM,51466.0
6,AO,3340.5
7,AR,34770.5
8,AT,180968.5
9,AU,172719.5
10,AW,13848.0
11,AZ,60553.0
12,BA,23858.0
13,BB,22889.0
14,BD,104946.0
15,BE,234439.0
16,BF,17173.0
17,BG,125939.0
18,BH,167734.5
19,BI,2834.0
20,BJ,17028.5
21,BL,11784.5
22,BN,12947.0
23,BO,40276.0
24,BQ,7132.0
25,BR,89599.5
26,BS,68010.5
27,BT,2598.0
28,BW,16522.0
29,BY,40620.5
30,BZ,4878.0
31,CA,334289.5
32,CD,4579.0
33,CG,3600.0
34,CH,197139.5
35,CI,14368.5
36,CK,1176.0
37,CL,29044.5
38,CM,6139.5
39,CN,608722.0
40,CO,75816.5
41,CR,40026.5
42,CU,85071.0
43,CV,17366.0
44,CW,19860.0
45,CY,60833.5
46,CZ,36943.5
47,DE,803203.0
48,DK,120162.0
49,DM,10229.0
50,DO,102586.5
51,DZ,39522.5
52,EC,22064.5
53,EE,13602.0
54,EG,310468.5
55,ER,8336.0
56,ES,612592.0
57,ET,81407.5
58,FI,66563.0
59,FJ,3850.5
60,FO,16092.0
61,FR,661737.5
62,GA,7709.0
63,GB,1201492.0
64,GD,4263.0
65,GE,78042.5
66,GF,3164.0
67,GH,15657.5
68,GI,5126.0
69,GL,4799.5
70,GM,5583.0
71,GN,7930.0
72,GP,38814.5
73,GQ,11525.0
74,GR,89797.5
75,GT,20857.5
76,GU,45281.5
77,GY,4944.0
78,HK,315912.5
79,HN,5022.5
80,HR,14021.0
81,HT,3917.5
82,HU,223789.0
83,ID,270121.5
84,IE,159954.5
85,IL,112820.0
86,IN,391050.5
87,IQ,124215.0
88,IR,256539.0
89,IS,128092.0
90,IT,795817.5
91,JM,45867.5
92,JO,66335.0
93,JP,648634.0
94,KE,40570.0
95,KG,13045.0
96,KH,61692.5
97,KM,2531.5
98,KN,5924.0
99,KP,3226.0
100,KR,685081.0
101,KW,291612.5
102,KY,23747.0
103,KZ,10084.0
104,LA,9280.0
105,LB,57947.0
106,LC,4412.0
107,LK,53441.5
108,LT,47275.5
109,LU,5890.0
110,LV,32286.0
111,LY,70201.0
112,MA,239174.0
113,MC,8610.0
114,MD,40251.0
115,ME,18204.0
116,MF,8298.0
117,MG,6641.0
118,MK,80300.0
119,ML,10716.0
120,MM,24991.5
121,MN,2248.0
122,MO,45995.5
123,MP,12933.0
124,MQ,24123.0
125,MR,7204.0
126,MT,37233.5
127,MU,2030.0
128,MV,22647.5
129,MW,4479.0
130,MX,572902.5
131,MY,442344.5
132,MZ,4128.5
133,NC,6402.0
134,NE,13133.0
135,NG,27718.5
136,NI,10537.0
137,NL,415249.0
138,NO,144078.5
139,NP,22354.5
140,NZ,41209.0
141,OM,108271.0
142,PA,138148.0
143,PE,44280.5
144,PF,16317.0
145,PG,8675.0
146,PH,243517.0
147,PK,313788.5
148,PL,468331.0
149,PR,188649.5
150,PT,141244.0
151,PY,11345.0
152,QA,465450.0
153,RE,12521.0
154,RO,343460.0
155,RS,130586.0
156,RU,433024.5
157,RW,10916.0
158,SA,633826.0
159,SB,653.0
160,SD,77832.0
161,SE,178659.0
162,SG,233032.5
163,SI,6484.0
164,SK,22247.5
165,SN,52634.5
166,SO,10499.0
167,SR,4475.0
168,SS,9760.0
169,ST,3118.0
170,SV,18863.0
171,SX,17211.0
172,SY,10155.0
173,TC,9528.0
174,TD,1087.0
175,TG,14817.5
176,TH,275767.0
177,TJ,34975.5
178,TL,9320.0
179,TN,123190.5
180,TR,278996.0
181,TT,16398.0
182,TW,507878.0
183,TZ,17949.0
184,UA,261276.5
185,UG,24747.5
186,US,1577266.0
187,UY,10853.0
188,VC,5206.0
189,VE,55277.5
190,VG,21801.5
191,VI,36603.5
192,VN,229426.5
193,VU,668.0
194,WS,7944.0
195,YT,9138.0
196,ZA,47376.0
197,ZM,11655.0
198,ZW,22120.0
