,AE,AF,AG,AI,AL,AM,AO,AR,AT,AU,AW,AZ,BA,BB,BD,BE,BF,BG,BH,BJ,BL,BN,BO,BQ,BR,BS,BT,BY,BZ,CA,CD,CG,CH,CI,CL,CM,CN,CO,CR,CU,CV,CW,CY,CZ,DE,DK,DM,DO,DZ,EC,EE,EG,ER,ES,ET,FI,FJ,FO,FR,GA,GB,GD,GE,GF,GH,GI,GL,GM,GN,GP,GQ,GR,GT,GU,GY,HK,HN,HR,HT,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JM,JO,JP,KE,KG,KH,KM,KN,KP,KR,KW,KY,KZ,LA,LB,LC,LK,LT,LU,LV,LY,MA,MC,MD,ME,MF,MK,ML,MM,MN,MO,MP,MQ,MR,MT,MU,MV,MW,MX,MY,MZ,NA,NC,NE,NG,NI,NL,NO,NP,NZ,OM,PA,PE,PF,PG,PH,PK,PL,PR,PT,PY,QA,RE,RO,RS,RU,RW,SA,SB,SC,SD,SE,SG,SI,SK,SN,SO,SR,SS,ST,SV,SX,SY,TC,TD,TG,TH,TL,TM,TN,TO,TR,TT,TW,TZ,UA,UG,US,UY,UZ,VC,VE,VG,VI,VN,VU,WS,YT,ZA,ZM,ZW
AE,0.0,0.11220886910275477,0.0005327183037777053,0.0003033818506470876,0.005996707280749606,0.01806241853889746,0.01117644842319697,0.006293293320645269,0.007791741550883428,0.04030825134619416,0.001712108159120846,0.02883523142094206,0.003965678288780204,0.00041905029663417417,0.1028844587834012,0.005148315949039973,0.006261450317157155,0.005832128602429261,0.07023145683290896,0.005096463721173757,0.0009675086771609724,0.026794073181900118,0.0016036374384212695,0.00153395637738856,0.010636526630372014,0.00039492777252280115,0.03231643247381193,0.012966038755578705,0.00021428767609504837,0.013146581220945357,0.008826989906288855,0.004267035627277649,0.01228938041355292,0.006981109431844272,0.0028400718820673814,0.011144967645819235,0.009216563752590702,0.002749833465213798,0.0018498805227415145,0.0035766269696855275,0.004822340686917239,0.0032589896905019667,0.006069585589098802,0.010792671441693914,0.008586031037001954,0.006642879075787781,0.0005337788911997807,0.004393428737637361,0.012611536338025631,0.0028459700614849215,0.006238343556447299,0.06327879569770956,0.11437032792768066,0.009496921220804316,0.024975552604736977,0.013498941473451891,0.0016835963471553417,0.006582961483621953,0.012986350471320966,0.00843097167636652,0.011790849146824444,0.00036558735988166327,0.04616353256560531,0.00781236094071168,0.011590403276817119,0.04232901485358251,0.005548894887966052,0.005755776503644157,0.0029829851860882946,0.0045349941092015155,0.009439089578164793,0.007587199811039206,0.0009384368578373195,0.007816868432221086,0.0016442265895076484,0.01264197200087289,0.0004743749553814871,0.008699523078163124,0.002287172434484123,0.007396695686930125,0.028711819564889114,0.011675573139892086,0.01095824532989092,0.125719863097839,0.06844434673174071,0.09727035553875531,0.012370922585841966,0.012185752700043226,0.0027978238582316564,0.0495201037437552,0.007781622221669113,0.035183692385265725,0.020029411312109658,0.0021760004304154723,0.00503126237752148,0.00023437593643846726,0.000761097636668338,0.004385299239832975,0.11162564819629742,0.0016984159838882883,0.07010263289923618,0.005562880297193997,0.0477291528676948,0.0002925729755949038,0.048788253230972,0.004590078095610531,0.0048461457594577454,0.00447568053326235,0.04379998206195251,0.011475092924164466,0.0031156736948732035,0.0038345500786029427,0.0084624939729249,0.0015321615564040634,0.004069453220976615,0.004742390753175052,0.012643800188056257,0.008417818214331107,0.004579000051884106,0.00699284336321319,0.003635887203650139,0.006234607276575006,0.010868881254724305,0.014233432662325666,0.03983769377738572,0.008138389467770018,0.002361459160314985,0.03250976571514489,0.009645514680411919,0.010712533881405294,0.005815001618555055,0.024126025256842765,0.015434426958327266,0.0017679258068676392,0.00876412313755403,0.004795282331096867,0.08054492287245375,0.00991194877650026,0.1288404652537162,0.0012472857334610752,0.004168844905995977,0.001736571908863223,0.014498023054447905,0.029059006392440828,0.13753163171007401,0.0036541433780363066,0.0014064552508611969,0.010566515268182548,0.0017426389124672733,0.059911009582547435,0.0069608396725254155,0.006379909799670688,0.008315064498248613,0.01951752198745989,0.015417023132560836,0.13117055530779653,0.010963531824782921,0.010306600738999045,0.09327521347356134,0.008583485174785351,0.014217721210666294,0.008132204790344807,0.0019922342483697343,0.006281896258418032,0.06566263092264547,0.005249488088714876,0.027362491747813744,0.00527272969308237,0.0013057218601027335,0.0010943999145586495,0.009271936841394851,0.0012616402075827033,0.017497165062434143,0.0066372273234365994,0.012757563468311622,0.003003086247720101,0.055161549867062565,0.01838800651293334,0.0014041001325742644,0.025301983566688405,0.001507645083783864,0.0050519405204763005,0.01327470182917153,0.005895504702395495,0.02532558850005557,0.011011747053727096,0.0023679875741985617,0.018205856668903574,0.00038386304592727015,0.0017331148740368793,0.00042515629598440766,0.0004270899375365512,0.008558395240624279,0.004080828431194699,0.004327831268126133,0.010195043132333582,0.01484498052582622,0.01034428810791939,0.007372511787807846
AF,0.005328119896623282,0.0,1.1514176338786345e-05,6.923969409834202e-06,0.00016683079024946247,0.0014577624115232706,0.0001792783226702024,9.072698420787927e-05,0.00029589267296021855,0.0008143355328484118,3.191490614533124e-05,0.002168474243739314,0.0005813862318752585,1.0887198689396659e-05,0.0023845233293379683,0.00010876453152474199,0.0001486968962869661,7.269075109114414e-05,0.0025703553992710132,8.193324387504382e-05,1.8645734332559182e-05,0.0002227006237303686,3.071969036170843e-05,3.697450724572861e-05,0.00018788226117188458,1.0163914515519787e-05,0.002285758003192371,0.0003630243750602696,1.0862977146121035e-05,0.0003114563764523998,0.00022178293608193602,0.0001471689054046552,0.000285236205302346,7.448236475210544e-05,4.5393881006103856e-05,0.00017343080030515274,0.0006617581579765442,4.860300449706043e-05,3.9843205279106665e-05,8.771480034059872e-05,4.175194149375768e-05,4.846723085220573e-05,0.00023854237620571391,0.00031063985532936845,0.0003166539607425728,0.0002957832683914895,1.2850793869090707e-05,0.00012054766831773784,0.00010281698133158014,5.2015761255300254e-05,0.00015608044349454126,0.0031162663947446106,0.002114185135339031,0.0001910723677037343,0.00024526101145111104,0.0002446363939410219,3.1291685048562834e-05,0.00015807182896757774,0.00028952520249400627,0.00018992624853862676,0.0002210842461828934,6.969481349902886e-06,0.0005698891827151577,0.00011588922015418326,0.00033553672418820435,0.0006319765599055901,0.00014018817849245055,9.617285026511256e-05,5.3859286962109715e-05,7.387015761431112e-05,0.0003026673712716477,5.69936031931205e-05,4.407424718315779e-05,6.174655941033263e-05,3.753104461894579e-05,0.0002444111116032041,1.627367771079344e-05,8.142795571697231e-05,6.816676955726885e-05,8.450165920374268e-05,0.0014614796205708247,0.0002991184435146442,0.00011480611333343317,0.012295822443438065,0.0021032392164068926,0.007982628348341665,0.00012244880459027113,0.00025700227901294956,7.008071414443415e-05,0.0016170978517744841,5.705376163228419e-05,0.0007400680629734312,0.00217776682343292,3.895552949163193e-05,0.0001188926232589162,3.9420777550568035e-06,7.141817067589895e-05,6.334527579751625e-05,0.00332380868020902,4.974326730553577e-05,0.0016119504569749408,6.429829446044129e-05,0.000860651369863619,5.959855827870676e-06,0.0015289506983988902,0.00010627822793514003,0.00025941466727560323,0.00011235841303928426,0.0013301447620961311,0.00014693423793162122,6.255773675217082e-05,3.078072417796485e-05,0.0001188873371036678,3.434289659415191e-05,0.00010972559176656649,4.727111164935088e-05,0.00023106543928236008,0.00012160566440928093,0.00010786951148556902,5.050377854639355e-05,8.417680705675296e-05,7.766085149598669e-05,0.0001155185243860675,0.0023947701235814867,0.0004191826480901747,0.00011694285015904525,5.174610441979728e-05,0.00041717240644827586,5.873573182386552e-05,7.332721737154227e-05,0.0001812386749539476,0.0008173381685344627,0.0007902099060775214,5.819236030766732e-05,0.00028252016168630375,6.187199394415522e-05,0.0012638038825680182,0.00021483550640114183,0.0015428220650703659,4.0060488452995254e-05,6.866778351302034e-05,4.427694338541848e-05,0.00010867883414157557,0.0004685492714615707,0.004626399667667429,5.8435787441775426e-05,3.574342248533676e-05,7.23755696127083e-05,2.9127157606035184e-05,0.0004473031344760775,0.00018491465148202048,6.417144723466683e-05,0.00018022138041757021,0.0012009102766988953,0.0007747356441191446,0.010675200714398493,0.00020346498089740422,0.00021808882822890228,0.004118229257893375,7.96634113064342e-05,0.0003348242175993467,0.0003196820083823185,4.0757698762858756e-05,8.153549078880932e-05,0.002934611232226744,0.00011089580896136282,0.0010455816858858794,5.420085664044488e-05,7.03656590960867e-05,1.8338673316006424e-05,0.0077171409137857805,3.3332473173145257e-05,0.0006277204478743801,5.0245020497593055e-05,9.286599948565388e-05,4.113488484600092e-05,0.0026581766811331863,0.0007536058223240808,3.7796590041670805e-05,0.0031660755168752127,2.9911363270617006e-05,0.00012821721798964312,0.00019206421628672815,0.00023471386265547662,0.00037336888172732983,0.0002835075920991518,4.420011070123302e-05,0.0029843545932669606,8.342512441164974e-06,7.26865555453097e-05,9.06815039350391e-06,1.2623632122806706e-05,6.277307509930406e-05,6.838024378729339e-05,9.607143563157599e-05,0.00017894788989253967,0.0003299496155162155,0.00017962005384003518,0.00011730705123798611
AG,1.2707825733923688e-05,5.784418470523353e-06,0.0,0.023969016736356923,7.94587352350107e-06,4.345697280047667e-06,7.29347100633463e-05,0.00042236655408854705,1.1507395289024264e-05,1.1108669803520156e-05,0.0036427580364692454,6.8446773701133395e-06,5.971440709461788e-06,0.026097472050412403,4.779161165197116e-06,2.2700907824481597e-05,2.0921909346755073e-05,1.342415211737299e-05,6.401411579570426e-06,4.2552095808469396e-05,0.050824096300099604,1.227730234521132e-05,0.00035435474970491596,0.0058020809385107815,0.00021334595501123541,0.0009610726934684481,2.959269659839993e-06,5.7451735480711126e-05,4.224744298646692e-05,0.00011593728993284225,2.089476837845652e-05,2.0491420733034445e-05,2.582252611329859e-05,5.937194054440695e-05,0.0018398885716122706,5.931926085348933e-05,1.3747716384275542e-05,0.0005979049097926782,8.059181272561057e-05,0.0014025957959767138,1.844649493763933e-05,0.010411915603790954,4.903402746549924e-06,2.8060966509753726e-05,1.7429326341497207e-05,1.7729157970773844e-05,0.14467628128774684,0.00539805520240166,0.0001243217906160951,0.0007685327253222765,2.8536083455612598e-05,5.501061912129552e-06,3.4590857645478843e-06,3.136385420903896e-05,2.9114478555834157e-05,2.4376659016586173e-05,2.18241260018259e-06,5.403167122540457e-06,0.00032090101550619486,2.2467149326802626e-05,1.8370523198878734e-05,0.04125890297625587,9.723498530954692e-06,0.0009488534538481555,1.1532209977833168e-05,0.00011835600789901655,4.720052901685581e-06,1.9707808092129266e-05,2.1902157426913124e-05,0.005289507236775143,3.001447742037201e-05,1.0763541278613683e-05,4.952782602371038e-05,1.282224312500611e-05,0.01632817891996252,9.82085326989991e-06,0.00022135406933716196,1.892389408346987e-05,0.00803079974692357,3.049874906509682e-05,7.099809550831979e-06,5.855927905001512e-05,4.7069989602488516e-05,8.390466974272367e-06,7.56955209150115e-06,1.2022417089412417e-05,4.8603417829776124e-05,2.6864441748956143e-05,0.0020031608919961518,6.533720175620672e-06,1.3376370952146972e-05,5.425496449891351e-06,2.3119782496035413e-06,3.1442725191743305e-06,0.0001514894873378259,0.20382359968253033,4.899404755432001e-07,6.906340217331121e-06,7.084465453812168e-06,0.0019475605038349142,2.2636632485868202e-05,1.2216620981719969e-05,1.2114530114666917e-05,0.0677079153356237,1.9351018223133338e-05,1.2448636640254197e-05,1.6574878855415696e-05,1.637619030099613e-05,1.0677554110162766e-05,0.0001329539513258478,2.7722983855770416e-05,7.886960424058276e-06,1.3022527838295438e-05,0.004922637131241654,7.130768285142712e-06,2.371911739190095e-05,5.180184772667584e-06,8.876809989549862e-06,1.3109959250635717e-05,1.1938393592425507e-05,0.005602218274459739,3.744231890524581e-05,5.600782776934058e-05,0.0001115030208083232,5.980076757463227e-06,4.810460048367207e-06,0.0003239659017084477,7.065914544383883e-06,9.127574691506977e-06,1.039944741082459e-05,4.7127292101262355e-06,1.8181192002337356e-05,1.4162402296480699e-05,0.001122899582902384,8.633923619182989e-05,1.1005657839593192e-05,5.228020211118258e-06,1.9988088286542603e-05,8.258808902635722e-06,0.0002482393831876999,0.00013727977294143725,0.00023389638491182194,6.4875893260161e-06,1.5403115211555897e-05,8.878720641679111e-06,1.5658525387808022e-05,0.004980965572580567,5.616927778743123e-05,0.00014662392070280365,1.0090227046264929e-05,0.0004714791013008111,1.0298772826655842e-05,1.280429239730583e-05,6.351592181028831e-06,8.292004184462423e-06,7.693184976803842e-06,1.9529260774208784e-06,8.74935884276662e-06,2.878447396988163e-06,1.7325928953335815e-05,2.309707563158139e-05,5.089262359842731e-05,1.4488058361365097e-06,4.298892896908169e-05,2.9434182887328177e-06,0.004557214021345484,6.478281225806075e-06,1.0369610462098932e-05,0.00013886753952801388,0.02092872913814833,4.07979708211001e-06,0.0017663031488533568,5.8808068984643623e-05,0.00013216048564665257,1.15732592939987e-05,1.4719722790950117e-06,7.045950525840147e-06,2.78139751575471e-05,2.441082269355768e-06,2.6088630175219446e-05,0.01834133004974874,7.505464442204719e-06,7.158801365861855e-06,6.112285701797557e-06,5.483311979079776e-06,0.0020290207525405454,0.0001027844232428468,2.1445627209205866e-05,0.0337048553952609,0.001612363506878248,0.03158026795714838,0.013600704391739382,9.110460515359356e-06,4.994048597998177e-07,3.565521796091072e-06,0.00025730730686642015,1.4756451323932832e-05,9.06500574440597e-06,5.647588588633464e-06
AI,2.1215098779905636e-06,1.0196797597581893e-06,0.00702638672320331,0.0,1.1860085939254795e-06,1.816346198395267e-06,1.3896580525991321e-05,1.962415819757328e-05,2.8505889614763175e-06,2.3272396205220934e-06,0.0008642897829347738,2.500387312256913e-06,9.007832517365776e-07,0.0020720288703994323,1.1083554706347543e-06,3.5582982419714665e-06,6.2571598541550784e-06,2.477901448571799e-06,7.520817483577459e-07,8.913071219659008e-06,0.016200545296062355,1.6733308831624273e-06,1.4863162175359747e-05,0.00140865207596716,3.25510865870835e-05,0.00018554164557027522,7.410605244094477e-07,6.189313579047324e-06,3.2413135110851173e-05,1.652856414734653e-05,2.4087807966545895e-06,2.0080514023245906e-06,8.652000066796464e-06,1.0060865898765932e-05,7.114792248036702e-05,7.199960206689988e-06,3.4608603988516445e-06,0.00014032843409664267,4.271655152960487e-05,0.0002622874487097454,1.0821732681761548e-05,0.0021734462846035134,1.1196810502940154e-06,5.590715327522954e-06,3.556055908001483e-06,4.991734538126815e-06,0.012419553636743956,0.002292517597103871,1.6837973551952242e-05,0.0001226089875508074,5.5243862973597744e-06,1.746609197094243e-06,3.726423321215261e-07,4.580947441043716e-06,4.212399041747736e-06,5.314374272712444e-06,3.1618283636290426e-07,2.2171851975407244e-06,3.5391663348695134e-05,3.4698456863279133e-06,7.588046767716656e-06,0.0005786428602529751,1.23109131528049e-06,0.00010008427488885187,2.658666700749878e-06,1.5832445796442022e-06,1.3884513650153605e-06,3.0240424133423425e-06,3.2398356946204008e-06,0.0018166453498490358,5.0208822136112345e-06,2.3541062005423303e-06,3.311780249084136e-05,4.696076935319128e-06,0.00034661008444258456,1.6946286522021838e-06,4.28504882117353e-05,3.6572887211860264e-06,0.0023329240042213417,3.951696931000126e-06,2.084868949906049e-06,1.1205012714165951e-05,1.1500106664198065e-05,2.521894415705535e-06,1.7885725951815303e-06,2.2073756523732065e-06,1.0850451573461671e-05,4.908611818329901e-06,0.00024810110171894764,2.777861893054302e-06,3.8035415866054794e-06,1.2563869231920497e-06,3.5627233233330486e-07,9.215421887586924e-07,1.4505314927712839e-05,0.005735006955900396,2.617730370925036e-07,2.0362677504074483e-06,2.2930327676122573e-06,0.0001194710758956713,3.7253508473581844e-06,5.0543890088376616e-06,2.3817624076863947e-06,0.0010262945833958111,3.2505264115044677e-06,2.812051993998515e-06,2.173683272527797e-06,3.465306637080413e-06,1.3837558074231754e-06,1.6508447144202966e-05,2.8097100265507795e-06,1.005487184060474e-06,4.3304048756840995e-06,0.0019506520462510264,1.0889712780853685e-06,3.037651018197124e-06,1.5971660062721365e-06,3.506534476370828e-06,5.0325523270964485e-06,4.55431032636359e-06,0.000651626966227054,4.825076671463256e-06,7.185625724134643e-06,4.753702709530769e-06,2.014229984270311e-06,6.219872637273739e-07,3.909326227192027e-05,1.7394925981435645e-06,2.5034274679454847e-06,2.81011739999187e-06,1.3180512137055821e-06,3.5163505038468576e-06,2.7528539654677262e-06,0.00015497600286526898,1.6110856744348307e-05,2.303521206291961e-06,1.7189932002869003e-06,2.2108085759017788e-06,1.8587659481015847e-06,8.046931293512102e-05,3.023224757639974e-05,1.7963649432810955e-05,1.1162854849299188e-06,4.003753531019507e-06,1.5893533868459086e-06,3.301523027381435e-06,0.005984462254021134,1.0945566173092214e-05,4.385117722969597e-06,3.199159503307313e-06,0.00010617597227681767,2.271912135747406e-06,3.567235059913924e-06,2.476982485359326e-06,1.9475661360166795e-06,2.8156171988994665e-06,1.510916712345817e-07,2.6204901595384933e-06,9.900588999640642e-07,3.023433874317149e-06,3.5307179686081767e-06,8.298641471126746e-06,2.521645127986798e-07,8.137422584906214e-06,6.624416794438807e-07,0.00011135097541575051,7.177184639002385e-07,2.0083801586615466e-06,7.58206999254979e-05,0.032697523293916515,1.273332000788215e-06,0.0005684772286476413,7.955085891186944e-06,3.6859402495642895e-05,3.4689588052937588e-06,4.850508367165173e-07,8.504076900194216e-07,2.5779591335102467e-06,2.514419395647179e-07,3.497246132993636e-06,0.000283405648069803,1.9239237337517328e-06,1.5809918814362832e-06,1.1392761750446892e-06,1.4092679738965104e-06,0.0008031284184135649,2.8290241055606465e-06,2.625686523365935e-06,0.0004974716152846516,0.0006240655067911484,0.011157563948273897,0.014037826436689943,2.966782969789173e-06,1.104975624526254e-07,3.4363740093142127e-07,2.1713346893244978e-05,3.1307092045997377e-06,8.181366612055759e-07,6.478877070786274e-07
AL,0.000515342567753376,0.00030193438224594834,2.8625374918335948e-05,1.457523417133852e-05,0.0,0.0019208957300018631,0.0010050857831067036,0.00028935856883954646,0.003301469150572105,0.00010304128433417252,0.0003899930770209218,0.0005480504145137034,0.007005289782758257,3.2275310494326646e-05,9.944447190882874e-05,0.0012915618972923891,0.00019395536956421844,0.008576753766905037,0.0003224782659256408,0.0002779474794990159,8.107374962053069e-05,8.068287128444502e-05,0.000101728599138864,0.0003291474800891052,0.0010036242071623446,1.8527410466998367e-05,5.576025279269963e-05,0.003449639024506113,1.5458727782588846e-05,0.000775068807233672,0.0005212539497731988,0.00037372877692597026,0.0021262505215775556,0.0006678761988542075,8.528047651070947e-05,0.0003200016620371403,0.00013856313472197313,0.00014871227227948846,0.0001110570193612437,0.0002975077360634026,0.0011039348451076382,0.0005558661452058706,0.0037455656987154156,0.0029476981424620095,0.0030620645158043287,0.0011430936330918452,3.774494030101856e-05,0.00017684532257049114,0.0006181043739630162,0.00018952186687748416,0.0018791402343213985,0.0011555705057057924,0.00013381257278165628,0.0026458848856972077,0.0009553294770747929,0.000859383007920155,4.520635031577987e-06,0.0003598809703114596,0.0014381352294542443,0.0002736498902790526,0.0020952926965346363,3.225879564953241e-05,0.006479129733302229,0.0004286113432098645,0.0004727611214490278,0.00011398723300505446,0.0002954312232282999,0.0027358696798449626,0.0002905605704276675,0.0002747378632536034,0.0003598653087326329,0.005086943942171742,9.460466166702995e-05,6.999805155011585e-05,0.00010746686839800232,0.0002268789465906798,4.236184513493188e-05,0.003148417918015651,0.00013435348126037186,0.005917886410763669,0.00015139858530861556,0.0010502713736765875,0.003847275281152106,0.0001943551050429505,0.000602452447760901,0.0009570246815692426,0.002595768978219828,0.010949016533500286,7.516682259856135e-05,0.0003537702565347297,0.00016200332148392035,0.00020958440707139766,0.0002808737677828635,2.239475073341904e-05,0.00030223372901893447,1.3236949158346714e-05,5.39585629584518e-06,8.445534281744386e-05,0.00034192673318582216,5.7757237286034256e-05,0.0012426640729203114,0.0001379616336504174,0.000758289093504743,2.1339466880930777e-05,0.00025744384894520205,0.002924203901591235,0.004269504355309796,0.005535752955537618,0.0009709312021024019,0.002520629930142861,0.0003667338629536314,0.01504767033053626,0.007027384920596034,0.00012175750780474103,0.006440820940332936,0.0008698999517232003,8.486605992301335e-05,0.0006525942800460942,0.00010884282966393098,6.939687765888166e-05,0.00028892403906665494,0.0015017446420955815,0.002727081328791577,0.0011938172995268326,0.00013909159684977345,0.00011943313046658439,0.00015273442226694937,0.00011907431158336067,0.0002434323229514933,0.00028430222949088886,2.3782392990447083e-05,0.0005458258181684724,0.0006549185536711649,0.00012255384787947194,0.0018738340207874776,0.0012639191482950532,0.00018541582132773946,3.606066972995905e-05,0.0002476670703628149,0.00017441925213113272,0.00020113805884891398,3.277918321440991e-05,8.571312641078386e-05,0.00010429301985895483,0.00021466628228522088,0.005370582459817641,5.453721465883612e-05,0.002790353941538547,0.0001761382967192638,0.0004056273667541383,0.0008754281348693248,0.01145625083474791,0.0068987300549988575,0.0008790343882100861,0.0004051321580072904,0.00023118371274457228,1.9874561289842844e-05,0.0003599812257532055,0.00024922353501290537,0.0017419675987326226,0.00030231018729292186,0.003136900631643523,0.00460942510702507,0.0009611276674634774,0.00014882223825479112,0.0006920204828392504,0.00019851606819262704,0.0007763261241499523,9.103646591944837e-05,8.535301538916757e-05,0.0002324578643783067,3.3199692874095004e-05,0.0006178534426738428,0.0006636884695767318,0.00022176957508193587,3.650260939982322e-05,0.0005745214011322891,0.001781020935819753,4.685004243818839e-06,0.004676775871023161,0.00011043581714865637,8.104638061445502e-05,0.00023901454786830957,0.006176233098362493,0.00011449588320557831,0.0003859981470944825,0.00016125572541147195,0.0030248483522830414,2.254474669545664e-05,0.00013839402517471067,1.5954397830119084e-05,2.1400022523417544e-05,0.0001203051161816635,7.186938398165943e-06,8.748554313425066e-06,0.0004613031571762304,0.0002106430441012636,0.00024350226765403982,0.0001424813465162154
AM,0.001083870866097385,0.0018422203925248298,1.093169434340582e-05,1.5586363792822513e-05,0.0013412886990094987,0.0,0.0003599930478755359,5.985550013557148e-05,0.0007376770688264367,0.0005572859075219465,0.0002214186084567033,0.009331577916447618,0.0006680270260021547,1.1746469428452592e-05,0.0012092696651113946,0.00041429366904518794,7.15899695481219e-05,0.0013926316968376588,0.0008559701819159344,9.316734864283235e-05,2.7003918348612832e-05,0.0002737902736043526,6.050319239184023e-05,0.00018831498258912497,0.0003568540991628735,1.503957199557373e-05,0.00047431044124635947,0.0006670522715766595,5.7338217662990505e-06,0.0003025107113435152,0.00018518479686682884,9.011375346627498e-05,0.0004802936182488524,0.0001644138523107438,4.340562335162844e-05,0.00013231183459048993,0.00035405801421867434,5.375873329235506e-05,4.3631218396072e-05,0.00011306356818038162,0.0002304385052327688,0.0003167554409331859,0.0010311538227984602,0.002211017760183726,0.0009475585073379501,0.0006545096998949491,1.552993409910106e-05,0.00016469252449903307,0.0009361976853179556,0.00012133027726716235,0.0014977186446897607,0.0019136186307200601,0.001279982709907062,0.0007640326491884071,0.0006156338270306511,0.0005027939393860453,1.9947868660783475e-05,0.00023226452201095902,0.0009273827602835027,8.94659074117804e-05,0.0007772108663533577,2.0407851539307484e-05,0.015231181221155571,0.00012333440002419694,0.00018271498212934278,0.00022060963826257327,0.0001940081736575845,0.00029849657110808415,9.383494387878116e-05,7.908672500618263e-05,0.00012569269376654934,0.0015296841633098055,3.41480328217326e-05,7.048200413171943e-05,9.376601586027614e-05,0.0006264674370939149,1.723868296882898e-05,0.0003511884995350378,0.00010888009814752972,0.0019752974731572772,0.0008483653611061114,0.00041744002257317135,0.0008741855080685666,0.0024000603745046195,0.003588316710247771,0.0019718691915513145,0.0003720165968421575,0.0012066610547300685,9.70588982497618e-05,0.0023662483040742337,7.343853674257069e-05,0.0018242728053577163,0.0035937369598921915,4.051495933381717e-05,0.00013806679729418388,8.846844503071014e-06,0.00011169887053150909,9.450872915325916e-05,0.0032591688080798567,5.6237613875736855e-05,0.002918641378458763,6.233830987371947e-05,0.0027063268253067277,8.407623383371144e-06,0.0003424794330442893,0.0005209192731958447,0.0002870840859946485,0.0014562854091440178,0.000772354722320976,0.0008726949021843447,0.0001907814023888902,0.001122291013975455,0.0011932323001706048,3.739065956742922e-05,0.00039749672409401343,0.00016454893858099234,0.00013509503043170079,0.00016342775533711583,5.141377306240248e-05,6.792042150745104e-05,8.960822433002148e-05,0.00033299213822743736,0.0012174356476221623,0.00039330760056529245,0.0010283038009739893,0.0003554249875190938,6.136489660877227e-05,0.001040806395421145,0.0009082467635569636,0.0012572971914577623,0.00015681629905116398,0.00044236335708102987,0.0011974740489503212,5.326707268412696e-05,0.0006608821800596565,0.0003698131506204927,0.0015714664523428933,9.176215054308304e-05,0.001931573129915736,5.0020812680669707e-05,0.00014354656449652375,5.0062426256438854e-05,0.00015208805725551756,0.0004184293287994566,0.002082951419869483,0.0008969960424839535,8.003303644831181e-05,0.0006141164741797571,5.087708428415353e-05,0.0008279346154993771,0.00031430036102803727,0.0012316500193898937,0.0010572107354640484,0.027680207913408535,0.0016577628322831473,0.0014028496464494826,3.4503002940345204e-05,0.001995883724889538,0.0009548279753338555,0.000996990864423763,0.0004592808765852259,0.00035698396093315657,0.0019110911750033453,0.000246341948431285,0.00121540222899166,0.00039184127416631224,0.0006204245670909436,0.0002928550912926017,5.6296353733015784e-05,6.205858632730501e-05,0.0043806308015362444,4.15125534151743e-05,0.0002692194290438172,0.0002514122197664105,0.0006359378415346831,0.0004094529964848724,0.000651244052660749,0.0006270039445628586,2.1558634005715196e-05,0.0014608677489582249,9.148194638533013e-05,9.608347739826191e-05,0.0009903588830851933,0.0027898001410195904,0.00044536397909490736,0.0003218435840208306,8.673944025714804e-05,0.0020062674063927905,1.742389873969334e-05,4.5516044712889345e-05,1.782519381352147e-05,1.5680304125569504e-05,0.00019944564025504606,1.5261949720746136e-05,6.206631495173576e-05,0.00019022678490306585,0.0016707970021487676,0.00021532398001201862,0.0003519270350941346
