,source_iso2,outflux
0,AE,5991896.5
1,AF,93018.5
2,AG,69616.5
3,AL,120812.0
4,AM,146970.5
5,AO,93418.5
6,AR,718026.5
7,AT,1710164.5
8,AU,2074159.0
9,AW,131610.5
10,AZ,181843.0
11,BA,73746.0
12,BB,147937.5
13,BD,440160.0
14,BE,1509816.0
15,BF,47941.0
16,BG,374678.5
17,BH,521862.5
18,BI,18711.0
19,BJ,43798.0
20,BL,21759.5
21,BM,33777.0
22,BN,113043.0
23,BO,94085.5
24,BQ,27043.5
25,BR,1243126.0
26,BS,209990.5
27,BT,19498.0
28,BW,30141.0
29,BY,217099.5
30,BZ,50632.5
31,CA,3356791.0
32,CD,72509.0
33,CF,11189.0
34,CG,33491.0
35,CH,2700476.5
36,CI,114526.0
37,CK,13481.0
38,CL,589677.0
39,CM,79790.5
40,CN,3735832.5
41,CO,772932.5
42,CR,397120.0
43,CU,497007.5
44,CV,106245.5
45,CW,79415.0
46,CY,488518.0
47,CZ,661692.5
48,DE,8225089.0
49,DJ,28901.0
50,DK,1485467.5
51,DM,11826.0
52,DO,704436.0
53,DZ,399947.0
54,EC,237406.5
55,EE,128757.0
56,EG,1383088.0
57,ER,24680.5
58,ES,6298184.0
59,ET,665313.5
60,FI,899390.0
61,FJ,89166.5
62,FO,20931.0
63,FR,5592173.5
64,GA,48645.5
65,GB,10044162.0
66,GD,29837.0
67,GE,190431.5
68,GF,26580.0
69,GH,162556.0
70,GI,16536.0
71,GL,5126.0
72,GM,44940.5
73,GN,39745.5
74,GP,144722.5
75,GQ,35383.5
76,GR,752139.5
77,GT,162211.5
78,GU,195134.0
79,GW,10834.5
80,GY,43054.0
81,HK,2150194.0
82,HN,102515.5
83,HR,138629.0
84,HT,62519.0
85,HU,731276.5
86,ID,1859045.5
87,IE,1487344.0
88,IL,947866.0
89,IN,3351985.0
90,IQ,428484.5
91,IR,422878.0
92,IS,240155.5
93,IT,4870723.5
94,JM,349149.0
95,JO,445878.5
96,JP,4538798.5
97,KE,409568.0
98,KG,98454.0
99,KH,511008.0
100,KM,12995.0
101,KN,26228.0
102,KR,3860037.5
103,KW,933103.0
104,KY,83071.0
105,KZ,232412.5
106,LA,136963.5
107,LB,344877.0
108,LC,71684.0
109,LK,538225.5
110,LR,19065.5
111,LT,270010.0
112,LU,231038.0
113,LV,322975.0
114,LY,63207.5
115,MA,1050489.0
116,MD,111886.5
117,ME,62647.0
118,MF,11490.0
119,MG,43234.5
120,MH,2656.0
121,MK,100580.0
122,ML,71505.0
123,MM,277886.0
124,MN,38486.5
125,MO,238520.5
126,MP,53579.5
127,MQ,120488.0
128,MR,25795.0
129,MT,276399.0
130,MU,182711.5
131,MV,263176.0
132,MW,31770.0
133,MX,2554553.0
134,MY,2593397.0
135,MZ,44437.5
136,NA,59540.0
137,NC,29143.0
138,NE,45445.0
139,NG,242328.5
140,NI,60112.0
141,NL,3291171.5
142,NO,1111378.0
143,NP,226332.5
144,NZ,737789.0
145,OM,842124.5
146,PA,775044.0
147,PE,580638.0
148,PF,33044.0
149,PG,33401.5
150,PH,1445531.5
151,PK,787570.5
152,PL,1791982.0
153,PR,528611.0
154,PT,1870636.0
155,PW,11937.5
156,PY,75195.5
157,QA,2195051.5
158,RE,98779.5
159,RO,819322.0
160,RS,356976.5
161,RU,2784587.5
162,RW,102486.0
163,SA,2650955.5
164,SB,8633.0
165,SC,65951.5
166,SD,144531.5
167,SE,1337343.5
168,SG,3084232.5
169,SI,52551.0
170,SK,84700.5
171,SL,24808.0
172,SN,145680.0
173,SO,31376.5
174,SR,37140.0
175,SS,22903.0
176,ST,8479.0
177,SV,257291.0
178,SX,101170.0
179,SY,35207.5
180,TC,73399.5
181,TD,18883.0
182,TG,63699.0
183,TH,4099771.5
184,TJ,113955.0
185,TL,15063.0
186,TM,48522.0
187,TN,357053.0
188,TO,11337.5
189,TR,3598232.5
190,TT,137118.0
191,TW,2423413.5
192,TZ,186732.0
193,UA,796921.0
194,UG,124055.5
195,US,11089794.5
196,UY,118717.5
197,UZ,220983.0
198,VC,15970.0
199,VE,105728.0
200,VG,21650.5
201,VI,97072.0
202,VN,1918852.0
203,VU,16489.0
204,WS,18499.0
205,YT,16227.0
206,ZA,712834.0
207,ZM,86161.0
208,ZW,94812.0
