,AE,AF,AG,AL,AM,AO,AR,AT,AU,AW,AZ,BA,BB,BD,BE,BF,BG,BH,BI,BJ,BL,BM,BN,BO,BQ,BR,BS,BT,BW,BY,BZ,CA,CD,CF,CG,CH,CI,CL,CM,CN,CO,CR,CU,CV,CW,CY,CZ,DE,DJ,DK,DM,DO,DZ,EC,EE,EG,ES,ET,FI,FJ,FO,FR,GA,GB,GD,GE,GF,GH,GL,GM,GN,GP,GQ,GR,GT,GU,GW,GY,HK,HN,HR,HT,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JM,JO,JP,KE,KG,KH,KM,KN,KR,KW,KY,KZ,LA,LB,LC,LK,LR,LT,LU,LV,LY,MA,MC,MD,ME,MF,MG,MK,ML,MM,MO,MP,MQ,MR,MT,MU,MV,MW,MX,MY,MZ,NA,NC,NE,NF,NG,NI,NL,NO,NP,NZ,OM,PA,PE,PF,PG,PH,PK,PL,PR,PT,PY,QA,RE,RO,RS,RU,RW,SA,SC,SD,SE,SG,SI,SL,SN,SO,SR,SS,SV,SX,SY,TC,TD,TG,TH,TJ,TL,TM,TN,TR,TT,TW,TZ,UA,UG,US,UY,UZ,VC,VE,VG,VI,VN,WS,YT,ZA,ZM,ZW
AE,0.0,0.17130411694736136,0.006174976968733156,0.02107126863966566,0.05385551440507097,0.09723570918758015,0.005041490397173402,0.03433657772374994,0.05119216463985445,0.0053806626060019175,0.06763426229972501,0.07363125001786036,0.013574118258315507,0.13405993671655486,0.03241059541790926,0.017069657269522653,0.023272957862874956,0.21268344500954176,0.028006095457663895,0.013345580113095081,0.0033442935263604755,0.006131004087501173,0.01832648574711359,0.00280506886498867,0.006874959639754993,0.019161385248392126,0.0012855531953613773,0.028783092080359084,0.009434792085018157,0.018703018882559905,0.0011226139990936957,0.036457822548342005,0.021193236575145526,0.031112433505712248,0.014128704367298649,0.04111784564818909,0.020730667129439908,0.0031939829545192255,0.024463291820313312,0.020319841459676632,0.003250743916493906,0.003678067508748666,0.010207673767092968,0.014810024452517065,0.010467653795872816,0.037280398921219884,0.04230591327301515,0.036384750013562756,0.058519914065351876,0.021239665340869976,0.004931405235204575,0.007726647163194593,0.03302584546818886,0.0037790497592153447,0.01497220513086882,0.049529053202592384,0.02367841080699944,0.06674547902557998,0.022686821759475378,0.003388339350744764,0.014706315482729635,0.02206728230429985,0.014241266979745934,0.048334189983046255,0.0032716578893277884,0.05167709567870373,0.002729020175957644,0.03873672406003848,0.015544135686493371,0.017513274541103824,0.03496384374944663,0.005278831548978447,0.02083259580757898,0.039756798903105815,0.0016621233674898957,0.01509648778212903,0.00889272781918435,0.00971777524171451,0.027672984515095703,0.0012261008189875982,0.022423151665804886,0.0032552730946198466,0.04462196133821966,0.05039588251486439,0.036955180859890024,0.03048481311424859,0.21556607341893638,0.11089953606654926,0.06921906161047243,0.023251659663082822,0.036241107770494246,0.004242347702407233,0.1212614653531071,0.019007062703183045,0.05648574638105413,0.028990559823894296,0.01204676472436154,0.042530349090249164,0.0008217827441688904,0.010386850556474599,0.14603903818073075,0.005522570490462819,0.09799362603204137,0.007283947959642874,0.11321011518050962,0.003572960191844503,0.12077738673737522,0.013480032366250266,0.01922649212650891,0.01738660795086487,0.018038429712197747,0.017498762249948886,0.020447483794377858,0.004016616997491584,0.01495936639390068,0.013647398729140892,0.0012202379580868337,0.024527560552871478,0.008203103410358887,0.018895228109872028,0.022591816743195485,0.003053670115809294,0.007752908867039247,0.0035944899180417665,0.020096189926367126,0.022756101773510434,0.07408040990038714,0.144495360023366,0.01947234865216334,0.0032744543137157235,0.04322250118191872,0.021669154642734,0.014082809772396607,0.018661376191093235,0.01673653669200494,0.003748264795653697,0.05200952757017572,0.0021193499486705063,0.02575233921104974,0.028098589195339016,0.11396496837347007,0.012942515907906928,0.14747918083463094,0.004458785994524957,0.002418590676952016,0.007575293216572646,0.012602194482794447,0.06156659178508874,0.1588965449498373,0.018025435644375126,0.002487253735020243,0.020663637715216402,0.003193628775472011,0.09144967065830056,0.012921863447042558,0.030545395656610564,0.03092820445095891,0.04171541651353833,0.06409747616882384,0.1410254668065628,0.20978815408429036,0.11666114658241523,0.025365919731765326,0.03345618595839227,0.021846667088419425,0.014193334003125948,0.02953817273276667,0.03730913616747628,0.0233098234513074,0.09955839380128903,0.004525309336678742,0.006467416137714685,0.09939932425268098,0.0027943060433960514,0.03373243768392606,0.014410043216494037,0.04222603503613535,0.06664403105139888,0.0036789425029561144,0.011224281659781196,0.03613573628627658,0.03329361929537832,0.006774982888612909,0.016895585006258835,0.06963282345629955,0.04173286358936092,0.06709829420940508,0.0165633853155754,0.0041689730469352945,0.067497782307206,0.005150815753460215,0.005505836397373796,0.00193596273740881,0.0019513401608718213,0.02305237206981139,0.0020090741914691205,0.026768522579624577,0.0449797220216984,0.051611880178108104,0.025712376303102275
AF,0.007667473812525078,0.0,9.04402607863682e-05,0.000596201375588624,0.0012007196746179778,0.0020961277615417565,5.500685331915795e-05,0.0008408965858410162,0.0006074216231026876,7.471603789141914e-05,0.004899477424061198,0.002733402643097031,0.0001821359498426541,0.0025316164120037735,0.0007846516685386904,0.0009452566699205804,0.0009590754512809499,0.002936781211974683,0.000775817011435555,0.0005154654270891961,5.1072706499278203e-05,7.697107795045987e-05,0.000179796172504281,5.019337517963798e-05,0.000127356482931795,0.00045776167720516206,1.9805958562520853e-05,0.0021107282337413163,0.0002397020960912648,0.0015148471655009493,1.2892512310566031e-05,0.0009180256575190027,0.0006321925820942009,0.0006925711610971143,0.0002795886176283264,0.0009046795115002943,0.0004108800298331165,4.2250644247916534e-05,0.0006300116101161161,0.00026210240902726725,8.122310209535854e-05,3.6827716827389146e-05,0.00022908575516392325,0.00033306365211424767,0.0001638544552973023,0.0011680443853401311,0.0015993746660053012,0.0008279784050245851,0.002419317086856397,0.0005881498471064581,5.5054238232049896e-05,0.00011107442307746588,0.0004929179762687402,5.73516366430379e-05,0.0001786974056737477,0.0017136810339161332,0.00035821450442262014,0.0016537757108761983,0.00032314814147476337,4.7541852291781303e-05,0.0003851367801298457,0.0004158555972108585,0.0005998178361925749,0.0010907412759756838,5.4575903120964825e-05,0.0022078426660451568,5.466645696764431e-05,0.0011921817328287164,0.0005586729730639953,0.0005397616552897535,0.0008415560151286175,7.441289879721297e-05,0.00040298053117413386,0.0007033284124416003,2.9910359959821112e-05,0.00019927352243565507,0.00028711234255283545,0.00017311364484069608,0.00020514974177530916,2.0715139542848658e-05,0.0004916896008863034,5.589862247639975e-05,0.0016032718238417612,0.0009076926096052753,0.0008168172969443862,0.001170764074632858,0.012775721442594727,0.0027649994415553576,0.0023718374867270644,0.0003093000768177368,0.0006530900493965215,6.605548497293928e-05,0.00323068182101717,0.00027258398456755955,0.0011838366012650874,0.0013736615782936803,7.661649869821578e-05,0.0010683660929988164,7.959135329642711e-06,0.00030894906146749547,0.0047057455613477,5.275726969013752e-05,0.004423813694668774,0.00010207187229036123,0.0027460223088056394,5.2628888441583064e-05,0.0015112072921928037,0.0003658341639782072,0.0005591124161773734,0.0004311693470778746,0.0002072674241110715,0.0027640338255801927,0.0004880561294994887,6.417849091617899e-05,0.0012578589600609202,0.0022562333697253955,2.114099824991086e-05,0.00045996866223577804,0.0007873658855035067,0.0004424441828053507,0.0003692842235824281,4.786972343310135e-05,9.859254789791815e-05,5.4387228152509695e-05,0.0009485548777017197,0.0006945848030259791,0.0015727623141883465,0.003208709186957596,0.0004585311217590938,5.639902876211984e-05,0.0007185590573879613,0.00023784794563229067,0.00013797271060309022,0.00020266760336387605,0.0006986191360485053,5.539995459154041e-05,0.001210341787301717,3.066107051244799e-05,0.0005564628654943864,0.000729309459845365,0.0023540492513871728,0.00013293978213091187,0.0015043784518100575,0.00011625622803310477,3.829210633457108e-05,0.0001509441617512586,0.00013723954930380052,0.0010924865520629192,0.00947006976147191,0.0006201608869857169,3.99100381907354e-05,0.000491393845176832,5.994209211132234e-05,0.0011578383703422547,0.00019416350160993042,0.0008454410566283275,0.0012773573896510458,0.0022673307129120433,0.0015903096621422252,0.007200153524263716,0.004142505076101425,0.003193592888011425,0.0007577305150137328,0.0005747188499731299,0.001673867859551123,0.0003374862700908968,0.0007899369116029577,0.0010231756392367424,0.00035364798014607824,0.002216643930292089,7.101422465181281e-05,9.580457209524083e-05,0.0007807112447416479,4.536638029392444e-05,0.0007818156498551351,0.00035428212063691174,0.000457571723866789,0.010486934710033948,5.7312238585668165e-05,0.0014709841368650406,0.0015638023203774015,0.004787112104448827,0.00010623348379154254,0.00030586618889728964,0.0014311935932553022,0.001763512211212831,0.0020086637543277617,0.0002964518762557518,6.292902241485953e-05,0.009313513849830212,6.736066663926844e-05,0.0007730007292061866,1.9279311347494898e-05,2.9989506805271995e-05,0.00038309737960773446,2.9542366889462858e-05,0.00046881698787473605,0.000766928646636783,0.001728697076411925,0.0007629641346903774
AG,8.911309327958763e-05,2.9159728904013146e-05,0.0,6.884687751111305e-05,8.688191505485595e-05,4.259717689136651e-05,0.0005582921191491936,4.187723125592944e-05,4.705019802256651e-05,0.0013731124660194068,5.901335390076328e-05,2.932782047272155e-05,0.026859312692296456,3.6369329321084193e-05,6.173656172271356e-05,9.99436796545194e-05,0.00025807319618286053,4.5795117812573856e-05,6.3737348403068875e-06,4.7743312075362195e-05,0.01534489688032354,0.005279425172779738,4.161945315968618e-05,0.0008139613703209042,0.000600830389953057,0.0005067801436004373,0.0013388894941766456,3.662972659665756e-06,3.1716967620908544e-06,0.00021741820003253384,0.0005605922893046152,8.375569191455922e-05,2.064039542145039e-05,5.9796642126906695e-05,5.12814659354075e-05,0.00028324111361529723,0.0001124505940776816,0.000622513265633929,5.392949539952489e-05,5.390940864452755e-05,0.001390938901172453,0.0007441584659059968,0.0011918716624275017,0.0005957624299275109,0.001290964845042015,4.8294482759559733e-05,0.00011719906775973498,8.795516536208365e-05,4.759721288213728e-05,4.8956349300704494e-05,0.13292298582626583,0.00255532440862061,0.00010034675246233154,0.001440975873512365,0.0007497006694591397,0.0001318380686566311,0.0005427469106925739,3.786952330848385e-05,0.00019322435741830546,3.878516490494895e-05,8.102782546357358e-06,0.00022407940853268505,4.4891941472303615e-05,0.0006255671287413816,0.009446018881293572,0.00012364251586646929,0.00020397125267160925,0.00035208940425223285,1.5326094169090256e-05,0.0003523481096196996,9.119737238596577e-05,0.0019325662807567808,5.1740468853188074e-05,7.063057693992454e-05,0.0006979093986950636,4.135963995491945e-05,9.974212947196991e-05,0.002988500772835426,5.869104149675751e-05,0.0015092976263543947,4.548515284631543e-05,0.0032326889874149615,9.614664240917135e-05,3.9175924807982314e-05,0.00041535226496497034,0.0004427534463572759,5.232095085283861e-05,3.2577160654856026e-05,5.991811471918746e-05,6.445211955793373e-05,0.00021151434269850414,0.001984959869553164,6.040865059686329e-05,0.0001188336750564626,6.738220922537856e-05,2.7565248547414246e-05,4.319069934741837e-05,2.8398392223531118e-05,0.03161800492548876,2.6699519252876773e-05,3.5258442913571555e-05,0.00404976654965822,4.442705630714258e-05,3.051846293600511e-05,4.614454638699293e-05,0.004305428625388864,4.8275403036997786e-05,8.598750114150151e-05,0.00030646254402812254,8.668506070463148e-05,0.0008801734919395596,3.267019158997864e-05,0.00034369252664572794,1.76628669410117e-05,7.020723787437229e-05,7.769362670722952e-05,0.0021184768630744103,5.5628165129729995e-05,3.881152059197281e-05,0.00011338728159911434,2.7403405201680882e-05,9.846819280990418e-06,3.241332447467815e-05,0.0004309355581334017,0.00012021195734391205,6.829757211130551e-05,7.811521452055698e-05,4.239332987953005e-05,5.94430621701613e-06,0.0004586943181006869,3.5233393046912725e-05,1.441993728175812e-05,2.9429214519626167e-06,3.0195576267562313e-05,7.031434796994702e-05,4.501319234988196e-06,6.706576678011944e-05,0.0015762505087315735,0.00024044638988060535,6.18583724354495e-05,3.376092621262266e-05,2.4932784457117213e-05,2.7016443760453605e-05,0.0011208169199497426,0.0007104969044041909,0.0002905874859978451,3.0026339696383642e-05,6.377242037329555e-05,5.367920559977217e-05,0.00016144686264350322,0.0024327947791732223,0.00015017028201738357,0.0006073797599971331,9.838647731681134e-05,8.783082632373691e-05,7.771134806090201e-05,0.0001877811935162589,9.497079640827309e-05,2.1100962972525747e-05,2.1573017497052962e-05,9.599352619337655e-05,2.8399504204600547e-05,7.039992205293342e-05,6.942176961525005e-05,3.2017031765916356e-05,0.0001359977984635766,0.000354000906784846,1.1363587358103582e-05,0.000505070362392006,3.049483360140479e-05,0.0011189278969084586,0.022998636008439037,2.03849006767147e-05,0.0023288205110462983,5.228213472156543e-05,0.00027029997761522157,6.605586490430928e-05,2.120625440381737e-05,2.1681500978413832e-06,4.046172155092353e-05,5.434980560325877e-05,8.313586467455947e-05,0.0022131241005922285,4.66693605292657e-05,3.65078557372635e-05,0.0001316386911812692,3.0143773436630804e-05,0.0023282407290202934,0.0007389283460154774,0.00011052257131129349,0.019081624735851545,0.00043988420237793866,0.0038492242233024564,0.0022056758466178408,4.421359919511502e-05,3.1512629817500855e-06,6.463624939889492e-05,4.201153400559163e-05,1.5819823430273052e-05,5.6664015916138355e-06
AL,0.0006949136994494201,0.0004392873146063231,0.0001573324336316069,0.0,0.00045746939950869653,0.0006479641967131621,0.00018593774786053766,0.004440099130443425,0.00013685848634034328,8.99970257597169e-05,0.001295593943676624,0.009521714004781903,0.0002165564009009494,0.00020526404692639322,0.0022065759006753847,0.0005074260066846122,0.011298336574916338,0.0003032388944680323,0.00018783247245610934,0.0003456567419211534,9.411026728900113e-05,0.00014490598435104647,0.00011398998584539429,0.00011277070003467863,0.00023039226457230804,0.00036769471938093243,2.231530610527998e-05,3.442533148835155e-05,8.858342474283037e-05,0.0018911976241504126,1.322520015554285e-05,0.00045716540527107233,0.0003671791036626955,0.00028597890653831527,0.00025563895685685865,0.0015831940504687845,0.0005331731420856197,9.536678581493102e-05,0.0005203792793866387,0.00023396356635652993,0.00010268708786453257,0.00010516096125229417,0.000609819635560932,0.004566353371917783,0.0003197138348408659,0.0030983952443397757,0.000749491163228857,0.0029641281607204377,0.0003625359760369508,0.0013965675156316414,6.539684438868438e-05,0.0002090372484118742,0.0004642279076618981,9.614311403850115e-05,0.0016717562962201115,0.001433520631087211,0.0025444255730601023,0.0006924490295719155,0.0009242364825963735,1.3072417932484518e-05,0.0006131971744399181,0.0011332429182619055,0.00033624582587861825,0.0021548830896476515,4.228451353445245e-05,0.0011283521787540528,0.00026611278385152046,0.0003364195251839424,0.0008545111590908631,0.0017818792074865036,0.0006085243528298781,0.00019346709702017307,0.0003071644553032662,0.009041903290342247,2.7381477039141734e-05,4.162637856939333e-05,0.0010753716087330955,0.00015715061142716096,0.0001265105822037832,2.779218090889565e-05,0.001614988884836448,6.544442745303776e-05,0.0026961467503923216,0.00019079569342031081,0.0017044652696354718,0.0018652243602005879,0.00026038926764338324,0.0008256490491873055,0.0015222372710907385,0.0010578927265917709,0.023063456616294064,6.757468433817723e-05,0.00044204273589035486,0.00017896484400302864,0.00026811995539693267,0.0005696695320081764,7.295054252713952e-05,0.00015511503539803685,1.1029591022125658e-05,0.00011994721832644981,0.000359168149221403,6.121886379774597e-05,0.0006080343405521266,3.435491043575315e-05,0.0007489901226005761,7.403776295096766e-05,0.0008380225893475386,0.0006728955225181273,0.002944503717358978,0.0038915075335284,0.002358969676508202,0.0013306771038627445,0.003686934027495313,0.0001236071312180919,0.01688781491861723,0.015001555626935417,5.7570181524196634e-05,0.0002539553030019679,0.024612053816556945,0.0008950935074777372,6.704685690518415e-05,3.651556267147453e-05,3.4342662252866665e-05,0.00018034345685206645,0.0014017769124593296,0.007633043652940035,0.00030774952378187563,0.0004902778747564747,0.00014139548037940707,7.550050746731697e-05,0.00012557755845868143,0.00013121040586179473,0.0010166599057726687,2.0710003134532645e-05,0.0003557126891316083,8.559799403532477e-06,0.0004893275268249539,9.273780080758233e-05,0.001186423100145322,0.0009938399082979525,0.0001807202239629538,6.270430263377069e-05,0.0002961535712305711,8.906909967996373e-05,7.095347690798539e-05,7.863507375855931e-05,8.866472347460166e-05,0.00015150238112918862,0.0003241615832098974,0.00392986074575798,4.3125907473815125e-05,0.00114731999606535,0.0001401094047356002,0.000871967257632492,0.00039754517419934225,0.009451854650052497,0.008124448218567514,0.0014028670352907808,0.00024236843738229468,0.0002484310312346237,0.0002946730297739326,0.00027430958184913195,0.0015689574352911431,0.00020751119344107038,0.003395176436471041,0.0006079216596837592,0.0018680672338284876,0.00024648665404577725,0.0007127235804761355,0.0002489513383245665,6.424069106216718e-05,0.0001458373475468923,0.00042256682747491105,4.509728219566707e-05,0.00038008976616978816,0.000416872134503382,0.00020609758846874284,0.00040325373446102836,1.6438970769219684e-05,0.0004626720664498051,0.0016239885149809603,0.004821935283949452,0.00010266062552930665,0.00010528899485333036,0.00019476532529775893,0.002007049058957616,0.0002940353138510821,0.00024868189487622586,0.00018598877387030542,0.0006535236307003774,7.8383415182949e-05,0.0003390286371090355,3.681386471231836e-05,2.9429748053001076e-05,8.60524525474954e-05,7.3169218085982176e-06,0.00022624128780814702,0.0003067223038176782,0.00014729937686070712,8.229461008794588e-05
AM,0.0018140330178272632,0.0009035914962738788,0.0002027861160137455,0.0004672366148294249,0.0,0.0007591455493112047,7.84707114639569e-05,0.00239498397117796,0.0004927811749458154,4.8781069596014626e-05,0.005577655456342964,0.0011096937132618239,0.00016728167281479736,0.0009217133455732049,0.0007063643898543146,0.0003536146598503292,0.0009911304283058246,0.000570676648374432,0.00019173513795126977,0.00034843841281871293,0.00014838663552029595,0.00016025330595441825,0.00010549298495576673,3.30634191036616e-05,0.0001279229729213559,0.00035152403782564586,1.6810479958619696e-05,0.00013076469092361924,0.00013528199781783043,0.027610258677625333,1.4693185288795722e-05,0.0003138399756192838,0.00022243750845832018,0.00045490682539155283,0.0004222465197397152,0.0006619813004902566,0.00030180857139076693,7.835555771613172e-05,0.0003532260584701183,0.0004339745570541732,5.074801404869878e-05,4.8924345914673e-05,0.0017531394786665176,0.0002408412729327562,0.00016696239960259715,0.0014968151907167667,0.0027457547634593318,0.0007636715162558898,0.0007657875746294018,0.0005398496379182268,5.53309537822821e-05,8.413304903602665e-05,0.0012582946235986882,4.262452672546416e-05,0.002603223188291938,0.001893161024349,0.00047087380366392275,0.0006056820075486992,0.0008757801298462572,3.053562724877769e-05,0.00015077187744057314,0.0008433238563605737,0.00034111614654451587,0.0006512222603040771,4.018241726988333e-05,0.005838947642819315,0.00011234336205832903,0.0003542625294380723,0.000255426474081616,0.00019507653943688763,0.00041978863963982,0.00020757925742381257,0.00044808805237864886,0.0007194409361845166,1.8083872312932695e-05,8.313835279078643e-05,0.0001826378104196356,0.00010587005284518518,0.0001818854046736437,1.7005223143157127e-05,0.0007462658114298426,4.5259250638151646e-05,0.0014222856996621957,0.000397033329087966,0.0003998880628048911,0.002026212123997185,0.0011643673319910348,0.0022855336797124436,0.0013813416799927556,0.0003491597219363242,0.0009132425884274798,5.01359956148105e-05,0.0014486901435640403,0.0001826301310143203,0.0006992633932678306,0.008278321079853745,0.0001217270033540064,0.0007230106427625905,1.4022339255767524e-05,0.00024127571848858983,0.0009231769453412691,6.638671247528122e-05,0.0037993673166518967,5.330789223446729e-05,0.000966964967418175,9.115228524330482e-05,0.0011009053223783585,0.00019635416018113204,0.004346780477771666,0.0002970090214956288,0.0014853053445791785,0.0005017269660840041,0.0004615679107455266,0.00023180020264598888,0.003278310138996035,0.0015762500792394522,7.16751100670176e-05,0.0005110775209583042,0.0006956943924798318,0.00037292673276883296,0.00012751065808461396,2.8655455563610574e-05,5.2407465348047254e-05,0.00014181995168742044,0.0004130422299343602,0.0002071139626286101,0.0008906968674373176,0.0020493648198328124,0.00017372154899213422,3.902281259100067e-05,0.0004926726845152607,0.0002274131474708132,9.980662752034324e-05,8.605945940242842e-05,0.00038633272301591306,3.436087696289305e-05,0.00040895265708552013,6.841226759855845e-05,0.0005886987646964603,0.0005849992020541089,0.0011637221916053961,8.92118922420544e-05,0.0006536289400024318,6.734701631165446e-05,4.455008687122982e-05,6.300627114489049e-05,7.573357913691489e-05,0.0005704624147470688,0.0013987027679602207,0.001966744887959629,2.5962870266976474e-05,0.0004598110501928322,4.027525060538307e-05,0.0006455045298140044,0.0005024844737752823,0.0005012436880676082,0.0018643024122175782,0.03141952372424416,0.00033411587627616194,0.0004947428077597146,0.0012457680998329095,0.0006843366217996317,0.0009890538907129072,0.0003796335361568468,0.0011066627961821322,0.0002472040845876289,0.0004889592516688082,0.0002685638738958087,0.00036270575714859486,0.0004717731559448612,4.0748447388044577e-05,0.000186551952570049,0.0007809933849780811,2.7073533358903182e-05,0.00039930261184345294,0.00020664189101699646,0.0004001160988502676,0.006961116761021201,2.7486846478481036e-05,0.0060619248317008165,0.0007031437828861362,0.0018802867180273326,6.359130636798023e-05,0.00010118785712435293,0.00193033199221254,0.003708611543156901,0.0006334615272635331,0.00018013674748358375,4.075743308113516e-05,0.006179578036822839,5.7177142368739876e-05,0.00015535218565138176,3.8594330112740444e-05,2.113165711494311e-05,0.00027324600904347755,1.7592748526081057e-05,0.0005982433567423001,0.0007429168381464173,0.00039443764898148875,0.0002471292950557877
AO,0.0015491404291393123,0.0007461020807304843,4.702617357919295e-05,0.0003130226921900895,0.00035906662800624565,0.0,0.0003942908288156878,0.0007583652803671661,0.00024228639670605747,6.407815847993696e-05,0.00041668680303042003,0.00041632344536615695,5.003537818424096e-05,0.0005105128815906048,0.0009000442062556527,0.0006675573085178608,0.0004293867077550718,0.0005986701839246805,0.0009919630053404945,0.000922578687335931,0.0003055319875982429,3.7822675322004757e-05,7.114132499907416e-05,0.00032500796886536927,0.0001941407538768458,0.006157543959611126,2.5850963772721875e-05,7.8517795018238e-05,0.0025185566437139696,0.00044294395328202683,2.415137121167466e-05,0.0007372223250031167,0.0022735287267246227,0.0007024481673491772,0.0014652099015518905,0.0012212162021298255,0.0009941460214846435,0.0003094732398500436,0.0013199464978900066,0.00019712802065610215,0.00012738591383012427,0.00012022943346691392,0.000503169907463313,0.006532526836325541,0.0002576814986768745,0.00031768327670225803,0.0007900620083920455,0.0009116892060472788,0.0017308724135437902,0.0004987472472425941,3.204505652542188e-05,0.00013410826238716963,0.0014398324589460546,9.024122974449244e-05,0.0004410939313366533,0.0005477381526647739,0.0008949990430905811,0.0014805925167920844,0.0004017486552993147,1.78815266030242e-05,0.00017761201555371726,0.0019863765077201482,0.0013145521248149204,0.0003937575624746862,3.2426869651239636e-05,0.0003471600067848181,9.166584765347521e-05,0.0010094364235411976,0.00031797745757670547,0.0004755099817500161,0.0013783250157071837,0.0007518976391876079,0.0025069920527828493,0.0006856996618929806,3.864919071676884e-05,7.154953609962434e-05,0.006925342470896197,9.141022069238793e-05,8.867194836880823e-05,4.5634626388552176e-05,0.0007365472684091721,3.759253625111034e-05,0.0008069618682813955,0.00023170024970957522,0.0013408483087370797,0.0008224883922447801,0.0007796582622876813,0.0005511092810269959,0.0006571656336979193,0.0005592943865028643,0.0008801892770113816,3.1720791060358685e-05,0.0006381459733459757,0.00020425378942020265,0.001321235264054932,0.00015963432337838039,6.0130165961985455e-05,0.0007338611489387235,2.184147614093423e-05,0.00025251614644436173,0.0005142878244464744,7.02973017814125e-05,0.0005127206192217464,4.46647760050394e-05,0.0007808257997761691,3.0662226077182764e-05,0.0005211578475509772,0.0005903220463324398,0.00030304823855800694,0.0018034221675655342,0.0006325003501352611,0.00020409040543008008,0.0005053630868670045,0.0003901130522405532,0.00040180554867703185,0.00016489366761003732,0.0002896766208069573,0.002829869572739841,0.00012633506823242708,0.0011135038492820026,7.083630220349591e-05,2.598890166529063e-05,4.497168010261675e-05,0.0006336845281404641,0.000641333253309002,0.0006947077512204736,0.0019020703425962097,0.0008862240073342103,0.0037814046859244482,0.0001105592992936232,0.0001777373408572774,0.019545627411528963,0.024994888920163702,5.543525334753264e-05,0.0013849497721777758,1.9099838368740906e-05,0.0022847930552535593,0.00015807109472018954,0.0005744731047511081,0.00044164325702371744,0.0005486747219338915,4.709897705458853e-05,0.00032498039684295086,0.00020569114721651687,0.0001447469749921752,0.00021422871471213513,5.896005542175442e-05,0.0003382544384246158,0.0007244409628046225,0.0005014832726021624,2.988822421774794e-05,0.0034755113632330883,0.0004577245294542864,0.0004940817921354204,0.001464231441850531,0.00048279426153733464,0.00044775487213643476,0.00020175451826747793,0.0006095835249454603,0.0003097613522884223,0.0014703774553783135,0.0008661278673016713,0.00063991996052061,0.0003150028576517411,0.0007405345064528629,0.0004394644795845081,0.0017195443584517496,0.0014599208860981482,0.000558733127531209,0.001521402708017253,5.041636566146543e-05,0.00029010428098154604,0.00023060332947941406,4.029743851649367e-05,0.001515308978085701,0.0013709411215613078,0.00027285648156396186,0.00034069827125785397,1.6959028481896446e-05,4.107367666435417e-05,0.0006164506357275582,0.0002801334467641625,5.245220384959234e-05,0.00016910693939938896,0.001152194086663865,0.0004035301837233008,0.0016457391276062654,0.000275274321172234,0.0006372416064917198,0.00030236206606258745,2.294718134104917e-05,0.0001351137943660352,3.060901860254481e-05,2.9031619829871054e-05,0.0007577505043544887,1.0268710851457305e-05,0.0020343826328439118,0.00883865501342162,0.0025499401957248618,0.001795601527086757
