,AE,AF,AG,AL,AM,AO,AR,AT,AU,AW,AZ,BA,BB,BD,BE,BF,BG,BH,BI,BJ,BL,BM,BN,BO,BQ,BR,BS,BT,BW,BY,BZ,CA,CD,CF,CG,CH,CI,CK,CL,CM,CN,CO,CR,CU,CV,CW,CY,CZ,DE,DJ,DK,DO,DZ,EC,EE,EG,ER,ES,ET,FI,FO,FR,GA,GB,GD,GE,GF,GH,GI,GL,GM,GN,GP,GR,GT,GU,GW,GY,HK,HN,HR,HT,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JM,JO,JP,KE,KG,KH,KM,KR,KW,KY,KZ,LA,LB,LC,LK,LR,LT,LU,LV,LY,MA,MD,ME,MF,MG,MK,ML,MM,MO,MP,MQ,MR,MT,MU,MV,MW,MX,MY,MZ,NA,NC,NE,NG,NI,NL,NO,NP,NZ,OM,PA,PE,PF,PG,PH,PK,PL,PR,PT,PY,QA,RE,RO,RS,RU,RW,SA,SC,SD,SE,SG,SI,SK,SL,SN,SO,SR,SS,SV,SX,SY,TC,TD,TG,TH,TJ,TM,TN,TR,TT,TW,TZ,UA,UG,US,UY,UZ,VE,VG,VI,VN,WS,YE,YT,ZA,ZM,ZW
AE,0.0,0.14860966333761635,0.007553545784503856,0.009534584774460252,0.04386613469535467,0.0808188316947013,0.004374535397681104,0.012053729253322643,0.0433732862520054,0.004430792349343201,0.0544392627962336,0.015173283476511954,0.019059785379509447,0.10446609538349624,0.009038402113525622,0.015407198560638576,0.0064281545428559825,0.17606411670934732,0.01826480680352034,0.009967845499003251,0.0025200539490167063,0.00836028371355363,0.01817122263179015,0.002022592651508834,0.002822800273770336,0.016201018965441735,0.002837074787978651,0.026984878581333815,0.011385305028084004,0.048204246579052305,0.0012052444311551219,0.018879831554003978,0.019077168147558207,0.013196369167901635,0.010830853324569106,0.011476614809482276,0.0176670350568562,0.0017778306245321898,0.003021842573855743,0.014794429307758504,0.019476294703381837,0.00271930805009683,0.0026473856080789955,0.007651546588179088,0.0035069592663013543,0.005307746271683801,0.015809337314865234,0.006614573590242905,0.011137742691774732,0.07493630303551028,0.009383595430112345,0.005634546356410954,0.013269550179007751,0.0024992068414491507,0.005587204525784644,0.05205900084259669,0.13417716031212476,0.0071516352293711435,0.0585976617172545,0.009211681431609428,0.0040228501576305975,0.009893911771379245,0.012001756679713888,0.009764377085163844,0.00710560802938684,0.03519586207645195,0.0021868281955651574,0.03278024308591526,0.01431939045946352,0.004190226771475398,0.008968715474161316,0.03695038951449837,0.0028976062032509513,0.00939674591042349,0.00215343670003518,0.013293225968678414,0.004973742698453229,0.007353543697479592,0.030093689739705033,0.001583566510066982,0.0077352992141069025,0.004033455035059615,0.007389812204186233,0.06109974599248213,0.008546592944236464,0.020099925667481543,0.20223127380170425,0.10431872316022425,0.06842049321104243,0.009615540440986992,0.009596552343709071,0.00551741139432464,0.06306036150156275,0.02156279056151057,0.06820164268430631,0.023105713033264794,0.01062558288714698,0.023626708233179403,0.009828521789092751,0.12275521964404333,0.00812197377462058,0.06025499234412819,0.011393468150101498,0.08928509749560411,0.004442129000567759,0.11314936953228774,0.009346343057978273,0.004698490705341068,0.0032775264013788744,0.005630436703149395,0.03400324080741016,0.007908868896327454,0.008291058530643207,0.0175951967352916,0.0008916100107820419,0.013507230722472818,0.003958372105618213,0.014758125542202193,0.030276766345405444,0.0036637553764568994,0.012618942403746636,0.0025168623892622617,0.016313978877803725,0.006610720836722715,0.029437189950386546,0.15288753086506762,0.019732783847250232,0.002745497119639201,0.046430933602146236,0.02122459325671033,0.01417529247169713,0.014473922247395297,0.012537911804408495,0.04735074898760597,0.0017209100214092604,0.012239506910315974,0.008527561962459225,0.09797831426405337,0.011744044415862248,0.1319940018127887,0.0030899675858221303,0.0026030259320187227,0.004683957552107361,0.011573764382983734,0.047122266805304104,0.18626133859059882,0.006636543089866864,0.0025222484730436485,0.007014640361208346,0.0021792275118492975,0.07724586818365503,0.013271485017584196,0.006807788962971577,0.016344209045789072,0.02053410676088611,0.05352479207712205,0.10805374270764441,0.17706115036292594,0.10234291010478247,0.011566882174848202,0.04637889013751541,0.011676548174198425,0.003993747850552084,0.010234652293990268,0.018636405291749206,0.042521489082011366,0.007891218678299299,0.0892285387447744,0.004508832681901803,0.0040673240730941095,0.0871305026986717,0.0035125993970470974,0.03932684858014378,0.015353963596001888,0.04517135570979205,0.04175700531789413,0.01302002862121881,0.01866042817399974,0.025422948703519677,0.0061818589253183715,0.009420204658206956,0.07096042838037188,0.012060992019625407,0.06256024286910207,0.015557821779322094,0.0021670326645549633,0.03649176509084499,0.0027079559008250363,0.0020717829491094953,0.0019084158058747774,0.023978199436222702,0.00454588173458209,0.0660353862763765,0.015377572475442792,0.05565952555399286,0.04506518456956024,0.02088780283983602
AF,0.003703638939621693,0.0,5.705613716068926e-05,0.00011564314135561872,0.00042046321881842566,0.0008280950903391266,2.2909334132596988e-05,0.00015754715908032063,0.0003561862736935577,3.5208701543472395e-05,0.0012075041856109896,0.0006191941623603027,0.00013751329925047536,0.0010600330874648372,0.00010733428681971372,0.0006642780503205106,9.308318180420208e-05,0.0014993148882792306,0.00020959857597530653,0.0002890446858728642,1.6234510407367e-05,6.653924594009858e-05,0.00010616481205437601,2.0419067934914576e-05,3.063668189754922e-05,0.00022878003713477907,2.538836285587852e-05,0.00225112963578218,0.0001024760378611031,0.0013867763031516194,1.820506214832051e-05,0.00019070753456821045,0.0003320916372664718,0.0001377022466160173,0.00010172055886062563,0.00017333764421759864,0.00022475822012058585,1.6026801727971496e-05,1.826477701942702e-05,0.0003767753989561935,0.0003063787172997904,4.2207171781571685e-05,1.7721743998411556e-05,0.000151782632791656,4.382384200781634e-05,5.614591097659734e-05,0.00027643523206689565,9.870344903331324e-05,0.00018564689427391133,0.0010200186810602866,9.818972691253213e-05,4.7454571184626123e-05,0.0003132744454459748,2.232890938593918e-05,0.00011468773438988995,0.0008191673240722402,0.0018066187801842426,5.143629732180933e-05,0.0007264241814846673,9.745744623709186e-05,4.14931129151987e-05,0.00012624460738803198,0.00041738694429496037,0.00012760282189833288,5.232403782582705e-05,0.0009123229612952848,1.2871054742645061e-05,0.0005628450964248218,9.97632655603556e-05,4.645204062576208e-05,0.00028306282601078787,0.0004130153795227342,1.7656530908480242e-05,6.698403123140347e-05,1.9951882353330346e-05,6.891402796750354e-05,8.093819984558727e-05,6.299356976898472e-05,0.00018837703087441583,1.9596979814309505e-05,6.195146624773133e-05,3.5037738135320095e-05,0.0001603578505479428,0.0004990612639581557,0.0001077747135655032,0.00022133340097719195,0.009686897349830675,0.0012612401966907918,0.0015902552351228277,4.06598192612019e-05,8.893078233917324e-05,3.7252731617201705e-05,0.0009376962351265157,0.00023162131881791502,0.0005979047457338796,0.0008079488052873861,7.095684633046932e-05,0.00028267243702895315,0.00035043691670545127,0.002379412531849004,8.467393036485671e-05,0.0018672722065820769,0.0001046818804504523,0.0010865775866054977,3.368372329385316e-05,0.0007475739241530739,0.0001438584836221677,8.180525184119756e-05,0.00010437925678509793,0.00011139637733434701,0.0013477235656214834,0.0001341349106395082,0.00021175942544925133,0.00033985732693965677,6.905230449732491e-06,9.081543020836507e-05,0.0001718243391682353,0.000272395551404603,0.0003458944539470704,4.323998705276286e-05,9.028300428298024e-05,1.4932445663549034e-05,0.00045123775691934437,8.124127443577981e-05,0.0007357611507197968,0.0015288807979680805,0.00019700703312314905,2.901266372672245e-05,0.0006425143507576074,9.143727666492202e-05,7.712610934330528e-05,6.60139591912302e-05,0.0004965708796329423,0.0004754760408746376,4.28107856836246e-05,0.00011373628923604014,9.036777456078691e-05,0.0010931713327398422,9.026210266550554e-05,0.0012336259100685398,4.2752704166613236e-05,1.688463714421226e-05,5.2833460272979934e-05,7.491563378075315e-05,0.00044158433912441265,0.008817709177052645,7.990485750574982e-05,2.472439019995102e-05,6.741538237363954e-05,2.465173994208942e-05,0.0007188724667305634,9.42953883712271e-05,9.069966246338159e-05,0.0002777743664776304,0.0005140911666532896,0.0006466252072775511,0.001032136698498861,0.0017292007831903019,0.0010230840979734452,0.00014726670353766891,0.0003303476170344602,0.00033867229621011436,3.906389731199342e-05,0.0001481674909778572,0.0002988128782373007,0.000690602512538907,8.240311764234861e-05,0.000841679372136621,3.566295424294866e-05,3.059163801754317e-05,0.001283982204609427,3.43240339655885e-05,0.0005363154081039115,0.00018783654575085565,0.00038965702614090727,0.0015680424868197871,0.0014502739452366264,0.00036851179762605984,0.0013462702599998694,4.5546003363891015e-05,0.00016404909812190794,0.0007764189220111092,0.0003437199388262113,0.0007486214357226088,0.00015994874496753564,2.2334657665850374e-05,0.00577716872359486,0.00027555860248248867,1.4547085086600363e-05,2.072084945270872e-05,0.00016264833484349613,3.8927177000792294e-05,0.0002968657387968995,9.832325305654539e-05,0.0004990581987255084,0.0006800529318691208,0.00031926650489305923
AG,0.00011105406306687115,3.365924426675141e-05,0.0,0.0001978950687235548,2.0028085801402118e-05,3.373385878818103e-05,0.0007109287405968758,5.406362656331767e-05,8.333410516132697e-05,0.0008955227968265832,4.6052152105127544e-05,1.1469578545094095e-05,0.0075359374240147915,6.93384982221116e-05,5.852606230381243e-05,6.531644298730656e-05,0.00014983852257777387,0.00011092328003609675,1.7767238786008193e-05,2.5469964574181615e-05,0.004532986085597383,0.0011048118552552059,0.00011635314516490446,0.0006243975404911512,0.0001848716958119918,0.00023995551479940276,0.0011266000394832994,1.7292967896297134e-05,2.8887187646510966e-05,2.556075948230204e-05,0.0004606030968901512,0.00024343729669102713,2.4051339069297556e-05,2.12295085650328e-05,2.164341041781965e-05,9.58376224627629e-05,7.826219750399808e-05,6.246780663554223e-06,0.0006435660342138805,3.14092601970448e-05,6.53123840901236e-05,0.0008829995765283627,0.000419299301341925,0.0005327505227594079,6.46328059784151e-05,0.0008021429918665841,0.00019039461842143663,4.694241022291295e-05,5.3384540934592884e-05,2.8140940087201113e-05,6.249190435522358e-05,0.0012463051822737665,2.0911278500709426e-05,0.0008469264625026982,0.00013151584171813136,6.087172485006414e-05,2.9935100474443006e-05,0.00026567384692859265,6.345636312218115e-05,0.00020697839722315066,2.5643962960277335e-05,0.00012890531537530854,2.8417368576021285e-05,0.0005397769981433307,0.0617397637943147,2.3771324073213834e-05,2.4633341432483265e-05,0.0002920354890469192,0.0026590034370261345,2.546639285862599e-05,5.756194201257319e-05,3.3507699291301036e-05,0.000798083415327282,0.0002826406501968323,0.0004984836954126738,3.2815388750527534e-05,5.4722158347526425e-05,0.001876923173757384,0.0001618341494080168,0.0006701863892338454,0.00031530533158754794,0.0012360389554819944,6.188723719560525e-05,5.5131752358351086e-05,0.00026564936361185527,0.0003884551006074814,0.00015574301066197102,2.638001106354317e-05,4.4894512374729823e-05,0.0003422559424266556,0.00013704814327021117,0.0028119733452541657,0.0001302027221809209,0.00015236699785564625,6.708937386136662e-05,1.4976991299534751e-05,9.500888563132537e-05,3.0970513551019706e-05,9.930197450127472e-05,8.888471378827023e-05,0.00543450459251958,1.3019395365381466e-05,1.629481168817888e-05,7.422616526686911e-05,0.0029793549427695612,0.00011502015610455236,6.907021837736625e-05,7.483033526058003e-05,2.269199055027283e-05,0.0001414268760655442,1.735218621658924e-05,0.00015587327389006848,2.198873092719166e-05,0.00012747849153887177,0.0010956080018537041,3.505810644061522e-05,6.401035082224668e-06,4.7257110746041655e-05,4.845513355143057e-05,2.4933609986240372e-05,6.0358506128315433e-05,0.00010568990085157358,4.533970792360435e-05,0.00026251123637089377,0.00020716844014053703,3.430549794927917e-05,2.215099154479483e-05,0.00023418264585683355,6.140112029001119e-05,4.096550192210251e-05,1.5042575170716897e-05,8.167198598790469e-06,4.3808759969225853e-05,0.00036003432370213873,0.0011268280715811699,9.248568168981888e-05,7.868015583833392e-05,3.9670487609735505e-05,4.174082536809923e-05,3.7045239551279585e-05,0.0006105122271797832,0.00070588585611839,5.971540328382266e-05,5.574631523668576e-05,7.759359524324606e-05,0.00010339100791886368,7.820553962313319e-05,0.0015826842301800723,0.0002362294430722266,0.0004656694153009376,0.00013811315039834226,4.814895336865057e-05,7.010668073215228e-05,7.497373557330858e-05,4.862049849801307e-05,1.6800491976191734e-05,6.847979981104498e-05,3.85128155062645e-05,2.4014554783029535e-05,7.565013083600042e-05,0.00010160370643328133,5.914947885468431e-05,0.0001042538848293787,6.062036010069882e-05,9.707784796318206e-05,3.0376534352369246e-05,0.0004124880688367849,2.4233047651930375e-05,0.0006077677161701838,0.010874202444776694,1.7470557946858593e-05,0.002149499104452498,2.325927528273106e-05,0.00023512871582709232,8.844803346232615e-05,1.2146080230113062e-05,3.4053491720973496e-05,2.3646385060481005e-05,6.121419427957528e-05,0.007338941744887376,8.878630465691519e-05,2.408905880416627e-05,4.024883301775147e-05,2.3568517668107405e-05,0.0015108056072046998,0.0003567275066284565,5.2931965774820216e-05,0.00036515956078177095,0.0029513880821788983,0.0013270494305723647,4.623950717806714e-05,9.240671075755833e-06,2.374409306899998e-05,3.298286788738815e-05,8.281408024728418e-05,3.018565025343286e-05,2.3798429018437185e-05
AL,0.0010827163353235802,0.0005269278993359854,0.001528495943501585,0.0,0.0018848463901490816,0.0009051481962215858,0.00020308765112003228,0.003342982165661868,0.0003374669586656255,0.00011788605878914878,0.001175954798392525,0.010714640553055318,0.001277787534788085,0.0006047226846198993,0.00265293329050756,0.00037036877174388016,0.004607518528886245,0.0011110561729594554,0.0003936634489554661,0.00017753930571296988,5.699907836716489e-05,0.0006686312728809013,0.0003046537174531867,9.215617094120175e-05,8.739514549336764e-05,0.0003617506479179032,0.00012741792600593372,8.026817526213901e-05,0.0001369957434796451,0.001076267621183096,4.6363886088289415e-05,0.0007742194765849108,0.0003805774297274855,0.00021818826931362616,0.0001680014077050616,0.002616983901281462,0.0004218219151923723,2.435580692190689e-05,5.173210174174189e-05,0.0004568305976435613,0.00029550595926407393,0.00011823370821901367,0.0001228577010242652,0.00027954556985309843,0.0006052088950548027,0.00014555907247256893,0.0026703778651517907,0.005670015252261358,0.00395006375206304,0.00040575590900193595,0.001129981064882793,0.00022380397581443637,0.000588001781250391,6.916492189692256e-05,0.0018298070433316635,0.0023806012594309017,0.0005867051101899027,0.0021510025716604273,0.0010287826935519865,0.0011248145964405923,0.0003899571463988275,0.0013437708739882492,0.00019958244464503906,0.0020808147447697106,0.0007091101322787384,0.002577428793494093,0.00012325067098401638,0.0006899605305278397,0.0025986780468344292,0.00043267579117373665,0.0005635589365214336,0.0003232657150353631,0.00023628638944884952,0.004207169197256814,4.6940677782927074e-05,6.94456637073805e-05,0.0004375618371320636,0.00030093011797657093,0.00034335409090635843,4.98420253414018e-05,0.002437104767950441,0.00015383945507973216,0.0025841155643401407,0.00031227131853023656,0.0016754922928427394,0.0027195168179577844,0.000737283735931808,0.0007489319166835381,0.0010684888510036205,0.001925569371337203,0.012821812312316905,0.0003918132292612681,0.001191433104921455,0.0005107357250492959,0.0005021142743497298,0.0006452789079626381,0.00022358901376443073,0.0002658158062939007,0.000436272340640303,0.0009606307256570009,0.0002914672496411618,0.0010686162671814479,4.601255394654356e-05,0.000958418577023996,0.0006457367668787643,0.0005350397064161608,0.000678943242328908,0.004653010122185863,0.0012734362424704799,0.0020082551352483312,0.0006778972803630788,0.0022525628113976947,0.00868452701709743,0.010996966444117745,9.263927450063155e-05,0.00017434647606789574,0.014658487962471167,0.0002824938595076114,0.00023534144538251472,6.453601858769705e-05,7.47412883835414e-05,0.00015443026672195474,0.0003940925881789397,0.003437750521626648,0.0005936892208265684,0.0005687689350304734,0.0001808112543883059,0.00011251309812167821,0.00031055496011110135,0.00020235587232413327,0.001257198112475064,4.970880561659103e-05,0.00023587057002619595,0.0009255893231988495,8.020234296860957e-05,0.0017552553929987536,0.00206601244373875,0.0003223724550760049,0.00015279518914853633,0.0007292249306859934,5.4455494411477815e-05,4.7090710735551946e-05,0.0001886286579986209,0.00019699551787579866,0.0002926788796836267,0.000722569546581084,0.006775710090529964,9.828925610007045e-05,0.0018145953265247753,8.22813018950022e-05,0.000963076534631059,0.0001725371129580943,0.006544011153401742,0.0074969170533436,0.0012953151723984306,0.0005244972519643883,0.001645909517090876,0.00046121453991031355,0.0005388596808234533,0.0034807635071426356,0.0005876645324802497,0.0028806696909800056,0.0045030091266897825,0.0004599659577994415,0.00114869358849309,0.00035306229438584883,0.00020120783130715396,0.0004602463718578236,0.0001127891776014414,9.220002676630947e-05,0.00043773904875113413,0.00016096048106594053,0.00041742227486628287,0.0002890311034889455,0.0004956641265601197,0.0006940717411215842,0.0023907543991176267,0.0009852687185754009,0.0031335727278294563,0.0003383505052423805,0.00020888848209179404,0.00031454756947341746,0.0043452573742707185,0.0004727683255296226,0.0006421073721782734,0.00014179382636801325,0.0008716029965576495,0.00013749904399456027,0.00025650555250862617,8.190929864364764e-05,0.00022309725338324668,3.356058499932459e-05,0.0003736095192622395,0.00018501629824549585,0.0004520330069742521,0.00026693027154838574,0.00021102615137973392
AM,0.0026914226645265477,0.0010351396804443946,8.358115998819431e-05,0.0010183934442831635,0.0,0.0010728738696491014,0.0001231219391366031,0.0007359477111349276,0.0005300061216023011,9.854212531469618e-05,0.0033427931559695733,0.0015851861191947324,0.0001056770898226427,0.0015204305853803643,0.0006941339576133296,0.00037204574454570893,0.0014752222741756084,0.0009238154584162635,0.0004850682563236897,0.0003650615917889985,0.00017125744525654265,7.186271691739598e-05,0.00011969051385412723,4.0218861619831086e-05,0.00019001508227321044,0.0004474091378570844,3.303129703099484e-05,0.0002541798448129548,0.00022354145254319875,0.010512023700279281,2.6488413942818615e-05,0.0004131438548892416,0.0006209077622333077,0.000657469214235713,0.0005394212688995578,0.00043172683693072503,0.0006508618180658617,1.818808852688562e-05,7.340926259748013e-05,0.0008270512499753656,0.00037940450874774,5.9601590613740275e-05,7.163564360280304e-05,0.0017639638746474772,0.0001352708275266783,0.00032814065458006315,0.0027862514758755425,0.0014258654904456172,0.0008289549775868351,0.0009706396041454497,0.00047214526114642625,0.00015567227731371375,0.0010987762448164576,4.917632144254935e-05,0.0009600266973667405,0.003195515306210703,0.0008301858352679023,0.0004019732027818313,0.0007869502184377524,0.000556937547362723,0.00018507356293226272,0.0007036395952603595,0.00034970826249860267,0.0003298199346322503,0.00010587224462476113,0.01281634794965472,0.00018532845090385444,0.0007097708347253412,7.019333887548407e-05,0.00020821761686407392,0.00027457935117246085,0.0005302090685578923,0.0002595226245297603,0.001382957080340145,3.294634060298287e-05,9.319067316312296e-05,0.000180357315410666,0.0001407434888841527,0.00024831164395074735,2.3075945934364477e-05,0.0010093434305062218,7.172838141702341e-05,0.00048167312703993555,0.0005819800224043355,0.00026218149915641775,0.0014220729444230015,0.002346532409183225,0.003457357995245471,0.0020505133243823625,0.00044193731889603,0.0005016763813631394,7.168198144915436e-05,0.002251869457804636,0.00036134713488981734,0.0011135167340084883,0.004695307434897507,7.900869529927792e-05,0.0003639614717866031,0.0005797208160660709,0.0010384847323664848,5.697390978939846e-05,0.004659069617062635,9.832376718663158e-05,0.003185488616092674,5.824041130417847e-05,0.0013809951571389018,0.0005849286294513309,0.0007532390339143162,0.00024768644892037456,0.0011356893701892966,0.0007854811417707802,0.0004961263894522613,0.0011001854166748975,0.0035871733618977712,8.788551627757637e-05,0.001136560798877797,0.0010827638135586081,0.0005241598172145304,0.0001866205406801754,4.217198049767325e-05,0.00010440623789541199,0.0002383203212872967,0.0003403221518265274,0.000404419014364319,0.0013035089347898546,0.0022490866525521802,0.0002866587097173526,5.866106463322273e-05,0.0005239457750309913,0.00046166953295837155,0.00036873009972166935,0.00013916350444127316,0.00034818161484427324,0.0007264110328066275,5.156974914152577e-05,0.0006195288791990073,0.0004909501428696314,0.0014419397097785462,9.45608630901073e-05,0.0012217496486402009,5.211921962375564e-05,7.173317059550788e-05,7.989872986038166e-05,0.00010926762053708595,0.000657796792330341,0.002202363425976938,0.0012837769543237532,4.0642248925478166e-05,0.0003576448533825812,4.0364428632783945e-05,0.0013616960962114014,0.0007765786977749309,0.00048057050168979424,0.0013912380976898507,0.01897153254803057,0.0009186009640280279,0.0014490839052369393,0.0027733243857473596,0.0014714338206361346,0.0005588453162867496,0.00033068195405199494,0.0014330381971794247,0.001990946738255877,0.0006286770580221932,0.0006251707081271745,0.00041068413569828174,0.0005085493043127425,0.000689974094180301,7.188569155055312e-05,0.00019304291170613278,0.004794837497923093,6.346085293202504e-05,0.0005829852662363891,0.000263574276877983,0.0005404172927906847,0.0045988684292385005,0.0029482787323595067,0.0009811814502253952,0.0015860540649578964,9.682727450339755e-05,0.00011898994920661378,0.001115395011464821,0.0021776591037583064,0.0012043224409953258,0.00033534214667006333,4.70162196084349e-05,0.004341064659383244,5.836941387765786e-05,4.288615285718809e-05,3.620486491192231e-05,0.0004438002714240156,4.972697098521466e-05,0.0009213101831137945,0.0009276599445456002,0.0009071837007898751,0.000715251192622761,0.0003992013646753249
AO,0.0012423654625721334,0.0005107818068917753,3.527111896127509e-05,0.00012253032549633397,0.00026880227007538963,0.0,0.00027294127146723976,0.000168616556052023,0.00024490343094997296,2.9435505209562202e-05,0.0001606630520418935,0.00022155306755073046,7.287354422598136e-05,0.0004809689922739639,0.0005703460849796703,0.00032519219001587714,0.00011982462285355466,0.00044449488091841284,0.000987996327752982,0.0006904394013585106,0.0001313192345778533,7.284086600141461e-05,6.751323182190823e-05,0.00014689734794240598,2.7201092792080652e-05,0.004897770022131544,2.1634988280101618e-05,8.053369356011014e-05,0.00211526038354266,0.00016104019465224104,1.9544460849417023e-05,0.00029764587895887197,0.005635687750545706,0.0004077402497566603,0.0020609074017826374,0.0002736644981514164,0.0007119512707881606,8.492109284284583e-06,0.0001644714125834778,0.0007663849327931073,0.00010330586037165116,7.110549694839849e-05,5.910700737871362e-05,0.00028229091041772757,0.0025556470156753845,4.723580055564282e-05,8.617591928628503e-05,0.000177732531715837,0.0003446833223714094,0.0011246184649155817,0.00015874265467264888,0.00011998834202259688,0.00040379721943109277,3.2974027080279906e-05,0.00016312956446871846,0.0003708533715442502,0.001302184183430034,0.00018913318370669799,0.003611985442676053,0.0001710887110816965,7.60111130183019e-05,0.0005251047242248236,0.0006427920772110209,0.0001763341824727966,2.164855501062053e-05,0.00020970121271292964,0.00022071341368497987,0.0007748381767141609,4.9423080353075184e-05,0.0001001925230095237,0.00028821960923363347,0.0005954220136415165,0.000278677727913851,0.00010773724674307869,2.1206172067596116e-05,4.4280960840708805e-05,0.001356323804996096,2.895555731773858e-05,0.00011054054460459937,2.0894124681393106e-05,0.0001541075418797509,1.2312678811089392e-05,0.00018251790414015008,0.0002429797369575749,0.00025499448099403885,0.0001607297362418678,0.0006874551083462406,0.000377360910796933,0.0006611058992111022,0.00016839655819997674,0.0001903674876777291,2.8528854070449765e-05,0.0005228183231225837,0.0001488892767022934,0.0011749457072367157,9.092609066497698e-05,5.1544786325132814e-05,0.0016503053732472416,0.0001641317848595955,0.0003322873139416831,3.628098285944672e-05,0.00027791729958242693,4.3214284181328456e-05,0.0005333075037681745,2.099757855085206e-05,0.0004818490068092055,0.0004694398006955058,8.93868426790718e-05,0.0006061662051659642,0.0001254509550653455,0.00011924239211264851,0.00030595383189579317,0.0001886670881851767,9.075418360144993e-05,0.00011420281644082405,0.0009325107298256152,1.9679370572299828e-05,0.0007003137861791885,0.00013194322453668404,1.958418169621299e-05,5.6717844384629e-05,0.000238703471449519,0.0002648059472829369,0.00012559108105943622,0.0010434454738439424,0.0007439507820308385,0.0028281050789844228,6.467086640721876e-05,0.00022045053095136856,0.017982719620066364,0.018430429703769718,3.951793272749789e-05,0.0006951835729062492,0.0027576939641760184,3.796574914895562e-05,0.00017740062234250582,0.00011138581230625464,0.0005075612788222012,4.8151652024629974e-05,0.0002561724160537837,7.051406187982126e-05,4.751872103954843e-05,5.63021846747238e-05,5.366603660630767e-05,0.00028163338297303376,0.0005781194865768649,0.00013882730006019433,2.1272582299686614e-05,0.0006056894909376247,0.00019271840019628402,0.0011101496115270833,0.0006104980611087072,0.00015833915991520826,0.0001418341449896644,7.431252607984808e-05,0.0011256679000580206,0.00024180503107917577,0.0010307093633646824,0.0006009701884158383,0.00019590726485980262,0.0001908748820783434,0.00035421665274180947,3.970225803667668e-05,0.00037995536002030715,0.0007631486620057366,0.0014799106237485726,7.221664931824812e-05,0.0011302420912168657,2.62791693648348e-05,0.00012611474989362095,0.00040185500568529025,3.357856598873339e-05,0.0016405209767636235,0.001010322260374261,0.00024122385260043678,0.00016393243703609204,2.830561427629249e-05,0.0003748886606875128,0.0001319995975848083,2.5035951559814715e-05,6.66086252571182e-05,0.0009918611487643263,8.349274763592639e-05,0.0011396379359745125,0.00018848662408955306,0.00023426814503144696,0.00010415124758498944,3.5699327001487904e-05,2.3623428520396512e-05,2.203339627566925e-05,0.00011986627310655105,2.1076966777149028e-05,0.0002791054199189778,0.0006982944493948422,0.007490223139902588,0.0024439550404528024,0.0013452618807007829
