,AE,AF,AG,AL,AM,AO,AR,AT,AU,AW,AZ,BA,BB,BD,BE,BF,BG,BH,BJ,BL,BM,BN,BO,BQ,BR,BS,BT,BY,BZ,CA,CD,CF,CG,CH,CI,CK,CL,CM,CN,CO,CR,CU,CV,CW,CY,CZ,DE,DJ,DK,DM,DO,DZ,EC,EE,EG,ER,ES,ET,FI,FJ,FO,FR,GA,GB,GD,GE,GF,GH,GI,GL,GN,GP,GQ,GR,GT,GU,GW,GY,HK,HN,HR,HT,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JM,JO,JP,KE,KG,KH,KM,KR,KW,KY,KZ,LA,LB,LC,LK,LR,LT,LU,LV,LY,MA,MC,MD,ME,MF,MG,MK,ML,MM,MN,MO,MP,MQ,MR,MT,MU,MV,MW,MX,MY,MZ,NA,NC,NE,NG,NI,NL,NO,NP,NZ,OM,PA,PE,PF,PG,PH,PK,PL,PR,PT,QA,RE,RO,RS,RU,RW,SA,SB,SC,SD,SE,SG,SI,SK,SL,SN,SO,SR,SS,ST,SV,SX,SY,TC,TD,TG,TH,TJ,TL,TM,TN,TR,TT,TW,TZ,UA,UG,US,UY,UZ,VE,VG,VI,VN,VU,WS,YT,ZA,ZM,ZW
AE,0.0,0.1729435075983502,0.0037602829491182443,0.011976298366489859,0.016889645460107308,0.0178516855488739,0.008186426166399596,0.009519486639652172,0.05307151895430669,0.006386955062614331,0.04637334002550349,0.03548536132453296,0.005557360707439681,0.10488279055226879,0.012107431375996191,0.014426331177590774,0.006745753371150584,0.14109691357790405,0.010406888103012437,0.0013635521648815597,0.008096117283606043,0.028394008420001265,0.002616661056890615,0.004173052874285088,0.018199756656630366,0.0009085862244251356,0.023203968077592965,0.024880145081366805,0.0010103378577570295,0.024738776400510996,0.01774834108736664,0.02151206473437591,0.011988198327954135,0.015230636448449955,0.028358806708606306,0.0021849299560823044,0.005484029714179156,0.01589844860347616,0.018095399359314257,0.0056505343512235975,0.004331113165070175,0.006471364737707223,0.009156784198025417,0.005131259628515006,0.014967569813321698,0.015467234754733114,0.011026594769575095,0.08121121230283475,0.010801010580343032,0.00196830439800667,0.008830745051902338,0.014436769434720644,0.004585909446404889,0.004451867052191725,0.07919631634917823,0.038682496399817315,0.009342050510067952,0.05533356406629422,0.01515051949825764,0.001820143628578288,0.007293359323028849,0.013576084785454906,0.011573435425869775,0.013230318825346844,0.002988991685845957,0.021633764859746687,0.0015716528319534928,0.029074429153225518,0.02280038575662254,0.005441046058649476,0.021672759325819767,0.001357571739874529,0.009217792741573883,0.011759707495533388,0.0026465104130421833,0.018078225664593137,0.003920503300016018,0.007823421213754752,0.030091014534911878,0.0017894773422406829,0.008996644390997902,0.0060522588273961685,0.006208291660614825,0.04781392624695043,0.008258378329440971,0.014243258518969144,0.15774885322733664,0.10909976069814627,0.09716898610761666,0.011092123791472603,0.013397017657774075,0.00702656494779466,0.077363763607051,0.018103916413720198,0.06319265035789924,0.015624870067368334,0.008790835543996517,0.015722103791701837,0.009567836149743245,0.12376506174921613,0.004164339741194996,0.08947805387423541,0.010422536887747648,0.08583958239034685,0.001990096083522226,0.102456534887846,0.007072978892472828,0.005251279815850297,0.004103715945130034,0.005467481771240413,0.04404197842859622,0.018834958749972687,0.0016829608003593778,0.006612830338852704,0.01281206771698433,0.000994423712050412,0.019046809274195293,0.004430294367172443,0.013872342149020715,0.0178159120122399,0.016235011977577384,0.00861572283165094,0.011542507923406064,0.0014847803843426857,0.015783870491369752,0.007553522001688142,0.07186750297796417,0.14880176976953818,0.026660631249966076,0.0036136629580747815,0.06099888328937665,0.013055247771271757,0.013803055814897854,0.015910495935826986,0.020795864655911017,0.06507223387324024,0.003637770674297584,0.017400623837161715,0.009446765983784824,0.07738287261410057,0.013359264951676792,0.11802986176766257,0.005231093162254557,0.005316655136999954,0.004668182909008085,0.013284676019260677,0.05366507549279167,0.1883571124684835,0.006610930180459268,0.0031089267153822362,0.009616847814395264,0.06928152010866226,0.008383497312951193,0.006609864759929619,0.013323086445527406,0.012949708460748598,0.059881473371492314,0.11944581926451188,0.00534052124309088,0.2777218383153065,0.10052295774732323,0.010586620033286852,0.044783156979241644,0.014817388419527554,0.004039490261219362,0.012679626613130686,0.02072468721523064,0.03143568566151062,0.006705687687832601,0.07476375663431765,0.007605407726865053,0.005951574749807346,0.004440230077962483,0.3360054369924433,0.0034080184647815462,0.02483821040074365,0.012127544903191735,0.03409355092080266,0.009285196969327371,0.0015313717347839675,0.04241727540385491,0.012290316309706657,0.019680861698699335,0.0027660852215464792,0.008124875069337808,0.05954118439564839,0.006633867354722949,0.04540970149781745,0.01994672352506404,0.004672446860838982,0.035901027221409636,0.002893778564566482,0.001439313460030253,0.000792611634447229,0.03075109790170377,0.0014793952656806109,0.008421882960249998,0.02242964052224241,0.030976784637586064,0.039035048289618214,0.022312093218996607
AF,0.008410956442111978,0.0,6.298154452393964e-05,0.0002837499886736877,0.0016863571418298795,0.0006699102166519233,9.946490063136191e-05,0.00024170211265413033,0.0014192303744458691,9.928702844959123e-05,0.003575931714305643,0.0013864186379640132,7.333402077489876e-05,0.003091564474571871,0.000331305903662134,0.00038225769945265356,0.00019956364782643156,0.0034277408762536468,0.00034915342050483765,2.73248337780717e-05,0.0001402682752651757,0.0002089123279735554,4.886200614744749e-05,7.687552294173883e-05,0.0005165594207335633,2.3629502998619895e-05,0.0015368048697324832,0.0005557686959811757,3.601919022798916e-05,0.0006526282399243858,0.0006629973458089757,0.0006652681387026462,0.00035119019374452794,0.00035739843882375076,0.0007697594984809545,3.124499405207979e-05,8.280298686602623e-05,0.000497356893036841,0.0007562789803856788,6.477668186975489e-05,6.071916117370088e-05,9.835940929202184e-05,0.00012787940917209916,0.00010114471976011455,0.0004718205796179642,0.0004946774632047495,0.00022393343554279906,0.0025521705583421823,0.000306372818049907,2.3940620715987847e-05,0.00014349919437687495,0.00018446266346338003,6.930563746412021e-05,5.444929614488479e-05,0.003193108408289752,0.001802304500255442,0.00014264810521310737,0.0021492916111491662,0.00014629033062181086,2.8130629306690468e-05,0.0002752939966238831,0.0002418940326487811,0.0003702104159911712,0.00028828725130387026,3.980888025532276e-05,0.00048152731128919504,1.8540430503763154e-05,0.0008871515710267372,0.0003322814632523399,0.00023349659365283704,0.0010782227057552457,1.6422210090971776e-05,0.00027343185563630734,0.00016021666439649217,5.724921106941192e-05,0.0002675028671540634,0.0001837316831463095,8.911385433911439e-05,0.000264887442440651,4.2080597421272904e-05,0.00012181072565474543,0.00010784794662799783,5.411800654335673e-05,0.0010658879508342442,0.00020709581178726216,0.00034008053020990705,0.008621640562804728,0.00468253897226111,0.015358373263863979,0.00015490420660348303,0.00019375856605414449,0.00011357618118261284,0.0019244528798534905,0.00042276160357713447,0.0025898724694113718,0.0011946885303568448,0.00013316282730745584,0.00045110870280991734,0.00024647370886761406,0.005385760089364846,6.295120777024494e-05,0.004092132240124678,0.00016610367705009678,0.0032462407103394787,2.8707549711601364e-05,0.0015881561077385632,0.0003068088559000941,6.283330074883148e-05,6.731759537266257e-05,5.264948714061747e-05,0.0014521522209252858,0.00046855164330826044,2.1603779351284256e-05,0.000417415366932422,0.0004661804547678308,1.1897834214404594e-05,0.00031500740345045,0.00019981337666296736,0.0004003972435833521,0.0005227520572314503,0.00023677766351392756,0.00018456962438891691,0.00017995587145614483,1.746747510339988e-05,0.0006353116159428611,0.00010187262944150944,0.0022979649599914383,0.003646455898008552,0.0009282002393263114,5.887999101947277e-05,0.001246170700807593,0.00015084388013877927,0.00042354610460735307,0.0004380403787575067,0.000691839591995639,0.002221251196389519,5.849847862499215e-05,0.00038647019347030784,0.000231172629043464,0.002319343032445878,0.00017782456595843751,0.00200247212325216,7.621950954892421e-05,8.165509253721253e-05,7.546330950713461e-05,0.0002711582191063214,0.001650505003195581,0.013491616266234668,0.00014758472499416147,5.1852005274527035e-05,0.000195051955532238,0.0011741685840742843,0.00014867358449187614,0.0002164454726993049,0.0006008659266814808,0.0008772652417867693,0.0018712783152675778,0.009436397865611228,0.0002423842833157907,0.008067467464028102,0.004821596233008692,0.00023024024141668394,0.0009101993906661821,0.0004611869291667228,8.856002817716144e-05,0.00041221631621365067,0.0007170337894738587,0.0015386340161715642,0.00015001953864034512,0.003348795268368395,0.00031186653724778136,0.00011500639061927563,8.381965821879684e-05,0.004597212288413719,5.422629683447223e-05,0.0006029877191221882,0.0004377422216370477,0.0005134841029939923,0.0029573655465413777,3.623855752029408e-05,0.0015921928024106267,0.000337347945330939,0.0018889573227748038,6.272499861148207e-05,0.00033499025205612366,0.0016203487407473434,0.0004898126633425219,0.0019986730542934676,0.0003904003759130908,9.453605993958313e-05,0.004245480927448782,5.9315607714480074e-05,1.6390615945310087e-05,1.1976975619976212e-05,0.000992864410198473,8.895918602173376e-05,0.00016111516714306152,0.0005486712775693293,0.0010467734699912386,0.0017692608911287142,0.0011237638845408107
AG,2.4569754598644707e-05,8.461599765186172e-06,0.0,7.75664443883533e-05,1.3370845741937279e-05,3.97400888369166e-05,0.000305216863953042,1.439035201201829e-05,1.488791542013433e-05,0.0013852299214035695,2.4579334574641046e-05,9.340567157913292e-06,0.00648828122305809,9.472312268139574e-06,1.5225837437318042e-05,9.611045966109655e-06,5.897619964612775e-05,6.284710599519211e-06,5.597448455937843e-06,0.0045487807915513805,0.0013081052526432335,9.971464513851842e-06,0.0004909841549315584,0.00016375722605910283,0.00028233182569935164,0.0016056175956283922,2.5347064868227173e-06,2.7650441104140913e-05,0.00011559582800401981,0.0002478846393966477,3.610440592757054e-06,1.0513421526909048e-05,6.382285852271047e-06,5.742043198545512e-05,1.1336691028910945e-05,2.323256025029667e-06,0.0008722695165235757,6.25382901514574e-06,1.552492539793403e-05,0.0008517293526664619,0.00021917632563493502,0.0019557135753902,1.2710979123843713e-05,0.0003369446631821979,0.00013582932378858233,4.324620266855768e-05,3.1961372732260666e-05,1.5815585949984185e-05,4.754280673686019e-05,0.02881439697027834,0.0018255887507387465,1.3781725481216328e-05,0.0008719434775448672,0.00015389953047381953,3.074524905541959e-05,1.4623297122697562e-06,0.00013013837049518365,9.241019925749124e-06,2.8848331926439976e-05,1.7645344173738683e-06,3.360532995673845e-05,7.028500426370378e-05,4.84782488604301e-06,0.00010240886654501085,0.014053112095380373,7.247197968820211e-06,4.087993315514337e-05,6.633933306784936e-05,0.000759793457200503,2.6381382226646523e-05,1.7903594628982803e-05,0.0011648367236362163,1.2875486594337841e-05,0.00015841945433332707,0.00013533273208004803,2.184439642623864e-05,2.3736189242770212e-05,0.001364344807113821,2.5627910820869912e-05,0.0006872125549267343,0.0001290864548042757,0.001086217666822696,5.381725402704837e-05,1.0479809893482273e-05,9.38518688682788e-05,8.480488735980809e-05,1.6520131538060125e-05,1.3887481454972589e-05,1.8570927387557773e-05,1.1566655577706534e-05,8.26408570231268e-05,0.0035733787132459934,2.1477868412708857e-05,2.306322817689239e-05,1.4632418527543858e-05,5.391456786965734e-06,9.197822208152913e-06,4.24304962836131e-06,2.015067033187423e-05,2.5035717055886812e-05,0.00449610695327672,1.7806599014643638e-05,2.2479116112326506e-05,1.6788655654844923e-05,0.007687611028940718,1.9441109934468832e-05,1.3095687707530416e-05,5.390997516800914e-05,1.379111166483961e-05,7.453971721853817e-05,1.446531850326417e-05,6.856279958647831e-05,4.5739005363909577e-05,1.3813749170131132e-05,6.893869481873816e-05,0.0014429615545440172,1.4765455722447097e-05,7.4758618168113655e-06,1.8943952716860306e-05,8.534147323636333e-06,6.969077326531284e-06,7.768072097030409e-06,1.9426309228028525e-05,0.0008671014540258078,2.4341519411189192e-05,0.00010988302026322662,2.236507718123364e-05,1.5005962480169147e-05,1.971183857505475e-06,0.00019220826226011594,9.619992535067581e-06,1.3396705589347876e-05,1.8842260203626411e-06,7.81763117995152e-06,4.881168994294668e-06,2.33134082764837e-05,0.001492004894425376,5.905384500275405e-05,4.999277933562669e-05,7.81566470357113e-06,1.2149827588148783e-05,1.1364705880401077e-05,0.0007125045862352492,0.00022629555202196305,2.3796600472268714e-05,3.850426811524211e-06,2.305914825537975e-05,1.3784157264999096e-05,5.72064018630256e-05,0.002294137635584873,9.186652168154584e-05,2.8049536004821367e-05,1.2279196553124961e-05,2.593827121216297e-05,4.603247576491718e-05,2.909883479579373e-05,6.445319697004473e-06,7.3179269500300235e-06,1.2019996753783426e-06,8.696366503774704e-06,8.624825361901272e-06,4.421131790770942e-05,1.7322543902336555e-05,0.0002817763705532231,1.1043541099381114e-05,2.0420516501919093e-05,6.183939438454622e-05,2.2757243507426096e-06,0.0014288514001930665,4.656349473412176e-06,2.686896316254384e-05,0.0007135663975490623,0.01010009526634215,4.1866887944860765e-06,0.003662602566638997,8.667092967944897e-06,9.994714929716739e-06,1.0942930004292402e-05,4.544875285726439e-06,7.96902643987937e-07,8.389484746665446e-06,1.754545000969549e-05,6.472005720313343e-05,0.0004618289699441924,2.031345094661841e-05,9.035193485717847e-06,1.2538471955503086e-05,5.407672904376218e-06,0.0009718774953612603,8.224469078587339e-05,2.7228733949219404e-05,0.00038232786721129725,0.00360269811974447,0.0025698795014908534,1.4554025978107701e-05,6.164238626713891e-07,2.1744363465602045e-06,1.248258327289398e-05,1.1953621805568058e-05,3.3062238276781434e-06,1.3942778439348842e-06
AL,0.0009398141916135871,0.000457840411931037,0.0009315646120401996,0.0,0.0015334497196374233,0.00040106442603698105,0.00017718798112505466,0.003203881322268143,0.0001626574023495329,0.00012623148089288742,0.0029666409191095844,0.005730841614173483,0.0007968716350336073,0.00028900118285959085,0.0034850639776707465,0.00047949823779123106,0.004057208385717812,0.00025457695618480555,0.0003522788408731745,5.143351968541164e-05,0.0010478080442437353,0.00019684570106515806,0.00012255106835124238,7.28837614773103e-05,0.00047655034059902013,5.652038710574553e-05,5.580288723610975e-05,0.002653157677922505,1.5066849671273657e-05,0.0006371265394420977,0.00037936841284027855,0.000349063258544182,0.00017060197055898208,0.0015724892699308885,0.0003382318653106234,1.3164207842201404e-05,0.00013189625816097404,0.0004978592126778797,0.00019578597398143012,0.00013204038232859895,0.00041570784523417976,0.0002942990291734875,0.0014130182318250598,0.00010039466145337549,0.0023366264010707717,0.0029652828705698125,0.0023269476744822285,0.0005073084363516787,0.0008745342485063612,0.00017785609944661517,0.00020337952755231597,0.0005101770353984648,0.0001201638735789685,0.001229217146435523,0.0014276649159797917,0.0001687193879365114,0.0018471172431594129,0.0008168229939545595,0.0008205378449964838,1.0675210745109296e-05,0.0004618948032532718,0.0012560348865136592,0.00026428555332852613,0.0021132333785196995,0.00043024716464139245,0.0050108784655948525,0.00017837156008044844,0.0006810733730569273,0.0019872156224639177,0.00040410799662132655,0.0002427480113017265,0.00015422769003541355,0.0002229629539819498,0.003302082150456155,6.861165047662396e-05,5.486566827679662e-05,0.00034454204667718554,0.0001488071053473511,0.00022416170774818285,7.052690825772787e-05,0.0018435373632831513,0.0001473317119040028,0.004961388666841983,0.0001805287470940774,0.0014473886525949258,0.0022216456081133712,0.00037306122736185276,0.0008147264391629212,0.0007976214405298892,0.0014197050429704638,0.010532110401751485,0.00026967474057000747,0.0011182844072751643,0.00017581161407358658,0.00044244284896168494,0.0004128102336982807,5.541588852003409e-05,0.00013974799010015116,0.00013039738638214506,0.0007284418418406515,0.00018287153188347325,0.0014479065607226668,5.4334726199742944e-05,0.0010520277000219992,0.0004746721663715673,0.000628707026898007,0.00037793530251402233,0.0023450399725304855,0.002065453997230166,0.001607695038090727,0.001289019454763028,0.0011290923889205966,0.00014324314034915066,0.006473560265115336,0.010396097861448204,0.00010500677933441806,0.0002642285425868806,0.011585482573883999,0.0003398866353676222,4.3707064385284946e-05,0.00039367778754543874,7.335903279444353e-05,4.777552526869483e-05,0.0001795017295370862,0.0007321076336578654,0.0035106575164446053,0.000440757964325419,0.00017580482011021655,0.0001351562232345127,8.230588652254573e-05,0.00020913169604399513,0.0002288355435154609,0.0005116457416445015,3.6538647641487316e-05,0.0005981018498233584,0.0008219089355302788,0.00015964868360259098,0.0019600463800834634,0.0005336121760992485,0.000110983824820873,8.011660824297548e-05,0.0004805190027893687,0.00013450838090035456,0.00011645886840929214,0.00010048892215796992,0.00012841572895965397,0.00019122015514362348,0.00045022446122177024,0.0025891187293043323,8.530487824499257e-05,0.001802917200586653,0.001115482413968532,0.0001984833047211355,0.005620174188257081,0.009066714503761253,0.0010605354260901547,0.0002600445163618456,0.0002697634886620021,1.4053203089768512e-05,0.00017992984705724418,0.00037002849838728826,0.0010664626476150432,0.0004205484414742084,0.003117857646573403,0.003300259751587889,0.0003735784110425542,0.000667656790292513,0.0002990076983919373,0.00016522101461214858,0.00025546679812575823,0.0004563925540144719,0.00013289887017851881,0.0001287074382829867,0.00012438968511429416,0.00011800492087411746,0.00035074771904571977,0.00023394670286410778,0.00011650002989358458,0.00018914374892258997,8.904596180506304e-06,0.000843398196734575,0.0009516431893211018,0.003592201646572414,6.831417141595922e-05,0.00015706470440799854,0.00021894378339360382,0.002829924937210206,0.0002738117760443189,0.0004575206209201641,0.00028646761034457544,0.0015883429895967882,0.00017897054403720865,0.00012347432496844933,4.87032886587636e-05,0.00011739540840841398,7.4739066052813164e-06,1.8542616808279182e-05,0.00023170049974030046,0.0001462609037406526,0.0001833639044362621,0.00012813546002209304
AM,0.0007209239422430546,0.0014800532846101428,8.734690092529945e-05,0.0008341018117048064,0.0,0.00015519392128898675,0.00010963651550566813,0.00026541919371960213,0.00042743220216928635,9.013742539715157e-05,0.004539215854203514,0.0008611026789335132,5.831316113943223e-05,0.0008315313087925108,0.00033662534481984933,0.00029081858896516514,0.0011253643173095584,0.0004987265930214466,0.000244911444215512,4.942664846894215e-05,0.00010834229445379598,0.00012079139309651847,2.7009178773000986e-05,0.00010819135029653582,0.00021692309481042104,7.675365873277435e-06,0.00012198424802828258,0.00039479208274570356,9.805057386958321e-06,0.0002787499924379973,0.00022669375803511597,0.00032736618543571154,0.0002209592356507462,0.00026052887243544837,0.00047053007892312057,1.3844763472392777e-05,0.00011069816607188761,0.0003088641450075982,0.0002647165840469964,7.058738084896853e-05,5.5947616928455815e-05,7.124249461595905e-05,0.00013183719416007757,0.00014088546297819727,0.000825563752761346,0.0014441360443152467,0.0005962937844267873,0.0008648031365689615,0.000186385896236819,4.142323266537988e-05,0.00016769489911131385,0.000935191208186531,5.451298592227098e-05,0.0006376742888844287,0.001385618642228586,0.00043995604873180237,0.00024887668329382417,0.0007315089326851111,0.0006580706441216455,1.2205507432273828e-05,7.782774391563212e-05,0.00039879614067464894,0.000254837966411637,0.0003039521709353617,2.8199180023314028e-05,0.00919227765999549,5.120151365612942e-05,0.0003297323011134855,6.461589794815824e-05,7.645087047117488e-05,0.0002368206605716957,4.61581213577024e-05,0.00013149006504872604,0.000424159978991376,2.666064667913034e-05,8.010317432027661e-05,8.665704489950723e-05,8.136551535456658e-05,0.0001585997866187282,1.5199079835820006e-05,0.00040719994253799564,9.063413827274034e-05,0.0006828625610785231,0.00028151765558737427,0.00013438412530093316,0.004414989891892587,0.000892017233862313,0.002019370849024223,0.002043816340645944,0.00017491215604908166,0.0005263090767762081,7.831980987963198e-05,0.0019778757487250056,0.00011527695476567242,0.0006643023357288175,0.0028864314982573165,3.749460367490374e-05,0.00019425590766203364,0.0001090622178882339,0.0019883302101322566,3.6977266814820673e-05,0.004308613687056647,5.349160094489878e-05,0.003437154515178279,3.406089446503864e-05,0.0010356653280409822,0.00011967653764485451,0.0007003964228003159,9.264900813764397e-05,0.0014187596220589839,0.0005343008374360953,0.0004497291909395087,6.610670359251275e-05,0.004384134213292049,0.002707138830387768,3.560478628492288e-05,0.0004887394284004637,0.0003214598854845725,0.0002451936632867091,7.665161490998821e-05,0.0009623789177554112,4.437038822469515e-05,5.785388389234611e-05,4.7494036008895365e-05,0.00035551816308455615,0.0001502792542309935,0.0007924037479056265,0.0015169414740451696,0.00017967298533151063,4.747048989173098e-05,0.0004307073911712445,0.0003603842781377037,8.458034503042415e-05,0.00012737633471226212,0.00034165552789091236,0.0004462650192930102,5.516395560119833e-05,0.0005095494071015868,0.00018048143823873135,0.0007974078930857787,7.603715181615436e-05,0.0006469581106241964,7.454370393303778e-05,0.00010381778871096217,4.8828874485361065e-05,7.081287609807264e-05,0.0003768172165198886,0.0014688355935024713,0.0006308861152278648,6.28257621103307e-05,0.0001607723577246604,0.0017350381933067633,0.0003277852891438429,0.00042813972314108495,0.000988718873191318,0.01879153931656691,0.0003389227662384649,0.0007134826886347555,6.14665494876278e-05,0.0006529949288272492,0.0008397937702671764,0.0003303231559520994,0.00023493372212146066,0.0002855395366192238,0.0004925496704116099,0.00021070962042886167,0.00039928720736866034,0.0004924598514513675,0.0001656015663980863,0.00021659353390543628,0.00010116529476203165,4.8439947110618165e-05,6.422564103275324e-05,0.0030829940778611745,4.085617114947142e-05,0.0003361456409318028,0.00022247592407228782,0.0002313194120656228,0.0014907394180374764,2.6959920727771146e-05,0.0034385624337689626,0.0007267301098560511,0.0020231949590074753,7.951047262607664e-05,8.462811097211549e-05,0.00045103327368037626,0.003369098787825237,0.00028770493639453945,0.00024015031687136008,4.4310227443017166e-05,0.005795553932764004,3.555524163839962e-05,3.2021337059033256e-05,1.2582866937360668e-05,0.00025736584093536747,2.3796564036512826e-05,4.6793295036327316e-05,0.00025576029847069337,0.00047888171496472383,0.00017440303296880705,0.00017744674996604754
AO,0.00022567268981345194,0.00017413066448408336,7.688618588606686e-05,6.460922440137645e-05,4.596270372921605e-05,0.0,0.00043963237968021134,0.0002047472896027106,5.421238036866473e-05,5.118947785512594e-05,4.7367131088198404e-05,5.233700398121312e-05,2.354594826269179e-05,5.476521962601011e-05,0.0003687855326647392,0.0006133688316514479,0.0001285652641270111,6.046698607541418e-05,0.001714751280025597,0.00010213612831039533,2.8804423366014054e-05,2.30252743840819e-05,0.0003429109900717754,8.155920981270548e-05,0.008388609505162932,4.1834548608783e-05,1.6487911333358732e-05,9.335035703386065e-05,2.9008637868700802e-05,0.00027303601815307577,0.008432585940320847,0.0013383523565749704,0.0029381151076211458,0.00042317001503023617,0.001159393118081729,2.1857710409762786e-06,0.00035943222672811314,0.002284585882841671,8.418858082030498e-05,0.00024019919847377726,8.513599796370206e-05,0.00021797595994286318,0.002035679113302976,9.872079628680104e-05,5.378329782563762e-05,0.00015471641865378764,0.0002686157504089776,0.000995116353692926,0.00014363889020995143,2.9617800557160346e-05,0.0001255355376744884,0.0003722872935591211,9.110772472855085e-05,4.026099523662761e-05,0.00013083064457192886,0.0004401118956136476,0.00020223320335017666,0.0005071665645540529,9.348290114480901e-05,1.9002337137507073e-06,8.482646434002134e-05,0.0006135456591545361,0.004398682065875475,0.00020992642180410787,6.523622152099954e-06,7.916531670290966e-05,6.059863684978751e-05,0.0035441949048568965,5.452426768788408e-05,8.879548720486499e-05,0.0003805485104295535,4.5627044124180806e-05,0.007672192508993826,9.084814165750003e-05,4.804998396810566e-05,2.366943092426799e-05,0.002333619287325478,5.766692055699755e-05,3.893123275010518e-05,5.348651305987448e-05,9.25371148139112e-05,2.260638402973137e-05,0.00016774399655778373,6.141261169692379e-05,0.00033710827707222917,0.00017756043192046145,0.00010346765623538983,9.342504889389771e-05,0.000123763989557639,0.00013223319431674937,0.00019949123012745793,4.0203327258423324e-05,7.805358432025554e-05,4.438607636110045e-05,0.0007096943693901338,1.4943837981622776e-05,9.887089840441754e-06,0.0006869207950352097,3.370646372659954e-05,9.024972522696382e-05,6.816742894640596e-05,9.684882628814819e-05,2.194149958340767e-05,0.0002879054993829705,4.9005836678569176e-05,7.68358044279955e-05,0.000676824017545619,0.00010293883866858565,0.0005855200141231643,0.00014412722737743396,0.0001373731098130077,0.0004188316662965721,7.823853857348605e-05,0.0002707873675443986,7.704683694859223e-05,3.159415718853093e-05,0.0005670470203536973,5.0579351132564876e-05,0.0009051241958416791,1.4711128715062689e-05,3.0553557800917906e-05,1.2718862353703554e-05,1.984839491622269e-05,4.573481071301786e-05,0.00032260938871324374,0.00014169939047971455,0.0004897134014327361,0.00011993582433091924,0.002018230386346244,9.33600491064204e-05,3.307477413114271e-05,0.030455452449815013,0.05633986708494194,1.938688179880386e-05,0.0007879627928074035,0.00468334660550911,0.0001268966832827348,0.00015632683711766534,5.563837347701571e-05,4.410236660583323e-05,1.2248274736076581e-05,6.597661281503306e-05,0.00020057533486872388,0.0004089235540502267,1.9654057104395037e-05,2.0704216060399705e-05,6.29334449904597e-05,0.00014581632832180814,0.00014957427476971683,3.624898905686646e-05,0.000746890272221426,0.000381691492105565,0.0005371289339559781,0.000166659492033205,9.634315748489964e-05,1.5084030863099753e-05,0.002247578829516281,6.756691470615238e-05,7.297539617303167e-06,0.0006133138293884371,0.00033688855046598614,0.00016509336295399078,7.916844630727316e-05,0.00018774075089465165,0.0001622264271904821,0.000748434430424556,0.001177617901923734,0.000620398513568127,0.00018732962157128773,0.0006390757917132176,0.006542452131335716,4.357336951142192e-05,0.0001749735234558846,6.184614830943054e-05,6.00364285201886e-05,0.001909035102084474,0.0023441023652617642,6.913288088933964e-05,2.4933942140037047e-05,3.1786710451648365e-06,2.4147408710177712e-05,0.0002335062555186619,6.550973220313262e-05,4.6236005922124433e-05,2.6754064278361752e-05,0.0006906374635892126,5.0684783815797726e-05,0.0003669709400475403,0.00014930017506203306,0.0003234299171311597,3.6934104785670256e-05,9.035121741112082e-05,4.8583966267669236e-05,4.8556080598105806e-05,3.6164125771404204e-05,3.1580933350681387e-06,4.83554390578604e-06,0.0015460847237995917,0.030023964954092763,0.0017852811934192254,0.0037693503291162077
