,source_iso2,outflux
0,AE,3171460.0
1,AF,52409.0
2,AG,39461.5
3,AL,294314.5
4,AM,167085.0
5,AO,35506.5
6,AR,86332.0
7,AT,1254387.5
8,AU,308996.5
9,AW,127469.0
10,AZ,154442.5
11,BA,143597.0
12,BB,40319.0
13,BD,299637.5
14,BE,1351163.0
15,BF,44917.0
16,BG,569150.5
17,BH,283474.5
18,BI,16924.0
19,BJ,49878.5
20,BL,19578.5
21,BM,30064.0
22,BN,10960.0
23,BO,40359.0
24,BQ,31779.5
25,BR,323685.0
26,BS,146317.0
27,BT,10597.0
28,BW,13572.0
29,BY,110155.0
30,BZ,30714.5
31,CA,924549.0
32,CD,59370.0
33,CF,11761.0
34,CG,28985.0
35,CH,1980268.0
36,CI,138667.0
37,CK,14331.5
38,CL,149272.0
39,CM,65681.0
40,CN,513322.0
41,CO,514689.5
42,CR,252616.5
43,CU,46663.5
44,CV,28625.0
45,CW,70156.0
46,CY,646345.5
47,CZ,480367.0
48,DE,6857270.0
49,DJ,26343.0
50,DK,961316.5
51,DO,622830.0
52,DZ,38360.0
53,EC,172643.0
54,EE,102910.5
55,EG,1119686.5
56,ER,9756.0
57,ES,7146645.5
58,ET,460199.5
59,FI,312087.0
60,FO,24534.0
61,FR,5201354.0
62,GA,20627.0
63,GB,5989055.5
64,GD,11937.0
65,GE,266981.0
66,GF,25817.0
67,GH,138444.0
68,GI,33506.0
69,GL,6816.0
70,GM,25279.0
71,GN,43895.0
72,GP,131379.0
73,GR,3934773.5
74,GT,139946.5
75,GU,42991.0
76,GW,8310.5
77,GY,34529.0
78,HK,574438.0
79,HN,99003.0
80,HR,732575.0
81,HT,45472.0
82,HU,441332.0
83,ID,163222.5
84,IE,989142.5
85,IL,630487.5
86,IN,1207194.0
87,IQ,353202.5
88,IR,300361.0
89,IS,291842.5
90,IT,4576389.5
91,JM,226318.5
92,JO,466564.5
93,JP,676394.5
94,KE,204223.5
95,KG,157743.5
96,KH,27824.0
97,KM,15671.0
98,KR,557814.0
99,KW,320679.5
100,KY,3805.0
101,KZ,149205.0
102,LA,4343.0
103,LB,417023.5
104,LC,30566.5
105,LK,154062.5
106,LR,23883.0
107,LT,230309.5
108,LU,194080.0
109,LV,275146.5
110,LY,49700.0
111,MA,1168803.5
112,MD,159706.5
113,ME,165055.5
114,MF,11850.0
115,MG,4311.0
116,MK,133902.5
117,ML,75923.0
118,MM,15255.0
119,MO,71474.5
120,MP,12016.0
121,MQ,92132.0
122,MR,31788.0
123,MT,331432.0
124,MU,21276.5
125,MV,238801.5
126,MW,18142.5
127,MX,2258671.5
128,MY,193377.5
129,MZ,20986.0
130,NA,21619.5
131,NC,8025.0
132,NE,33572.5
133,NG,176379.0
134,NI,37974.0
135,NL,2935266.5
136,NO,530533.5
137,NP,83822.0
138,NZ,83895.5
139,OM,206688.5
140,PA,585949.0
141,PE,223603.5
142,PF,26859.0
143,PG,12400.0
144,PH,368893.0
145,PK,419568.0
146,PL,1538541.5
147,PR,607604.5
148,PT,1981147.5
149,PY,26101.0
150,QA,1659562.0
151,RE,103195.5
152,RO,975590.0
153,RS,468095.5
154,RU,2554798.5
155,RW,60178.5
156,SA,1085526.5
157,SC,42952.0
158,SD,173217.5
159,SE,808608.0
160,SG,669637.5
161,SI,35311.5
162,SK,75668.0
163,SL,23107.5
164,SN,152019.0
165,SO,38624.0
166,SR,8538.0
167,SS,20632.0
168,SV,228774.5
169,SX,69876.0
170,SY,40625.5
171,TC,65154.0
172,TD,18286.0
173,TG,69366.0
174,TH,367242.0
175,TJ,53500.0
176,TM,1291.0
177,TN,385787.0
178,TR,4966222.5
179,TT,19515.0
180,TW,330791.0
181,TZ,113270.0
182,UA,1624375.5
183,UG,84467.0
184,US,8216366.5
185,UY,27402.5
186,UZ,228927.5
187,VE,62851.5
188,VG,10639.0
189,VI,121383.0
190,VN,185671.5
191,WS,8650.5
192,YE,19797.0
193,YT,25796.0
194,ZA,240249.0
195,ZM,57107.0
196,ZW,58865.5
