,source_iso2,outflux
0,AE,3237134.5
1,AF,19171.0
2,AG,31636.0
3,AL,251885.0
4,AM,148790.5
5,AO,34821.5
6,AR,83678.0
7,AT,1211951.5
8,AU,271994.0
9,AW,107043.5
10,AZ,127803.5
11,BA,112994.0
12,BB,37976.0
13,BD,336007.5
14,BE,1282513.5
15,BF,44763.5
16,BG,440088.5
17,BH,308502.5
18,BI,17022.0
19,BJ,50470.0
20,BL,13443.0
21,BM,22575.0
22,BN,11226.0
23,BO,41771.5
24,BQ,29836.0
25,BR,330771.0
26,BS,95452.0
27,BW,8824.0
28,BY,107531.5
29,BZ,22432.0
30,CA,1090811.5
31,CD,57368.0
32,CF,10044.5
33,CG,24665.0
34,CH,1761369.5
35,CI,135571.0
36,CK,5560.0
37,CL,166457.0
38,CM,66211.0
39,CN,508001.5
40,CO,479130.0
41,CR,213883.5
42,CU,41595.5
43,CV,38394.5
44,CW,63153.0
45,CY,653564.5
46,CZ,486110.0
47,DE,6742601.5
48,DJ,25746.0
49,DK,1000697.5
50,DO,542448.5
51,DZ,82277.5
52,EC,169640.0
53,EE,104808.5
54,EG,1133420.5
55,ER,11034.0
56,ES,6654499.5
57,ET,449423.0
58,FI,324248.0
59,FO,19167.0
60,FR,4289135.5
61,GA,19947.5
62,GB,6747064.0
63,GD,12823.0
64,GE,235007.5
65,GF,18208.0
66,GH,141926.0
67,GI,31492.0
68,GL,6472.0
69,GM,24847.0
70,GN,41038.0
71,GP,66273.0
72,GQ,6742.5
73,GR,3189233.5
74,GT,129880.5
75,GU,43398.5
76,GW,7996.5
77,GY,29983.0
78,HK,645558.0
79,HN,85759.0
80,HR,592474.0
81,HT,38400.0
82,HU,450161.0
83,ID,188156.0
84,IE,1035121.5
85,IL,578208.0
86,IN,1388074.5
87,IQ,348926.5
88,IR,296836.0
89,IS,261333.5
90,IT,4212651.0
91,JM,199254.5
92,JO,385141.0
93,JP,673263.5
94,KE,212556.0
95,KG,148603.0
96,KH,27881.5
97,KM,13418.0
98,KR,585492.0
99,KW,404412.5
100,KY,11541.0
101,KZ,152191.0
102,LA,3434.5
103,LB,329030.5
104,LC,23291.0
105,LK,202509.5
106,LR,23600.0
107,LT,207613.0
108,LU,186074.0
109,LV,267204.0
110,LY,48325.0
111,MA,996285.5
112,MD,134256.0
113,ME,140374.0
114,MF,10002.0
115,MG,4395.5
116,MK,108345.5
117,ML,75403.0
118,MM,12840.0
119,MN,7069.5
120,MO,87412.0
121,MP,11487.0
122,MQ,48772.0
123,MR,29546.5
124,MT,294798.5
125,MU,20226.0
126,MV,250544.0
127,MW,18711.0
128,MX,2001103.5
129,MY,208683.5
130,MZ,20936.0
131,NA,20333.5
132,NC,8025.0
133,NE,35140.0
134,NG,173176.5
135,NI,34306.0
136,NL,2764005.5
137,NO,615917.0
138,NP,101089.5
139,NZ,55030.0
140,OM,242023.5
141,PA,586044.0
142,PE,221228.0
143,PF,24019.0
144,PG,12081.0
145,PH,377481.0
146,PK,463011.5
147,PL,1497992.0
148,PR,467307.0
149,PT,1820368.0
150,PY,24129.0
151,QA,1605517.0
152,RE,66161.5
153,RO,901859.5
154,RS,387062.5
155,RU,2590430.0
156,RW,62353.0
157,SA,1101656.5
158,SC,36573.0
159,SD,156342.5
160,SE,814534.0
161,SG,664954.5
162,SI,37810.5
163,SK,70390.0
164,SL,23427.0
165,SN,145612.5
166,SO,38803.5
167,SR,10877.0
168,SS,22179.0
169,SV,202986.0
170,SX,47238.0
171,SY,44053.5
172,TC,41243.0
173,TD,17176.0
174,TG,65182.0
175,TH,381681.5
176,TJ,80847.5
177,TN,277973.0
178,TR,4576602.5
179,TT,22703.0
180,TW,307507.0
181,TZ,110834.0
182,UA,1476264.5
183,UG,101525.5
184,US,7415225.0
185,UY,28742.0
186,UZ,242048.0
187,VE,56542.5
188,VG,9518.5
189,VI,73097.0
190,VN,210377.5
191,YE,21987.0
192,YT,18683.0
193,ZA,258658.5
194,ZM,54838.0
195,ZW,61882.0
