iso_a3_target daily_seeds
ARE 9199.0271
AFG 545.18879
ATG 2.23273
ALB 11.1118
ARM 49.688
AGO 33.27099
ARG 9.37056
AUT 112.223
AUS 361.96576
ABW 16.2372
AZE 42.50706
BIH 21.80544
BRB 5.87043
BGD 1423.09061
BEL 106.50934
BFA 5.63814
BGR 37.72453
BHR 576.13205
BDI 8.25509
BEN 5.36586
BLM 1.03311
BMU 1.22656
BRN 8.70797
BOL 1.64308
BES 3.67155
BRA 112.64099
BHS 4.77781
BTN 201.14489
BWA 1.50723
BLR 32.09838
BLZ 1.03644
CAN 699.35578
COD 17.58313
CAF 3.92084
COG 7.3608
CHE 230.12382
CIV 18.79147
CHL 8.01107
CMR 13.26032
CHN 330.06342
COL 16.47199
CRI 15.11797
CUB 6.1324
CPV 1.82494
CUW 6.68788
CYP 37.60207
CZE 78.69023
DEU 826.87715
DJI 21.37593
DNK 90.54148
DMA 0.32994
DOM 94.58066
DZA 14.15826
ECU 6.05953
EST 6.59989
EGY 820.49323
ESP 315.64412
ETH 350.54762
FIN 41.84206
FJI 0.51538
FRO 1.36276
FRA 517.37144
GAB 4.09254
GBR 892.43526
GRD 0.80591
GEO 46.28177
GUF 1.17532
GHA 67.4349
GRL 1.13017
GMB 2.49907
GIN 18.14419
GLP 4.44031
GNQ 1.43311
GRC 97.75036
GTM 6.42781
GUM 8.22984
GNB 1.00043
GUY 3.058
HKG 207.4828
HND 2.65673
HRV 13.24628
HTI 2.56617
HUN 46.47788
IDN 243.34543
IRL 101.57864
ISR 136.3784
IND 0.0
IRQ 367.3709
IRN 340.36912
ISL 7.84365
ITA 326.86509
JAM 17.37334
JOR 308.81543
JPN 494.72598
KEN 279.78826
KGZ 36.62479
KHM 9.96064
COM 7.66368
KNA 0.12642
KOR 250.5918
KWT 1103.34796
CYM 0.92407
KAZ 139.29032
LAO 1.70897
LBN 273.20385
LCA 1.17123
LKA 404.14743
LBR 4.24816
LTU 7.41346
LUX 6.20346
LVA 9.47526
LBY 9.15038
MAR 88.01099
MCO 0.44596
MDA 4.98312
MNE 3.22811
MAF 0.45111
MDG 2.49589
MKD 2.83531
MLI 13.57951
MMR 59.45428
MAC 4.94855
MNP 2.56372
MTQ 4.3804
MRT 5.22807
MLT 12.68855
MUS 33.453
MDV 1222.76475
MWI 4.51722
MEX 114.38067
MYS 534.28183
MOZ 7.05503
NAM 6.47593
NCL 1.54571
NER 6.39201
NFK 0.58366
NGA 120.52822
NIC 0.85601
NLD 427.74792
NOR 68.0255
NPL 547.88625
NZL 32.31834
OMN 1090.17151
PAN 18.16411
PER 6.51106
PYF 3.36093
PNG 3.55257
PHL 336.92579
PAK 1691.85081
POL 89.99918
PRI 43.75224
PRT 73.83377
PRY 0.76408
QAT 2061.16902
REU 7.37412
ROU 97.42167
SRB 50.21521
RUS 541.44856
RWA 40.06913
SAU 2041.68558
SYC 38.8116
SDN 218.04867
SWE 93.67047
SGP 425.97072
SVN 2.50954
SLE 4.02321
SEN 31.13997
SOM 18.59555
SUR 1.38199
SSD 20.305
SLV 11.2407
SXM 8.26148
SYR 13.6731
TCA 5.88234
TCD 4.63548
TGO 11.52241
THA 1011.74357
TJK 21.00101
TLS 0.42066
TKM 0.12282
TUN 50.95403
TUR 653.88856
TTO 0.70183
TWN 217.37357
TZA 201.4289
UKR 261.85758
UGA 94.00301
USA 3295.7483
URY 0.88406
UZB 108.18584
VCT 0.72009
VEN 2.01505
VGB 0.55172
VIR 9.78241
VNM 234.48784
WSM 0.56839
MYT 5.0281
ZAF 147.23326
ZMB 33.65237
ZWE 18.94143
