ISO_A3,ihme.mean,ihme.lower,ihme.upper,confirmed.7mavg,under.mean,under.lower,under.upper
AFG,9641333.62,7483113.21,12449733.44,30696.782,314.082877482076,243.775168680548,405.571288873212
AGO,410956.8,228513.09,858404.37,242.357,1695.66713567176,942.878027042751,3541.90046089034
ALB,191809.33,160761.12,267441.93,2319.191,82.7052752446866,69.3177577870904,115.316905765847
AND,8329.12,5873.76,11661.73,854.316,9.74946038702307,6.87539505288441,13.6503705888688
ARE,256004.82,153854.22,368188.53,47388.401,5.40226752955855,3.24666409402588,7.76959176149454
ARG,656159.74,522223.94,889862.55,57444.998,11.4223999102585,9.09085139144752,15.4906881535621
ARM,668608.64,560802.01,820532.91,23810.029,28.080967058041,23.5531846685277,34.4616510126888
AUS,24514.13,18438.72,32227.77,7704.358,3.18185240093983,2.39328442421809,4.18305717361525
AUT,114920.89,81316.9600000001,152932.21,17465.046,6.58005080547741,4.65598315629973,8.75647335827229
AZE,624044.01,380352.11,968890.29,15902.145,39.2427568733652,23.9182896395423,60.928276657017
BEL,613831.22,314086.49,778752.68,61185.455,10.0323062074148,5.1333521994729,12.7277419118645
BEN,1210653.92,387828.08,2116064.59,1301.879,929.928142323519,297.898714089405,1625.39267474166
BFA,3697356.99,2048041.43,5760958.91,943.784,3917.58812397752,2170.03194586897,6104.10741228925
BGD,14771116.77,8318578.39,36093946.91,134110.646,110.141269247186,62.0277258973162,269.135583091591
BGR,133755.47,91720.76,168968.53,4610.978,29.0080477503905,19.8918233832389,36.6448354340446
BHR,111882.37,78907.87,148175.43,25186.543,4.44214872997854,3.132937696134,5.88311901319685
BHS,4145.66,2268.5,7874.82,102.811,40.3231171761776,22.064759607435,76.5951114180389
BIH,128385.07,102096.82,175626.84,4006.116,32.0472672284078,25.4852380709895,43.8396791306093
BLR,815358.32,570880.78,1035878.1,61073.428,13.3504593847262,9.34744943414671,16.9611913711475
BLZ,3208.25,1654.78,5307.05,22.625,141.801104972376,73.139447513812,234.565745856353
BOL,1811302.5,1163487.95,2582136.74,30418.844,59.5454087604381,38.2489206361688,84.8860903458396
