iso_a3_target daily_seeds
ARE 174.80089
AFG 2.46842
ATG 2.589
ALB 3.90311
ARM 4.82732
AGO 52.84449
ARG 165.36123
AUT 39.64372
AUS 12.52331
ABW 10.67976
AZE 4.43425
BIH 3.13481
BRB 1.96946
BGD 16.94879
BEL 56.66747
BFA 2.17174
BGR 14.01028
BHR 8.38373
BDI 1.1621
BEN 3.17881
BLM 0.77467
BMU 1.46938
BRN 0.15352
BOL 144.99246
BES 3.06699
BRA 0.0
BHS 14.6133
BTN 0.14476
BWA 0.6822
BLR 2.32045
BLZ 2.84069
CAN 66.02109
COD 6.5829
CAF 0.59897
COG 2.64771
CHE 219.27876
CIV 9.07036
COK 0.01967
CHL 310.61174
CMR 4.42559
CHN 12.24271
COL 313.93005
CRI 47.01287
CUB 8.07631
CPV 27.8596
CUW 10.0639
CYP 10.93436
CZE 17.35921
DEU 370.47571
DJI 2.8216
DNK 33.58957
DOM 97.25223
DZA 3.8985
ECU 84.40328
EST 4.00795
EGY 47.31744
ERI 1.06613
ESP 656.86231
ETH 65.02089
FIN 13.78006
FRO 0.31495
FRA 497.53483
GAB 1.45991
GBR 176.13432
GRD 0.87441
GEO 7.06039
GUF 1.4001
GHA 10.55165
GIB 0.25556
GRL 0.11719
GMB 1.16346
GIN 3.91076
GLP 5.49034
GRC 114.94641
GTM 27.8375
GUM 0.42509
GNB 4.53959
GUY 6.47897
HKG 10.22628
HND 19.71438
HRV 34.75127
HTI 5.11787
HUN 19.02058
IDN 8.39978
IRL 41.33195
ISR 27.99386
IND 109.29201
IRQ 24.48768
IRN 17.9502
ISL 12.35321
ITA 220.20576
JAM 17.44152
JOR 27.20864
JPN 21.69526
KEN 17.08795
KGZ 1.94089
KHM 0.39173
COM 1.5044
KOR 10.33039
KWT 16.51609
CYM 0.37293
KAZ 5.13743
LAO 0.0289
LBN 31.98217
LCA 2.91395
LKA 11.68787
LBR 0.64259
LTU 4.27221
LUX 24.75753
LVA 7.39105
LBY 2.16964
MAR 59.68117
MDA 4.67254
MNE 3.03169
MAF 0.36287
MDG 0.75983
MKD 2.65019
MLI 4.70993
MMR 0.19572
MAC 0.21086
MNP 0.19412
MTQ 5.27717
MRT 1.70549
MLT 10.15289
MUS 1.85815
MDV 18.22126
MWI 1.05429
MEX 601.11548
MYS 4.81824
MOZ 8.57789
NAM 5.19129
NCL 0.07325
NER 2.22179
NGA 15.39368
NIC 10.89765
NLD 309.66396
NOR 20.19965
NPL 8.2348
NZL 0.69696
OMN 7.29734
PAN 458.12891
PER 65.29216
PYF 0.29359
PNG 0.12368
PHL 19.43412
PAK 26.81158
POL 42.97057
PRI 39.57459
PRT 891.02677
PRY 105.97254
QAT 237.28191
REU 8.08322
ROU 36.32884
SRB 17.42384
RUS 37.18307
RWA 1.91149
SAU 37.63503
SYC 4.60649
SDN 11.1119
SWE 32.86962
SGP 12.93772
SVN 3.51904
SVK 0.4795
SLE 0.66127
SEN 15.67571
SOM 4.00887
SUR 1.27916
SSD 1.25538
SLV 20.66849
SXM 5.14228
SYR 1.76462
TCA 5.26983
TCD 1.20563
TGO 4.09397
THA 14.98876
TJK 0.71994
TKM 0.06515
TUN 22.59904
TUR 281.41426
TTO 2.03809
TWN 2.27785
TZA 13.91254
UKR 26.66061
UGA 6.27237
USA 2166.83572
URY 80.39345
UZB 5.24283
VEN 24.61693
VGB 0.34443
VIR 10.33306
VNM 4.8846
WSM 0.02806
YEM 0.42933
MYT 2.00566
ZAF 39.15561
ZMB 3.30949
ZWE 3.0207
