iso_a3_target daily_seeds
ARE 1949.31321
AFG 25.47401
ATG 107.75848
ALB 415.40383
ARM 65.84366
AGO 35.20251
ARG 33.38287
AUT 2108.28834
AUS 273.30808
ABW 68.80489
AZE 78.28426
BIH 98.87131
BRB 218.04772
BGD 262.36778
BEL 3183.16937
BFA 17.7518
BGR 1595.61887
BHR 229.28593
BDI 6.85982
BEN 12.24391
BLM 6.52845
BMU 99.68924
BRN 12.98735
BOL 12.01138
BES 28.6232
BRA 236.60917
BHS 72.58773
BTN 1.27751
BWA 4.25664
BLR 28.80826
BLZ 3.0278
CAN 1288.01608
COD 23.62228
CAF 2.49995
COG 9.64152
CHE 4071.23385
CIV 70.74294
COK 0.60561
CHL 49.86051
CMR 23.64387
CHN 361.97922
COL 153.10025
CRI 64.53981
CUB 23.5315
CPV 51.17723
CUW 69.07123
CYP 1739.21054
CZE 1156.64686
DEU 14124.91738
DJI 11.69928
DNK 2658.00893
DOM 260.09554
DZA 18.49974
ECU 69.89489
EST 294.72946
EGY 711.02647
ERI 6.15601
ESP 40253.99186
ETH 308.13118
FIN 600.26189
FRO 34.66067
FRA 10855.0273
GAB 6.51916
GBR 0.0
GRD 38.89946
GEO 170.69436
GUF 12.92926
GHA 160.12178
GIB 439.94945
GRL 7.98309
GMB 11.44252
GIN 17.23266
GLP 44.60274
GRC 17373.90897
GTM 28.98815
GUM 7.15058
GNB 9.7796
GUY 23.23283
HKG 100.48533
HND 17.82025
HRV 2966.59384
HTI 15.31617
HUN 1212.77846
IDN 128.57049
IRL 7543.54841
ISR 1010.27576
IND 1628.6556
IRQ 190.94923
IRN 135.3033
ISL 646.70722
ITA 13551.34331
JAM 210.15505
JOR 487.12067
JPN 732.41229
KEN 143.79061
KGZ 33.23047
KHM 20.76985
COM 6.66509
KOR 229.38456
KWT 281.68814
CYM 3.90771
KAZ 74.77169
LAO 0.57814
LBN 485.04257
LCA 54.1002
LKA 157.42333
LBR 11.3321
LTU 1019.17588
LUX 523.08545
LVA 746.80568
LBY 14.80244
MAR 1771.65779
MDA 211.80205
MNE 170.67682
MAF 3.85364
MDG 2.33208
MKD 150.64331
MLI 20.41347
MMR 6.74625
MAC 8.6002
MNP 3.3631
MTQ 38.23243
MRT 15.8229
MLT 1546.88704
MUS 16.08173
MDV 139.98211
MWI 5.39325
MEX 898.74866
MYS 96.0833
MOZ 14.53977
NAM 11.45984
NCL 1.36811
NER 10.03778
NGA 534.16141
NIC 7.56317
NLD 7909.41891
NOR 1823.94914
NPL 36.77228
NZL 29.61566
OMN 97.55943
PAN 133.90339
PER 80.26283
PYF 7.87937
PNG 6.00476
PHL 269.4804
PAK 447.30369
POL 6236.71896
PRI 107.116
PRT 6506.13449
PRY 6.67504
QAT 689.66286
REU 54.54181
ROU 2785.68659
SRB 467.28446
RUS 2030.51942
RWA 24.77093
SAU 764.85685
SYC 30.09902
SDN 75.41781
SWE 1984.75788
SGP 156.21861
SVN 48.68071
SVK 292.68031
SLE 12.15881
SEN 74.80418
SOM 18.79267
SUR 10.2944
SSD 8.31376
SLV 62.94195
SXM 36.86177
SYR 13.19198
TCA 41.83969
TCD 6.12105
TGO 30.98479
THA 331.84473
TJK 9.01598
TKM 0.54174
TUN 179.73097
TUR 4400.34377
TTO 13.31563
TWN 67.52387
TZA 74.18328
UKR 1548.39286
UGA 41.76906
USA 9918.01918
URY 12.85917
UZB 70.93123
VEN 16.46561
VGB 5.78099
VIR 19.30519
VNM 124.87724
WSM 0.61719
YEM 5.67486
MYT 10.02043
ZAF 244.28588
ZMB 18.59699
ZWE 18.42549
